NIS5,POP
72042,23532
72043,32902
73000,203963
73001,11499
73006,32328
73009,10906
73022,7391
73028,83
73032,9688
73040,8442
73042,25841
73066,16755
73083,30996
73098,7372
73107,38516
73109,4146
80000,284638
81000,62623
81001,29858
81003,5578
81004,17093
81013,1876
81015,8218
82000,48413
82003,15985
82005,3659
82009,2281
82014,5193
82032,7814
82036,5640
82037,5286
82038,2555
83000,56476
83012,11395
83013,3284
83028,5556
83031,4253
83034,17465
83040,5498
83044,2637
83049,2832
83055,3556
84000,63375
84009,8793
84010,5411
84016,1395
84029,1624
84033,5471
84035,5223
84043,7699
84050,5389
84059,5569
84068,2432
84075,3093
84077,11276
85000,53751
85007,5180
85009,5877
85011,5578
85024,2809
85026,4551
85034,3608
85039,4300
85045,11332
85046,8409
85047,2107
90000,494325
91000,111008
91005,7046
91013,9159
91015,3355
91030,16580
91034,13451
91054,4632
91059,7357
91064,5175
91072,4956
91103,3241
91114,12611
91120,5641
91141,9167
91142,6022
91143,2615
92000,316962
92003,27391
92006,7032
92035,16337
92045,8144
92048,10388
92054,7202
92087,13102
92094,110779
92097,5127
92101,12220
92114,8440
92137,28288
92138,8032
92140,19190
92141,9276
92142,26014
93000,66355
93010,4923
93014,13747
93018,2997
93022,11310
93056,9289
93088,18430
93090,5659
