,NIS3,DATE,CASES,name,NIS5,POP,CASES_PER_1000HABITANT
1939,23,2020-06-16,2,Hal-Vilvorde,23000,637441,0.0
13862,71,2020-06-16,4,Hasselt,71000,418496,0.01
11731,58,2020-06-16,1,La Louvière,58000,141060,0.01
12573,62,2020-06-16,3,Liège,62000,624422,0.0
2399,24,2020-06-16,4,Louvain,24000,508734,0.01
14319,72,2020-06-16,4,Maaseik,72000,251589,0.02
2854,25,2020-06-16,2,Nivelles,25000,403599,0.0
4985,35,2020-06-16,3,Ostende,35000,157200,0.02
17837,93,2020-06-16,1,Philippeville,93000,66355,0.02
5424,36,2020-06-16,1,Roulers,36000,153315,0.01
8754,46,2020-06-16,1,Saint-Nicolas,46000,252523,0.0
10464,55,2020-06-16,4,Soignies,55000,104533,0.04
7078,42,2020-06-16,1,Termonde,42000,201213,0.0
14769,73,2020-06-16,5,Tongres,73000,203963,0.02
11291,57,2020-06-16,2,Tournai,57000,223417,0.01
1014,13,2020-06-16,1,Turnhout,13000,461867,0.0
13024,63,2020-06-16,2,Verviers,63000,287772,0.01
16638,85,2020-06-16,1,Virton,85000,53751,0.02
13438,64,2020-06-16,1,Waremme,64000,81389,0.01
4112,33,2020-06-16,1,Ypres,33000,106279,0.01
107,11,2020-06-17,15,Anvers,11000,1051301,0.01
8330,45,2020-06-17,1,Audenarde,45000,124342,0.01
3304,31,2020-06-17,5,Bruges,31000,282209,0.02
1477,21,2020-06-17,4,Bruxelles-Capitale,21000,1208542,0.0
9595,52,2020-06-17,3,Charleroi,52000,396639,0.01
4542,34,2020-06-17,3,Courtrai,34000,290706,0.01
7894,44,2020-06-17,4,Gand,44000,560522,0.01
1940,23,2020-06-17,2,Hal-Vilvorde,23000,637441,0.0
13863,71,2020-06-17,3,Hasselt,71000,418496,0.01
11732,58,2020-06-17,3,La Louvière,58000,141060,0.02
12574,62,2020-06-17,2,Liège,62000,624422,0.0
2400,24,2020-06-17,4,Louvain,24000,508734,0.01
14320,72,2020-06-17,6,Maaseik,72000,251589,0.02
563,12,2020-06-17,1,Malines,12000,344818,0.0
10038,53,2020-06-17,1,Mons,53000,258999,0.0
17434,92,2020-06-17,1,Namur,92000,316962,0.0
4986,35,2020-06-17,1,Ostende,35000,157200,0.01
17838,93,2020-06-17,1,Philippeville,93000,66355,0.02
5425,36,2020-06-17,4,Roulers,36000,153315,0.03
8755,46,2020-06-17,2,Saint-Nicolas,46000,252523,0.01
10465,55,2020-06-17,1,Soignies,55000,104533,0.01
7079,42,2020-06-17,1,Termonde,42000,201213,0.0
5854,37,2020-06-17,4,Tielt,37000,92905,0.04
14770,73,2020-06-17,2,Tongres,73000,203963,0.01
11292,57,2020-06-17,2,Tournai,57000,223417,0.01
1015,13,2020-06-17,14,Turnhout,13000,461867,0.03
13025,63,2020-06-17,1,Verviers,63000,287772,0.0
4113,33,2020-06-17,1,Ypres,33000,106279,0.01
108,11,2020-06-18,9,Anvers,11000,1051301,0.01
15560,82,2020-06-18,1,Bastogne,82000,48413,0.02
3305,31,2020-06-18,2,Bruges,31000,282209,0.01
1478,21,2020-06-18,12,Bruxelles-Capitale,21000,1208542,0.01
9596,52,2020-06-18,1,Charleroi,52000,396639,0.0
4543,34,2020-06-18,4,Courtrai,34000,290706,0.01
17016,91,2020-06-18,1,Dinant,91000,111008,0.01
3721,32,2020-06-18,1,Dixmude,32000,51525,0.02
7895,44,2020-06-18,3,Gand,44000,560522,0.01
1941,23,2020-06-18,6,Hal-Vilvorde,23000,637441,0.01
13864,71,2020-06-18,3,Hasselt,71000,418496,0.01
12143,61,2020-06-18,1,Huy,61000,113409,0.01
12575,62,2020-06-18,4,Liège,62000,624422,0.01
2401,24,2020-06-18,2,Louvain,24000,508734,0.0
15925,83,2020-06-18,2,Marche-en-Famenne,83000,56476,0.04
17435,92,2020-06-18,1,Namur,92000,316962,0.0
2855,25,2020-06-18,7,Nivelles,25000,403599,0.02
4987,35,2020-06-18,2,Ostende,35000,157200,0.01
5426,36,2020-06-18,4,Roulers,36000,153315,0.03
8756,46,2020-06-18,2,Saint-Nicolas,46000,252523,0.01
5855,37,2020-06-18,1,Tielt,37000,92905,0.01
14771,73,2020-06-18,1,Tongres,73000,203963,0.0
11293,57,2020-06-18,3,Tournai,57000,223417,0.01
1016,13,2020-06-18,3,Turnhout,13000,461867,0.01
13026,63,2020-06-18,4,Verviers,63000,287772,0.01
13439,64,2020-06-18,1,Waremme,64000,81389,0.01
6636,41,2020-06-19,2,Alost,41000,291229,0.01
109,11,2020-06-19,18,Anvers,11000,1051301,0.02
15561,82,2020-06-19,3,Bastogne,82000,48413,0.06
3306,31,2020-06-19,5,Bruges,31000,282209,0.02
1479,21,2020-06-19,14,Bruxelles-Capitale,21000,1208542,0.01
9597,52,2020-06-19,1,Charleroi,52000,396639,0.0
4544,34,2020-06-19,4,Courtrai,34000,290706,0.01
17017,91,2020-06-19,1,Dinant,91000,111008,0.01
6246,38,2020-06-19,1,Furnes,38000,61657,0.02
7896,44,2020-06-19,3,Gand,44000,560522,0.01
1942,23,2020-06-19,3,Hal-Vilvorde,23000,637441,0.0
13865,71,2020-06-19,4,Hasselt,71000,418496,0.01
11733,58,2020-06-19,1,La Louvière,58000,141060,0.01
12576,62,2020-06-19,3,Liège,62000,624422,0.0
2402,24,2020-06-19,1,Louvain,24000,508734,0.0
14321,72,2020-06-19,6,Maaseik,72000,251589,0.02
564,12,2020-06-19,2,Malines,12000,344818,0.01
15926,83,2020-06-19,1,Marche-en-Famenne,83000,56476,0.02
10039,53,2020-06-19,1,Mons,53000,258999,0.0
4988,35,2020-06-19,4,Ostende,35000,157200,0.03
5427,36,2020-06-19,3,Roulers,36000,153315,0.02
8757,46,2020-06-19,1,Saint-Nicolas,46000,252523,0.0
7080,42,2020-06-19,1,Termonde,42000,201213,0.0
10873,56,2020-06-19,1,Thuin,56000,91678,0.01
14772,73,2020-06-19,2,Tongres,73000,203963,0.01
11294,57,2020-06-19,2,Tournai,57000,223417,0.01
13027,63,2020-06-19,1,Verviers,63000,287772,0.0
4114,33,2020-06-19,1,Ypres,33000,106279,0.01
110,11,2020-06-20,7,Anvers,11000,1051301,0.01
15167,81,2020-06-20,1,Arlon,81000,62623,0.02
15562,82,2020-06-20,1,Bastogne,82000,48413,0.02
3307,31,2020-06-20,1,Bruges,31000,282209,0.0
1480,21,2020-06-20,3,Bruxelles-Capitale,21000,1208542,0.0
4545,34,2020-06-20,2,Courtrai,34000,290706,0.01
17018,91,2020-06-20,2,Dinant,91000,111008,0.02
7897,44,2020-06-20,1,Gand,44000,560522,0.0
1943,23,2020-06-20,1,Hal-Vilvorde,23000,637441,0.0
13866,71,2020-06-20,2,Hasselt,71000,418496,0.0
11734,58,2020-06-20,1,La Louvière,58000,141060,0.01
12577,62,2020-06-20,3,Liège,62000,624422,0.0
14322,72,2020-06-20,1,Maaseik,72000,251589,0.0
2856,25,2020-06-20,3,Nivelles,25000,403599,0.01
4989,35,2020-06-20,1,Ostende,35000,157200,0.01
10466,55,2020-06-20,1,Soignies,55000,104533,0.01
7081,42,2020-06-20,1,Termonde,42000,201213,0.0
5856,37,2020-06-20,2,Tielt,37000,92905,0.02
14773,73,2020-06-20,1,Tongres,73000,203963,0.0
11295,57,2020-06-20,3,Tournai,57000,223417,0.01
1017,13,2020-06-20,1,Turnhout,13000,461867,0.0
13028,63,2020-06-20,2,Verviers,63000,287772,0.01
6637,41,2020-06-21,1,Alost,41000,291229,0.0
111,11,2020-06-21,2,Anvers,11000,1051301,0.0
15563,82,2020-06-21,1,Bastogne,82000,48413,0.02
4546,34,2020-06-21,2,Courtrai,34000,290706,0.01
1944,23,2020-06-21,1,Hal-Vilvorde,23000,637441,0.0
13867,71,2020-06-21,2,Hasselt,71000,418496,0.0
12578,62,2020-06-21,1,Liège,62000,624422,0.0
2403,24,2020-06-21,1,Louvain,24000,508734,0.0
565,12,2020-06-21,1,Malines,12000,344818,0.0
15927,83,2020-06-21,1,Marche-en-Famenne,83000,56476,0.02
4990,35,2020-06-21,1,Ostende,35000,157200,0.01
5428,36,2020-06-21,1,Roulers,36000,153315,0.01
14774,73,2020-06-21,1,Tongres,73000,203963,0.0
11296,57,2020-06-21,1,Tournai,57000,223417,0.0
13029,63,2020-06-21,1,Verviers,63000,287772,0.0
6638,41,2020-06-22,1,Alost,41000,291229,0.0
112,11,2020-06-22,20,Anvers,11000,1051301,0.02
15168,81,2020-06-22,1,Arlon,81000,62623,0.02
9176,51,2020-06-22,2,Ath,51000,127915,0.02
8331,45,2020-06-22,1,Audenarde,45000,124342,0.01
15564,82,2020-06-22,3,Bastogne,82000,48413,0.06
3308,31,2020-06-22,4,Bruges,31000,282209,0.01
1481,21,2020-06-22,7,Bruxelles-Capitale,21000,1208542,0.01
9598,52,2020-06-22,1,Charleroi,52000,396639,0.0
4547,34,2020-06-22,4,Courtrai,34000,290706,0.01
17019,91,2020-06-22,1,Dinant,91000,111008,0.01
3722,32,2020-06-22,1,Dixmude,32000,51525,0.02
6247,38,2020-06-22,1,Furnes,38000,61657,0.02
7898,44,2020-06-22,1,Gand,44000,560522,0.0
1945,23,2020-06-22,4,Hal-Vilvorde,23000,637441,0.01
13868,71,2020-06-22,3,Hasselt,71000,418496,0.01
12144,61,2020-06-22,1,Huy,61000,113409,0.01
11735,58,2020-06-22,1,La Louvière,58000,141060,0.01
12579,62,2020-06-22,4,Liège,62000,624422,0.01
2404,24,2020-06-22,2,Louvain,24000,508734,0.0
14323,72,2020-06-22,2,Maaseik,72000,251589,0.01
566,12,2020-06-22,2,Malines,12000,344818,0.01
15928,83,2020-06-22,1,Marche-en-Famenne,83000,56476,0.02
17436,92,2020-06-22,1,Namur,92000,316962,0.0
2857,25,2020-06-22,4,Nivelles,25000,403599,0.01
4991,35,2020-06-22,3,Ostende,35000,157200,0.02
5429,36,2020-06-22,1,Roulers,36000,153315,0.01
8758,46,2020-06-22,2,Saint-Nicolas,46000,252523,0.01
10467,55,2020-06-22,1,Soignies,55000,104533,0.01
10874,56,2020-06-22,2,Thuin,56000,91678,0.02
14775,73,2020-06-22,2,Tongres,73000,203963,0.01
11297,57,2020-06-22,26,Tournai,57000,223417,0.12
1018,13,2020-06-22,2,Turnhout,13000,461867,0.0
13030,63,2020-06-22,3,Verviers,63000,287772,0.01
6639,41,2020-06-23,2,Alost,41000,291229,0.01
113,11,2020-06-23,9,Anvers,11000,1051301,0.01
15169,81,2020-06-23,1,Arlon,81000,62623,0.02
3309,31,2020-06-23,2,Bruges,31000,282209,0.01
1482,21,2020-06-23,8,Bruxelles-Capitale,21000,1208542,0.01
9599,52,2020-06-23,1,Charleroi,52000,396639,0.0
4548,34,2020-06-23,4,Courtrai,34000,290706,0.01
17020,91,2020-06-23,1,Dinant,91000,111008,0.01
3723,32,2020-06-23,2,Dixmude,32000,51525,0.04
7899,44,2020-06-23,1,Gand,44000,560522,0.0
1946,23,2020-06-23,1,Hal-Vilvorde,23000,637441,0.0
13869,71,2020-06-23,2,Hasselt,71000,418496,0.0
11736,58,2020-06-23,1,La Louvière,58000,141060,0.01
12580,62,2020-06-23,4,Liège,62000,624422,0.01
2405,24,2020-06-23,2,Louvain,24000,508734,0.0
14324,72,2020-06-23,4,Maaseik,72000,251589,0.02
567,12,2020-06-23,1,Malines,12000,344818,0.0
15929,83,2020-06-23,2,Marche-en-Famenne,83000,56476,0.04
10040,53,2020-06-23,2,Mons,53000,258999,0.01
17437,92,2020-06-23,2,Namur,92000,316962,0.01
16297,84,2020-06-23,2,Neufchâteau,84000,63375,0.03
2858,25,2020-06-23,3,Nivelles,25000,403599,0.01
4992,35,2020-06-23,3,Ostende,35000,157200,0.02
5430,36,2020-06-23,3,Roulers,36000,153315,0.02
8759,46,2020-06-23,2,Saint-Nicolas,46000,252523,0.01
10468,55,2020-06-23,2,Soignies,55000,104533,0.02
7082,42,2020-06-23,1,Termonde,42000,201213,0.0
10875,56,2020-06-23,1,Thuin,56000,91678,0.01
14776,73,2020-06-23,4,Tongres,73000,203963,0.02
11298,57,2020-06-23,1,Tournai,57000,223417,0.0
1019,13,2020-06-23,4,Turnhout,13000,461867,0.01
13031,63,2020-06-23,3,Verviers,63000,287772,0.01
6640,41,2020-06-24,1,Alost,41000,291229,0.0
114,11,2020-06-24,14,Anvers,11000,1051301,0.01
15565,82,2020-06-24,2,Bastogne,82000,48413,0.04
3310,31,2020-06-24,2,Bruges,31000,282209,0.01
1483,21,2020-06-24,5,Bruxelles-Capitale,21000,1208542,0.0
9600,52,2020-06-24,2,Charleroi,52000,396639,0.01
4549,34,2020-06-24,3,Courtrai,34000,290706,0.01
17021,91,2020-06-24,1,Dinant,91000,111008,0.01
3724,32,2020-06-24,1,Dixmude,32000,51525,0.02
7900,44,2020-06-24,2,Gand,44000,560522,0.0
1947,23,2020-06-24,3,Hal-Vilvorde,23000,637441,0.0
13870,71,2020-06-24,5,Hasselt,71000,418496,0.01
12145,61,2020-06-24,1,Huy,61000,113409,0.01
11737,58,2020-06-24,1,La Louvière,58000,141060,0.01
12581,62,2020-06-24,4,Liège,62000,624422,0.01
2406,24,2020-06-24,2,Louvain,24000,508734,0.0
14325,72,2020-06-24,2,Maaseik,72000,251589,0.01
568,12,2020-06-24,2,Malines,12000,344818,0.01
15930,83,2020-06-24,1,Marche-en-Famenne,83000,56476,0.02
10041,53,2020-06-24,2,Mons,53000,258999,0.01
17438,92,2020-06-24,1,Namur,92000,316962,0.0
2859,25,2020-06-24,1,Nivelles,25000,403599,0.0
4993,35,2020-06-24,2,Ostende,35000,157200,0.01
5431,36,2020-06-24,3,Roulers,36000,153315,0.02
8760,46,2020-06-24,1,Saint-Nicolas,46000,252523,0.0
10469,55,2020-06-24,1,Soignies,55000,104533,0.01
7083,42,2020-06-24,1,Termonde,42000,201213,0.0
10876,56,2020-06-24,1,Thuin,56000,91678,0.01
14777,73,2020-06-24,5,Tongres,73000,203963,0.02
11299,57,2020-06-24,1,Tournai,57000,223417,0.0
1020,13,2020-06-24,4,Turnhout,13000,461867,0.01
13032,63,2020-06-24,2,Verviers,63000,287772,0.01
4115,33,2020-06-24,1,Ypres,33000,106279,0.01
115,11,2020-06-25,14,Anvers,11000,1051301,0.01
9177,51,2020-06-25,1,Ath,51000,127915,0.01
15566,82,2020-06-25,1,Bastogne,82000,48413,0.02
3311,31,2020-06-25,1,Bruges,31000,282209,0.0
1484,21,2020-06-25,7,Bruxelles-Capitale,21000,1208542,0.01
4550,34,2020-06-25,1,Courtrai,34000,290706,0.0
7487,43,2020-06-25,2,Eeklo,43000,85235,0.02
7901,44,2020-06-25,2,Gand,44000,560522,0.0
1948,23,2020-06-25,4,Hal-Vilvorde,23000,637441,0.01
13871,71,2020-06-25,1,Hasselt,71000,418496,0.0
11738,58,2020-06-25,1,La Louvière,58000,141060,0.01
12582,62,2020-06-25,1,Liège,62000,624422,0.0
2407,24,2020-06-25,2,Louvain,24000,508734,0.0
14326,72,2020-06-25,2,Maaseik,72000,251589,0.01
569,12,2020-06-25,2,Malines,12000,344818,0.01
15931,83,2020-06-25,2,Marche-en-Famenne,83000,56476,0.04
10042,53,2020-06-25,2,Mons,53000,258999,0.01
17439,92,2020-06-25,1,Namur,92000,316962,0.0
2860,25,2020-06-25,2,Nivelles,25000,403599,0.0
4994,35,2020-06-25,1,Ostende,35000,157200,0.01
8761,46,2020-06-25,1,Saint-Nicolas,46000,252523,0.0
14778,73,2020-06-25,2,Tongres,73000,203963,0.01
11300,57,2020-06-25,6,Tournai,57000,223417,0.03
1021,13,2020-06-25,2,Turnhout,13000,461867,0.0
6641,41,2020-06-26,1,Alost,41000,291229,0.0
116,11,2020-06-26,13,Anvers,11000,1051301,0.01
9178,51,2020-06-26,1,Ath,51000,127915,0.01
3312,31,2020-06-26,3,Bruges,31000,282209,0.01
1485,21,2020-06-26,14,Bruxelles-Capitale,21000,1208542,0.01
9601,52,2020-06-26,3,Charleroi,52000,396639,0.01
4551,34,2020-06-26,3,Courtrai,34000,290706,0.01
3725,32,2020-06-26,1,Dixmude,32000,51525,0.02
7902,44,2020-06-26,3,Gand,44000,560522,0.01
1949,23,2020-06-26,5,Hal-Vilvorde,23000,637441,0.01
13872,71,2020-06-26,4,Hasselt,71000,418496,0.01
11739,58,2020-06-26,1,La Louvière,58000,141060,0.01
12583,62,2020-06-26,3,Liège,62000,624422,0.0
570,12,2020-06-26,1,Malines,12000,344818,0.0
10043,53,2020-06-26,2,Mons,53000,258999,0.01
17440,92,2020-06-26,1,Namur,92000,316962,0.0
2861,25,2020-06-26,2,Nivelles,25000,403599,0.0
4995,35,2020-06-26,2,Ostende,35000,157200,0.01
5432,36,2020-06-26,4,Roulers,36000,153315,0.03
8762,46,2020-06-26,2,Saint-Nicolas,46000,252523,0.01
7084,42,2020-06-26,2,Termonde,42000,201213,0.01
10877,56,2020-06-26,2,Thuin,56000,91678,0.02
5857,37,2020-06-26,1,Tielt,37000,92905,0.01
14779,73,2020-06-26,3,Tongres,73000,203963,0.01
11301,57,2020-06-26,2,Tournai,57000,223417,0.01
1022,13,2020-06-26,2,Turnhout,13000,461867,0.0
13033,63,2020-06-26,1,Verviers,63000,287772,0.0
13440,64,2020-06-26,1,Waremme,64000,81389,0.01
4116,33,2020-06-26,1,Ypres,33000,106279,0.01
6642,41,2020-06-27,1,Alost,41000,291229,0.0
117,11,2020-06-27,2,Anvers,11000,1051301,0.0
15170,81,2020-06-27,1,Arlon,81000,62623,0.02
3313,31,2020-06-27,1,Bruges,31000,282209,0.0
1486,21,2020-06-27,6,Bruxelles-Capitale,21000,1208542,0.0
9602,52,2020-06-27,1,Charleroi,52000,396639,0.0
3726,32,2020-06-27,1,Dixmude,32000,51525,0.02
7903,44,2020-06-27,2,Gand,44000,560522,0.0
1950,23,2020-06-27,2,Hal-Vilvorde,23000,637441,0.0
13873,71,2020-06-27,1,Hasselt,71000,418496,0.0
12584,62,2020-06-27,2,Liège,62000,624422,0.0
2408,24,2020-06-27,1,Louvain,24000,508734,0.0
17441,92,2020-06-27,1,Namur,92000,316962,0.0
2862,25,2020-06-27,1,Nivelles,25000,403599,0.0
4996,35,2020-06-27,1,Ostende,35000,157200,0.01
5433,36,2020-06-27,2,Roulers,36000,153315,0.01
8763,46,2020-06-27,1,Saint-Nicolas,46000,252523,0.0
7085,42,2020-06-27,1,Termonde,42000,201213,0.0
11302,57,2020-06-27,1,Tournai,57000,223417,0.0
1023,13,2020-06-27,1,Turnhout,13000,461867,0.0
13441,64,2020-06-27,1,Waremme,64000,81389,0.01
118,11,2020-06-28,3,Anvers,11000,1051301,0.0
9179,51,2020-06-28,1,Ath,51000,127915,0.01
3314,31,2020-06-28,3,Bruges,31000,282209,0.01
9603,52,2020-06-28,1,Charleroi,52000,396639,0.0
7904,44,2020-06-28,1,Gand,44000,560522,0.0
1951,23,2020-06-28,1,Hal-Vilvorde,23000,637441,0.0
571,12,2020-06-28,2,Malines,12000,344818,0.01
15932,83,2020-06-28,1,Marche-en-Famenne,83000,56476,0.02
10044,53,2020-06-28,1,Mons,53000,258999,0.0
4997,35,2020-06-28,1,Ostende,35000,157200,0.01
5434,36,2020-06-28,1,Roulers,36000,153315,0.01
8764,46,2020-06-28,1,Saint-Nicolas,46000,252523,0.0
10470,55,2020-06-28,1,Soignies,55000,104533,0.01
11303,57,2020-06-28,1,Tournai,57000,223417,0.0
1024,13,2020-06-28,2,Turnhout,13000,461867,0.0
6643,41,2020-06-29,1,Alost,41000,291229,0.0
119,11,2020-06-29,21,Anvers,11000,1051301,0.02
15171,81,2020-06-29,1,Arlon,81000,62623,0.02
9180,51,2020-06-29,2,Ath,51000,127915,0.02
3315,31,2020-06-29,2,Bruges,31000,282209,0.01
1487,21,2020-06-29,17,Bruxelles-Capitale,21000,1208542,0.01
9604,52,2020-06-29,1,Charleroi,52000,396639,0.0
4552,34,2020-06-29,11,Courtrai,34000,290706,0.04
17022,91,2020-06-29,1,Dinant,91000,111008,0.01
3727,32,2020-06-29,1,Dixmude,32000,51525,0.02
7905,44,2020-06-29,2,Gand,44000,560522,0.0
1952,23,2020-06-29,4,Hal-Vilvorde,23000,637441,0.01
13874,71,2020-06-29,2,Hasselt,71000,418496,0.0
12146,61,2020-06-29,1,Huy,61000,113409,0.01
12585,62,2020-06-29,1,Liège,62000,624422,0.0
2409,24,2020-06-29,2,Louvain,24000,508734,0.0
14327,72,2020-06-29,2,Maaseik,72000,251589,0.01
572,12,2020-06-29,3,Malines,12000,344818,0.01
15933,83,2020-06-29,1,Marche-en-Famenne,83000,56476,0.02
10045,53,2020-06-29,1,Mons,53000,258999,0.0
17442,92,2020-06-29,2,Namur,92000,316962,0.01
16298,84,2020-06-29,1,Neufchâteau,84000,63375,0.02
2863,25,2020-06-29,3,Nivelles,25000,403599,0.01
5435,36,2020-06-29,1,Roulers,36000,153315,0.01
8765,46,2020-06-29,2,Saint-Nicolas,46000,252523,0.01
7086,42,2020-06-29,1,Termonde,42000,201213,0.0
5858,37,2020-06-29,1,Tielt,37000,92905,0.01
14780,73,2020-06-29,2,Tongres,73000,203963,0.01
11304,57,2020-06-29,1,Tournai,57000,223417,0.0
1025,13,2020-06-29,3,Turnhout,13000,461867,0.01
13034,63,2020-06-29,2,Verviers,63000,287772,0.01
4117,33,2020-06-29,1,Ypres,33000,106279,0.01
6644,41,2020-06-30,3,Alost,41000,291229,0.01
120,11,2020-06-30,12,Anvers,11000,1051301,0.01
15172,81,2020-06-30,1,Arlon,81000,62623,0.02
8332,45,2020-06-30,1,Audenarde,45000,124342,0.01
3316,31,2020-06-30,4,Bruges,31000,282209,0.01
1488,21,2020-06-30,21,Bruxelles-Capitale,21000,1208542,0.02
9605,52,2020-06-30,1,Charleroi,52000,396639,0.0
4553,34,2020-06-30,5,Courtrai,34000,290706,0.02
3728,32,2020-06-30,1,Dixmude,32000,51525,0.02
7906,44,2020-06-30,1,Gand,44000,560522,0.0
1953,23,2020-06-30,4,Hal-Vilvorde,23000,637441,0.01
13875,71,2020-06-30,1,Hasselt,71000,418496,0.0
12147,61,2020-06-30,1,Huy,61000,113409,0.01
11740,58,2020-06-30,1,La Louvière,58000,141060,0.01
12586,62,2020-06-30,1,Liège,62000,624422,0.0
14328,72,2020-06-30,1,Maaseik,72000,251589,0.0
573,12,2020-06-30,1,Malines,12000,344818,0.0
15934,83,2020-06-30,1,Marche-en-Famenne,83000,56476,0.02
10046,53,2020-06-30,1,Mons,53000,258999,0.0
17443,92,2020-06-30,3,Namur,92000,316962,0.01
2864,25,2020-06-30,1,Nivelles,25000,403599,0.0
4998,35,2020-06-30,1,Ostende,35000,157200,0.01
8766,46,2020-06-30,2,Saint-Nicolas,46000,252523,0.01
7087,42,2020-06-30,1,Termonde,42000,201213,0.0
5859,37,2020-06-30,1,Tielt,37000,92905,0.01
14781,73,2020-06-30,1,Tongres,73000,203963,0.0
11305,57,2020-06-30,5,Tournai,57000,223417,0.02
1026,13,2020-06-30,1,Turnhout,13000,461867,0.0
13035,63,2020-06-30,1,Verviers,63000,287772,0.0
13442,64,2020-06-30,1,Waremme,64000,81389,0.01
121,11,2020-07-01,30,Anvers,11000,1051301,0.03
15173,81,2020-07-01,1,Arlon,81000,62623,0.02
9181,51,2020-07-01,1,Ath,51000,127915,0.01
3317,31,2020-07-01,4,Bruges,31000,282209,0.01
1489,21,2020-07-01,14,Bruxelles-Capitale,21000,1208542,0.01
4554,34,2020-07-01,4,Courtrai,34000,290706,0.01
7488,43,2020-07-01,1,Eeklo,43000,85235,0.01
6248,38,2020-07-01,1,Furnes,38000,61657,0.02
7907,44,2020-07-01,2,Gand,44000,560522,0.0
1954,23,2020-07-01,2,Hal-Vilvorde,23000,637441,0.0
13876,71,2020-07-01,3,Hasselt,71000,418496,0.01
11741,58,2020-07-01,2,La Louvière,58000,141060,0.01
12587,62,2020-07-01,1,Liège,62000,624422,0.0
2410,24,2020-07-01,3,Louvain,24000,508734,0.01
14329,72,2020-07-01,1,Maaseik,72000,251589,0.0
574,12,2020-07-01,2,Malines,12000,344818,0.01
10047,53,2020-07-01,3,Mons,53000,258999,0.01
2865,25,2020-07-01,1,Nivelles,25000,403599,0.0
5436,36,2020-07-01,3,Roulers,36000,153315,0.02
8767,46,2020-07-01,5,Saint-Nicolas,46000,252523,0.02
7088,42,2020-07-01,1,Termonde,42000,201213,0.0
10878,56,2020-07-01,1,Thuin,56000,91678,0.01
14782,73,2020-07-01,1,Tongres,73000,203963,0.0
11306,57,2020-07-01,2,Tournai,57000,223417,0.01
1027,13,2020-07-01,1,Turnhout,13000,461867,0.0
4118,33,2020-07-01,1,Ypres,33000,106279,0.01
6645,41,2020-07-02,2,Alost,41000,291229,0.01
122,11,2020-07-02,18,Anvers,11000,1051301,0.02
15174,81,2020-07-02,1,Arlon,81000,62623,0.02
1490,21,2020-07-02,17,Bruxelles-Capitale,21000,1208542,0.01
9606,52,2020-07-02,2,Charleroi,52000,396639,0.01
4555,34,2020-07-02,3,Courtrai,34000,290706,0.01
7908,44,2020-07-02,2,Gand,44000,560522,0.0
1955,23,2020-07-02,7,Hal-Vilvorde,23000,637441,0.01
13877,71,2020-07-02,2,Hasselt,71000,418496,0.0
11742,58,2020-07-02,1,La Louvière,58000,141060,0.01
2411,24,2020-07-02,6,Louvain,24000,508734,0.01
14330,72,2020-07-02,2,Maaseik,72000,251589,0.01
10048,53,2020-07-02,2,Mons,53000,258999,0.01
17444,92,2020-07-02,1,Namur,92000,316962,0.0
2866,25,2020-07-02,1,Nivelles,25000,403599,0.0
4999,35,2020-07-02,2,Ostende,35000,157200,0.01
5437,36,2020-07-02,1,Roulers,36000,153315,0.01
10471,55,2020-07-02,1,Soignies,55000,104533,0.01
7089,42,2020-07-02,2,Termonde,42000,201213,0.01
14783,73,2020-07-02,2,Tongres,73000,203963,0.01
11307,57,2020-07-02,2,Tournai,57000,223417,0.01
1028,13,2020-07-02,1,Turnhout,13000,461867,0.0
4119,33,2020-07-02,1,Ypres,33000,106279,0.01
6646,41,2020-07-03,2,Alost,41000,291229,0.01
123,11,2020-07-03,20,Anvers,11000,1051301,0.02
9182,51,2020-07-03,1,Ath,51000,127915,0.01
1491,21,2020-07-03,8,Bruxelles-Capitale,21000,1208542,0.01
9607,52,2020-07-03,3,Charleroi,52000,396639,0.01
4556,34,2020-07-03,2,Courtrai,34000,290706,0.01
17023,91,2020-07-03,1,Dinant,91000,111008,0.01
3729,32,2020-07-03,1,Dixmude,32000,51525,0.02
7909,44,2020-07-03,2,Gand,44000,560522,0.0
1956,23,2020-07-03,2,Hal-Vilvorde,23000,637441,0.0
13878,71,2020-07-03,1,Hasselt,71000,418496,0.0
11743,58,2020-07-03,1,La Louvière,58000,141060,0.01
12588,62,2020-07-03,3,Liège,62000,624422,0.0
14331,72,2020-07-03,1,Maaseik,72000,251589,0.0
575,12,2020-07-03,2,Malines,12000,344818,0.01
10049,53,2020-07-03,1,Mons,53000,258999,0.0
17445,92,2020-07-03,1,Namur,92000,316962,0.0
2867,25,2020-07-03,3,Nivelles,25000,403599,0.01
5438,36,2020-07-03,2,Roulers,36000,153315,0.01
8768,46,2020-07-03,4,Saint-Nicolas,46000,252523,0.02
7090,42,2020-07-03,1,Termonde,42000,201213,0.0
10879,56,2020-07-03,1,Thuin,56000,91678,0.01
5860,37,2020-07-03,1,Tielt,37000,92905,0.01
14784,73,2020-07-03,2,Tongres,73000,203963,0.01
11308,57,2020-07-03,3,Tournai,57000,223417,0.01
1029,13,2020-07-03,2,Turnhout,13000,461867,0.0
13036,63,2020-07-03,1,Verviers,63000,287772,0.0
4120,33,2020-07-03,2,Ypres,33000,106279,0.02
124,11,2020-07-04,10,Anvers,11000,1051301,0.01
15175,81,2020-07-04,1,Arlon,81000,62623,0.02
