,NIS3,DATE,CASES,name,NIS5,POP,CASES_PER_1000HABITANT
4031,33,2020-03-06,1,Ypres,33000,106279,0.01
6544,41,2020-03-07,1,Alost,41000,291229,0.0
5,11,2020-03-07,1,Anvers,11000,1051301,0.0
3211,31,2020-03-07,1,Bruges,31000,282209,0.0
1375,21,2020-03-07,5,Bruxelles-Capitale,21000,1208542,0.0
4445,34,2020-03-07,2,Courtrai,34000,290706,0.01
13761,71,2020-03-07,1,Hasselt,71000,418496,0.0
11643,58,2020-03-07,1,La Louvière,58000,141060,0.01
12472,62,2020-03-07,3,Liège,62000,624422,0.0
14222,72,2020-03-07,2,Maaseik,72000,251589,0.01
469,12,2020-03-07,2,Malines,12000,344818,0.01
2754,25,2020-03-07,1,Nivelles,25000,403599,0.0
5332,36,2020-03-07,1,Roulers,36000,153315,0.01
915,13,2020-03-07,3,Turnhout,13000,461867,0.01
6545,41,2020-03-08,1,Alost,41000,291229,0.0
6,11,2020-03-08,7,Anvers,11000,1051301,0.01
3212,31,2020-03-08,1,Bruges,31000,282209,0.0
1376,21,2020-03-08,5,Bruxelles-Capitale,21000,1208542,0.0
4446,34,2020-03-08,2,Courtrai,34000,290706,0.01
3652,32,2020-03-08,1,Dixmude,32000,51525,0.02
7797,44,2020-03-08,1,Gand,44000,560522,0.0
1840,23,2020-03-08,5,Hal-Vilvorde,23000,637441,0.01
13762,71,2020-03-08,3,Hasselt,71000,418496,0.01
12069,61,2020-03-08,1,Huy,61000,113409,0.01
11644,58,2020-03-08,1,La Louvière,58000,141060,0.01
12473,62,2020-03-08,3,Liège,62000,624422,0.0
14223,72,2020-03-08,2,Maaseik,72000,251589,0.01
470,12,2020-03-08,1,Malines,12000,344818,0.0
9944,53,2020-03-08,1,Mons,53000,258999,0.0
17343,92,2020-03-08,2,Namur,92000,316962,0.01
16238,84,2020-03-08,1,Neufchâteau,84000,63375,0.02
2755,25,2020-03-08,1,Nivelles,25000,403599,0.0
4891,35,2020-03-08,1,Ostende,35000,157200,0.01
5333,36,2020-03-08,1,Roulers,36000,153315,0.01
8659,46,2020-03-08,1,Saint-Nicolas,46000,252523,0.0
5776,37,2020-03-08,2,Tielt,37000,92905,0.02
14672,73,2020-03-08,2,Tongres,73000,203963,0.01
11195,57,2020-03-08,1,Tournai,57000,223417,0.0
