,date,Age,Location
189,2019-01-27,84,Hoeselt
190,2019-01-27,74,Tessenderlo
191,2019-01-27,80,Rochefort
192,2019-01-27,88,Bure
193,2019-01-27,86,Kuringen
194,2019-01-27,84,Alken
195,2019-01-27,88,Kalmthout
196,2019-01-27,86,Heusden
197,2019-01-27,59,Froyennes
198,2019-01-27,64,Zonhoven
199,2019-01-27,82,Namur
200,2019-01-27,64,Tessenderlo
201,2019-01-27,91,Mopertingen
202,2019-01-27,89,Heusden
203,2019-01-27,82,Zoersel
204,2019-01-27,84,Esplechin
205,2019-01-27,90,Pittem
206,2019-01-27,77,Merelbeke
207,2019-01-27,95,Martenslinde
208,2019-01-27,97,Diepenbeek
209,2019-01-27,89,Eisden
210,2019-01-26,95,Villers-devant-Orval
211,2019-01-26,86,-
212,2019-01-26,89,Oostham
213,2019-01-26,82,Leuze-en-Hainaut
214,2019-01-26,87,Bilzen
215,2019-01-26,64,Riemst
216,2019-01-26,87,Marche-en-Famenne
217,2019-01-26,85,Beauraing
218,2019-01-26,96,Sint-Truiden
219,2019-01-26,68,Leuze-en-Hainaut
220,2019-01-26,72,Leuven
221,2019-01-26,89,Dilsen-Stokkem
222,2019-01-26,78,Carlsbourg
223,2019-01-26,79,Rumes
224,2019-01-26,60,Beauraing
225,2019-01-26,76,Orgeo
226,2019-01-26,80,-
227,2019-01-26,74,Genk
228,2019-01-26,50,Taintignies
229,2019-01-26,68,Villers-devant-Orval
230,2019-01-26,85,Hasselt
231,2019-01-26,72,Andrimont
232,2019-01-26,80,Wellen
233,2019-01-26,77,Neufchâteau
234,2019-01-26,63,Froidmont
235,2019-01-26,87,Kortrijk
236,2019-01-26,88,Hasselt
237,2019-01-26,100,Wetteren
238,2019-01-26,89,Antheit
239,2019-01-26,91,Fraire
240,2019-01-26,88,Ciney
241,2019-01-26,84,Bertrix
242,2019-01-26,91,Stokkem
243,2019-01-26,86,Genk
244,2019-01-26,74,Mechelen-aan-de-Maas
245,2019-01-26,84,Diepenbeek
246,2019-01-26,83,Hasselt
247,2019-01-26,93,Alken
248,2019-01-26,78,Stevoort
249,2019-01-26,52,Heusden-Zolder
250,2019-01-26,87,Mechelen-aan-de-Maas
251,2019-01-26,90,Lummen
252,2019-01-26,88,-
253,2019-01-26,63,Libramont-Chevigny
254,2019-01-25,77,Opglabbeek
255,2019-01-25,72,Wépion
256,2019-01-25,71,Nassogne
257,2019-01-25,78,Ransart
258,2019-01-25,86,Boninne
259,2019-01-25,87,Stokkem
260,2019-01-25,87,Mesnil-Saint-Blaise
261,2019-01-25,86,Zolder
262,2019-01-25,22,Zolder
263,2019-01-25,83,Auvelais
264,2019-01-25,86,Merksem
265,2019-01-25,48,Mouscron
266,2019-01-25,95,Ath
267,2019-01-25,82,Linkhout
268,2019-01-25,86,Antoing
269,2019-01-25,85,Ath
270,2019-01-25,92,Gembloux
271,2019-01-25,61,Wilderen
272,2019-01-25,93,Leuze-en-Hainaut
273,2019-01-25,92,Leuven
274,2019-01-25,98,-
275,2019-01-25,82,Jollain-Merlin
276,2019-01-25,74,Maubray
277,2019-01-25,84,Meeuwen-Gruitrode
278,2019-01-25,76,Namur
279,2019-01-25,88,Wiers
280,2019-01-25,86,Hasselt
281,2019-01-25,69,Loncin
282,2019-01-25,51,Hasselt
283,2019-01-25,51,Hasselt
284,2019-01-25,60,Sint-Truiden
285,2019-01-25,73,Marche-en-Famenne
286,2019-01-25,82,Diepenbeek
287,2019-01-25,90,Herent
288,2019-01-25,89,Bastogne
289,2019-01-25,96,Bree
290,2019-01-25,91,Namur
291,2019-01-25,93,-
292,2019-01-25,85,Hognoul
293,2019-01-25,67,Alken
294,2019-01-25,86,Eisden
295,2019-01-25,85,Diest
296,2019-01-25,94,Sint-Lambrechts-Herk
297,2019-01-25,87,Herk-de-Stad
298,2019-01-25,82,-
299,2019-01-25,92,Zolder
300,2019-01-25,81,Bree
301,2019-01-24,62,Champlon
302,2019-01-24,89,Huy
303,2019-01-24,90,Ligne
304,2019-01-24,82,Heusden
305,2019-01-24,87,Gaurain-Ramecroix
306,2019-01-24,58,Hasselt
307,2019-01-24,90,Helchteren
308,2019-01-24,93,Destelbergen
309,2019-01-24,92,Gembloux
310,2019-01-24,93,Kain
311,2019-01-24,93,Genk
312,2019-01-24,66,Kain
