Jaar week,AgeGroup,Hospitalisations
24 mei 2021 t/m 30 mei 2021 (Week 21),40–59,0.405
24 mei 2021 t/m 30 mei 2021 (Week 21),20–39,0.144
24 mei 2021 t/m 30 mei 2021 (Week 21),06–19,0.023
24 mei 2021 t/m 30 mei 2021 (Week 21),80–++,0.126
24 mei 2021 t/m 30 mei 2021 (Week 21),60–79,0.275
31 mei 2021 t/m 6 jun. 2021 (Week 22),80–++,0.135
31 mei 2021 t/m 6 jun. 2021 (Week 22),60–79,0.221
31 mei 2021 t/m 6 jun. 2021 (Week 22),40–59,0.5
31 mei 2021 t/m 6 jun. 2021 (Week 22),20–39,0.096
31 mei 2021 t/m 6 jun. 2021 (Week 22),06–19,0.019
31 mei 2021 t/m 6 jun. 2021 (Week 22),00–05,0.029
