Jaar week,AgeGroup,Hospitalisations
25 mei 2020 t/m 31 mei 2020 (Week 22),06–19,0.034
1 jun. 2020 t/m 7 jun. 2020 (Week 23),80–++,0.406
1 jun. 2020 t/m 7 jun. 2020 (Week 23),20–39,0.094
1 jun. 2020 t/m 7 jun. 2020 (Week 23),40–59,0.119
1 jun. 2020 t/m 7 jun. 2020 (Week 23),06–19,0.006
1 jun. 2020 t/m 7 jun. 2020 (Week 23),00–05,0.019
1 jun. 2020 t/m 7 jun. 2020 (Week 23),60–79,0.356
8 jun. 2020 t/m 14 jun. 2020 (Week 24),06–19,0.027
8 jun. 2020 t/m 14 jun. 2020 (Week 24),00–05,0.013
8 jun. 2020 t/m 14 jun. 2020 (Week 24),20–39,0.141
8 jun. 2020 t/m 14 jun. 2020 (Week 24),60–79,0.255
8 jun. 2020 t/m 14 jun. 2020 (Week 24),80–++,0.416
8 jun. 2020 t/m 14 jun. 2020 (Week 24),40–59,0.148
15 jun. 2020 t/m 21 jun. 2020 (Week 25),00–05,0.035
15 jun. 2020 t/m 21 jun. 2020 (Week 25),80–++,0.319
15 jun. 2020 t/m 21 jun. 2020 (Week 25),60–79,0.345
15 jun. 2020 t/m 21 jun. 2020 (Week 25),40–59,0.177
15 jun. 2020 t/m 21 jun. 2020 (Week 25),20–39,0.115
15 jun. 2020 t/m 21 jun. 2020 (Week 25),06–19,0.009
22 jun. 2020 t/m 28 jun. 2020 (Week 26),00–05,0
22 jun. 2020 t/m 28 jun. 2020 (Week 26),06–19,0.025
22 jun. 2020 t/m 28 jun. 2020 (Week 26),80–++,0.309
22 jun. 2020 t/m 28 jun. 2020 (Week 26),60–79,0.395
22 jun. 2020 t/m 28 jun. 2020 (Week 26),40–59,0.136
22 jun. 2020 t/m 28 jun. 2020 (Week 26),20–39,0.136
29 jun. 2020 t/m 5 jul. 2020 (Week 27),20–39,0.113
29 jun. 2020 t/m 5 jul. 2020 (Week 27),40–59,0.208
29 jun. 2020 t/m 5 jul. 2020 (Week 27),80–++,0.226
29 jun. 2020 t/m 5 jul. 2020 (Week 27),06–19,0.038
29 jun. 2020 t/m 5 jul. 2020 (Week 27),00–05,0.057
29 jun. 2020 t/m 5 jul. 2020 (Week 27),60–79,0.358
6 jul. 2020 t/m 12 jul. 2020 (Week 28),06–19,0.054
6 jul. 2020 t/m 12 jul. 2020 (Week 28),00–05,0
6 jul. 2020 t/m 12 jul. 2020 (Week 28),40–59,0.125
6 jul. 2020 t/m 12 jul. 2020 (Week 28),80–++,0.339
6 jul. 2020 t/m 12 jul. 2020 (Week 28),60–79,0.375
6 jul. 2020 t/m 12 jul. 2020 (Week 28),20–39,0.107
13 jul. 2020 t/m 19 jul. 2020 (Week 29),00–05,0.059
13 jul. 2020 t/m 19 jul. 2020 (Week 29),80–++,0.238
13 jul. 2020 t/m 19 jul. 2020 (Week 29),20–39,0.099
13 jul. 2020 t/m 19 jul. 2020 (Week 29),06–19,0.02
13 jul. 2020 t/m 19 jul. 2020 (Week 29),60–79,0.337
13 jul. 2020 t/m 19 jul. 2020 (Week 29),40–59,0.248
20 jul. 2020 t/m 26 jul. 2020 (Week 30),80–++,0.199
20 jul. 2020 t/m 26 jul. 2020 (Week 30),60–79,0.219
20 jul. 2020 t/m 26 jul. 2020 (Week 30),40–59,0.371
20 jul. 2020 t/m 26 jul. 2020 (Week 30),20–39,0.146
20 jul. 2020 t/m 26 jul. 2020 (Week 30),06–19,0.02
20 jul. 2020 t/m 26 jul. 2020 (Week 30),00–05,0.046
27 jul. 2020 t/m 2 aug. 2020 (Week 31),60–79,0.349
27 jul. 2020 t/m 2 aug. 2020 (Week 31),00–05,0.016
27 jul. 2020 t/m 2 aug. 2020 (Week 31),40–59,0.333
27 jul. 2020 t/m 2 aug. 2020 (Week 31),80–++,0.159
27 jul. 2020 t/m 2 aug. 2020 (Week 31),20–39,0.111
27 jul. 2020 t/m 2 aug. 2020 (Week 31),06–19,0.032
3 aug. 2020 t/m 9 aug. 2020 (Week 32),20–39,0.176
3 aug. 2020 t/m 9 aug. 2020 (Week 32),06–19,0.029
3 aug. 2020 t/m 9 aug. 2020 (Week 32),00–05,0.039
3 aug. 2020 t/m 9 aug. 2020 (Week 32),40–59,0.254
3 aug. 2020 t/m 9 aug. 2020 (Week 32),80–++,0.195
3 aug. 2020 t/m 9 aug. 2020 (Week 32),60–79,0.307
10 aug. 2020 t/m 16 aug. 2020 (Week 33),00–05,0.004
10 aug. 2020 t/m 16 aug. 2020 (Week 33),06–19,0.018
10 aug. 2020 t/m 16 aug. 2020 (Week 33),80–++,0.25
10 aug. 2020 t/m 16 aug. 2020 (Week 33),20–39,0.054
10 aug. 2020 t/m 16 aug. 2020 (Week 33),60–79,0.397
10 aug. 2020 t/m 16 aug. 2020 (Week 33),40–59,0.277
17 aug. 2020 t/m 23 aug. 2020 (Week 34),20–39,0.121
17 aug. 2020 t/m 23 aug. 2020 (Week 34),06–19,0.04
17 aug. 2020 t/m 23 aug. 2020 (Week 34),00–05,0.04
17 aug. 2020 t/m 23 aug. 2020 (Week 34),80–++,0.201
17 aug. 2020 t/m 23 aug. 2020 (Week 34),60–79,0.342
17 aug. 2020 t/m 23 aug. 2020 (Week 34),40–59,0.256
24 aug. 2020 t/m 30 aug. 2020 (Week 35),40–59,0.203
24 aug. 2020 t/m 30 aug. 2020 (Week 35),60–79,0.386
24 aug. 2020 t/m 30 aug. 2020 (Week 35),80–++,0.268
24 aug. 2020 t/m 30 aug. 2020 (Week 35),20–39,0.105
24 aug. 2020 t/m 30 aug. 2020 (Week 35),06–19,0.02
24 aug. 2020 t/m 30 aug. 2020 (Week 35),00–05,0.02
31 aug. 2020 t/m 6 sep. 2020 (Week 36),40–59,0.188
31 aug. 2020 t/m 6 sep. 2020 (Week 36),60–79,0.348
31 aug. 2020 t/m 6 sep. 2020 (Week 36),06–19,0.005
31 aug. 2020 t/m 6 sep. 2020 (Week 36),00–05,0.043
31 aug. 2020 t/m 6 sep. 2020 (Week 36),80–++,0.324
31 aug. 2020 t/m 6 sep. 2020 (Week 36),20–39,0.092
7 sep. 2020 t/m 13 sep. 2020 (Week 37),80–++,0.293
7 sep. 2020 t/m 13 sep. 2020 (Week 37),06–19,0.028
7 sep. 2020 t/m 13 sep. 2020 (Week 37),00–05,0.038
7 sep. 2020 t/m 13 sep. 2020 (Week 37),40–59,0.207
7 sep. 2020 t/m 13 sep. 2020 (Week 37),20–39,0.117
7 sep. 2020 t/m 13 sep. 2020 (Week 37),60–79,0.317
14 sep. 2020 t/m 20 sep. 2020 (Week 38),06–19,0.013
14 sep. 2020 t/m 20 sep. 2020 (Week 38),00–05,0.027
14 sep. 2020 t/m 20 sep. 2020 (Week 38),80–++,0.309
14 sep. 2020 t/m 20 sep. 2020 (Week 38),60–79,0.371
14 sep. 2020 t/m 20 sep. 2020 (Week 38),40–59,0.2
14 sep. 2020 t/m 20 sep. 2020 (Week 38),20–39,0.08
21 sep. 2020 t/m 27 sep. 2020 (Week 39),60–79,0.378
21 sep. 2020 t/m 27 sep. 2020 (Week 39),00–05,0.022
21 sep. 2020 t/m 27 sep. 2020 (Week 39),40–59,0.175
21 sep. 2020 t/m 27 sep. 2020 (Week 39),80–++,0.351
21 sep. 2020 t/m 27 sep. 2020 (Week 39),20–39,0.067
21 sep. 2020 t/m 27 sep. 2020 (Week 39),06–19,0.006
28 sep. 2020 t/m 4 okt. 2020 (Week 40),06–19,0.011
28 sep. 2020 t/m 4 okt. 2020 (Week 40),00–05,0.013
28 sep. 2020 t/m 4 okt. 2020 (Week 40),20–39,0.063
28 sep. 2020 t/m 4 okt. 2020 (Week 40),40–59,0.197
28 sep. 2020 t/m 4 okt. 2020 (Week 40),80–++,0.32
28 sep. 2020 t/m 4 okt. 2020 (Week 40),60–79,0.396
5 okt. 2020 t/m 11 okt. 2020 (Week 41),00–05,0.024
5 okt. 2020 t/m 11 okt. 2020 (Week 41),80–++,0.337
5 okt. 2020 t/m 11 okt. 2020 (Week 41),60–79,0.398
5 okt. 2020 t/m 11 okt. 2020 (Week 41),40–59,0.174
5 okt. 2020 t/m 11 okt. 2020 (Week 41),20–39,0.059
5 okt. 2020 t/m 11 okt. 2020 (Week 41),06–19,0.007
12 okt. 2020 t/m 18 okt. 2020 (Week 42),20–39,0.071
12 okt. 2020 t/m 18 okt. 2020 (Week 42),06–19,0.006
12 okt. 2020 t/m 18 okt. 2020 (Week 42),00–05,0.019
12 okt. 2020 t/m 18 okt. 2020 (Week 42),80–++,0.312
12 okt. 2020 t/m 18 okt. 2020 (Week 42),60–79,0.399
12 okt. 2020 t/m 18 okt. 2020 (Week 42),40–59,0.193
19 okt. 2020 t/m 25 okt. 2020 (Week 43),40–59,0.203
19 okt. 2020 t/m 25 okt. 2020 (Week 43),60–79,0.391
19 okt. 2020 t/m 25 okt. 2020 (Week 43),80–++,0.309
19 okt. 2020 t/m 25 okt. 2020 (Week 43),20–39,0.069
19 okt. 2020 t/m 25 okt. 2020 (Week 43),06–19,0.006
19 okt. 2020 t/m 25 okt. 2020 (Week 43),00–05,0.023
26 okt. 2020 t/m 1 nov. 2020 (Week 44),20–39,0.054
26 okt. 2020 t/m 1 nov. 2020 (Week 44),06–19,0.005
26 okt. 2020 t/m 1 nov. 2020 (Week 44),40–59,0.211
26 okt. 2020 t/m 1 nov. 2020 (Week 44),00–05,0.015
26 okt. 2020 t/m 1 nov. 2020 (Week 44),80–++,0.272
26 okt. 2020 t/m 1 nov. 2020 (Week 44),60–79,0.442
2 nov. 2020 t/m 8 nov. 2020 (Week 45),00–05,0.008
2 nov. 2020 t/m 8 nov. 2020 (Week 45),06–19,0.008
2 nov. 2020 t/m 8 nov. 2020 (Week 45),80–++,0.321
2 nov. 2020 t/m 8 nov. 2020 (Week 45),40–59,0.195
2 nov. 2020 t/m 8 nov. 2020 (Week 45),20–39,0.051
2 nov. 2020 t/m 8 nov. 2020 (Week 45),60–79,0.416
9 nov. 2020 t/m 15 nov. 2020 (Week 46),00–05,0.009
9 nov. 2020 t/m 15 nov. 2020 (Week 46),80–++,0.335
9 nov. 2020 t/m 15 nov. 2020 (Week 46),60–79,0.413
9 nov. 2020 t/m 15 nov. 2020 (Week 46),40–59,0.176
9 nov. 2020 t/m 15 nov. 2020 (Week 46),20–39,0.06
9 nov. 2020 t/m 15 nov. 2020 (Week 46),06–19,0.007
16 nov. 2020 t/m 22 nov. 2020 (Week 47),00–05,0.009
16 nov. 2020 t/m 22 nov. 2020 (Week 47),60–79,0.362
16 nov. 2020 t/m 22 nov. 2020 (Week 47),40–59,0.163
16 nov. 2020 t/m 22 nov. 2020 (Week 47),80–++,0.386
16 nov. 2020 t/m 22 nov. 2020 (Week 47),20–39,0.07
16 nov. 2020 t/m 22 nov. 2020 (Week 47),06–19,0.01
23 nov. 2020 t/m 29 nov. 2020 (Week 48),20–39,0.069
23 nov. 2020 t/m 29 nov. 2020 (Week 48),06–19,0.015
23 nov. 2020 t/m 29 nov. 2020 (Week 48),40–59,0.144
23 nov. 2020 t/m 29 nov. 2020 (Week 48),00–05,0.013
23 nov. 2020 t/m 29 nov. 2020 (Week 48),80–++,0.413
23 nov. 2020 t/m 29 nov. 2020 (Week 48),60–79,0.346
30 nov. 2020 t/m 6 dec. 2020 (Week 49),00–05,0.008
30 nov. 2020 t/m 6 dec. 2020 (Week 49),06–19,0.024
30 nov. 2020 t/m 6 dec. 2020 (Week 49),80–++,0.419
30 nov. 2020 t/m 6 dec. 2020 (Week 49),20–39,0.062
30 nov. 2020 t/m 6 dec. 2020 (Week 49),60–79,0.327
