year,week,age,tot
2020,13,85+,1428
2020,14,85+,1903
2020,15,85+,2107
2020,16,85+,1851
2020,17,85+,1473
2020,18,85+,1107
2020,19,85+,1079
2020,20,85+,867
2020,21,85+,945
2020,22,85+,885
2020,23,85+,773
2020,24,85+,778
2020,25,85+,778
2020,26,85+,803
2020,27,85+,741
2020,28,85+,672
2020,29,85+,764
2020,30,85+,755
2020,31,85+,807
2020,32,85+,855
2020,33,85+,1308
2020,34,85+,965
2020,35,85+,764
2020,36,85+,775
2020,37,85+,730
2020,38,85+,851
2020,39,85+,793
