INS,FR_INS,NL_INS,INS6,FR_INS6,NL_INS6,
12005,Bonheiden,Bonheiden,12005B,RIJMENAM*,RIJMENAM*,
12007,Bornem,Bornem,12007A,BORNEM,BORNEM,
12007,Bornem,Bornem,12007B,HINGENE,HINGENE,
12007,Bornem,Bornem,12007C,MARIEKERKE,MARIEKERKE,
12007,Bornem,Bornem,12007D,WEERT,WEERT,
12009,Duffel,Duffel,12009A,DUFFEL,DUFFEL,
12014,Heist-op-den-Berg,Heist-op-den-Berg,12014A,HEIST-OP-DEN-BERG,HEIST-OP-DEN-BERG,
12014,Heist-op-den-Berg,Heist-op-den-Berg,12014B,HALLAAR,HALLAAR,
12014,Heist-op-den-Berg,Heist-op-den-Berg,12014C,ITEGEM,ITEGEM,
12014,Heist-op-den-Berg,Heist-op-den-Berg,12014D,WIEKEVORST,WIEKEVORST,
12014,Heist-op-den-Berg,Heist-op-den-Berg,12014E,BOOISCHOT,BOOISCHOT,
12014,Heist-op-den-Berg,Heist-op-den-Berg,12014F,SCHRIEK,SCHRIEK,
12021,Lier,Lierre,12021A,LIER,LIER,
12021,Lier,Lierre,12021B,KONINGSHOOIKT,KONINGSHOOIKT,
12025,Mechelen,Malines,12025A,MECHELEN & DEEL ST-KATELIJNE-W,MECHELEN & DEEL ST-KATELIJNE-W,
12025,Mechelen,Malines,12025B,HOMBEEK,HOMBEEK,
12025,Mechelen,Malines,12025C,LEEST,LEEST,
12025,Mechelen,Malines,12025D,HEFFEN,HEFFEN,
12025,Mechelen,Malines,12025E,WALEM,WALEM,
12025,Mechelen,Malines,12025F,MUIZEN,MUIZEN,
12026,Nijlen,Nijlen,12026A,NIJLEN,NIJLEN,
12026,Nijlen,Nijlen,12026B,BEVEL,BEVEL,
12026,Nijlen,Nijlen,12026C,KESSEL,KESSEL,
12029,Putte,Putte,12029A,PUTTE & DEEL O. L. V. WAVER & RIJMENAM,PUTTE & DEEL O. L. V. WAVER & RIJMENAM,
12029,Putte,Putte,12029B,BEERZEL,BEERZEL,
12041,Puurs-Sint-Amands,Puurs-Sint-Amands,12030A,PUURS,PUURS,
12041,Puurs-Sint-Amands,Puurs-Sint-Amands,12030B,RUISBROEK* + DEEL WILLEBROEK,RUISBROEK* + DEEL WILLEBROEK,
12041,Puurs-Sint-Amands,Puurs-Sint-Amands,12030C,BREENDONK* + DEEL TISSELT,BREENDONK* + DEEL TISSELT,
12041,Puurs-Sint-Amands,Puurs-Sint-Amands,12030D,LIEZELE,LIEZELE,
12041,Puurs-Sint-Amands,Puurs-Sint-Amands,12034A,SINT-AMANDS,SINT-AMANDS,
12041,Puurs-Sint-Amands,Puurs-Sint-Amands,12034B,OPPUURS,OPPUURS,
12041,Puurs-Sint-Amands,Puurs-Sint-Amands,12034C,LIPPELO,LIPPELO,
