NIS5,CASES,FR,NL,POP
24109,306,Tremelo,Tremelo,14914
24130,146,Leau,Zoutleeuw,8480
24133,110,Linter,Linter,7269
24134,316,Montaigu_Zichem,Scherpenheuvel_Zichem,23029
24135,89,Tielt_Winge,Tielt_Winge,10747
24137,85,Glabbeek,Glabbeek,5271
25005,280,Beauvechain,Bevekom,7243
25014,1637,Braine_lAlleud,Eigenbrakel,40008
25015,527,Braine_le_Chateau,Kasteelbrakel,10549
25018,522,Chaumont_Gistoux,Chaumont_Gistoux,11798
25023,465,Court_Saint_Etienne,Court_Saint_Etienne,10540
25031,667,Genappe,Genappe,15427
25037,623,Grez_Doiceau,Graven,13668
25043,270,Incourt,Incourt,5487
25044,344,Ittre,Itter,6889
25048,576,Jodoigne,Geldenaken,14123
25050,384,La_Hulpe,Terhulpen,7343
25068,396,Mont_Saint_Guibert,Mont_Saint_Guibert,7771
25072,1152,Nivelles,Nijvel,28734
25084,384,Perwez,Perwijs,9303
25091,1165,Rixensart,Rixensart,22558
25105,1299,Tubize,Tubeke,26233
25107,512,Villers_la_Ville,Villers_la_Ville,10702
25110,1328,Waterloo,Waterloo,30328
25112,1445,Wavre,Waver,34396
25117,354,Chastre,Chastre,7647
25118,116,Helecine,Helecine,3553
25119,791,Lasne,Lasne,14244
25120,311,Orp_Jauche,Orp_Jauche,8924
25121,1492,Ottignies_Louvain_la_Neuve,Ottignies_Louvain_la_Neuve,31443
25122,303,Ramillies,Ramillies,6522
25123,402,Rebecq,Rebecq,10979
25124,378,Walhain,Walhain,7187
31003,331,Beernem,Beernem,15763
31004,405,Blankenberge,Blankenberge,20436
31005,2264,Bruges,Brugge,118325
31006,179,Damme,Damme,10993
31012,325,Jabbeke,Jabbeke,13865
31022,486,Oostkamp,Oostkamp,23698
31033,528,Torhout,Torhout,20463
31040,472,Zedelgem,Zedelgem,22819
31042,40,Zuienkerke,Zuienkerke,2721
31043,824,Knokke_Heist,Knokke_Heist,33126
32003,261,Dixmude,Diksmuide,16743
32006,226,Houthulst,Houthulst,10098
32010,186,Koekelare,Koekelare,8777
32011,241,Kortemark,Kortemark,12616
32030,118,Lo_Reninge,Lo_Reninge,3291
33011,1011,Ypres,Ieper,34845
33016,37,Messines,Mesen,1065
33021,607,Poperinge,Poperinge,19702
33029,590,Wervik,Wervik,18767
33037,453,Zonnebeke,Zonnebeke,12481
33039,242,Heuvelland,Heuvelland,7909
33040,238,Langemark_Poelkapelle,Langemark_Poelkapelle,7819
33041,93,Vleteren,Vleteren,3691
34002,383,Anzegem,Anzegem,14716
34003,202,Avelgem,Avelgem,10158
34009,307,Deerlijk,Deerlijk,11946
34013,695,Harelbeke,Harelbeke,28158
34022,2292,Courtrai,Kortrijk,76735
34023,304,Kuurne,Kuurne,13484
34025,217,Lendelede,Lendelede,5747
34027,1538,Menin,Menen,33385
34040,1242,Waregem,Waregem,38266
34041,959,Wevelgem,Wevelgem,31406
34042,595,Zwevegem,Zwevegem,24656
34043,92,Espierres_Helchin,Spiere_Helkijn,2049
35002,300,Bredene,Bredene,18095
35005,260,Gistel,Gistel,12178
35006,264,Ichtegem,Ichtegem,14050
35011,427,Middelkerke,Middelkerke,19336
35013,1349,Ostende,Oostende,71494
35014,137,Oudenburg,Oudenburg,9381
35029,244,De_Haan,De_Haan,12666
36006,304,Hooglede,Hooglede,9987
36007,279,Ingelmunster,Ingelmunster,10996
36008,720,Izegem,Izegem,28018
36010,421,Ledegem,Ledegem,9695
36011,176,Lichtervelde,Lichtervelde,8926
36012,470,Moorslede,Moorslede,11250
36015,2015,Roulers,Roeselare,62954
36019,359,Staden,Staden,11489
37002,248,Dentergem,Dentergem,8555
37007,284,Meulebeke,Meulebeke,10860
37010,222,Oostrozebeke,Oostrozebeke,7932
37011,218,Pittem,Pittem,6738
37012,154,Ruiselede,Ruiselede,5358
37015,653,Tielt,Tielt,20502
37017,237,Wielsbeke,Wielsbeke,9641
37018,411,Wingene,Wingene,14263
37020,261,Ardooie,Ardooie,9056
