,DATE,REGION,AGEGROUP,SEX,DEATHS
144,2020-03-24,Brussels,85+,F,3
145,2020-03-24,Wallonia,45-64,F,1
146,2020-03-24,Wallonia,65-74,M,11
147,2020-03-24,Wallonia,65-74,F,1
148,2020-03-24,Wallonia,75-84,M,5
149,2020-03-24,Wallonia,75-84,F,4
150,2020-03-24,Wallonia,85+,M,7
151,2020-03-24,Wallonia,85+,F,5
152,2020-03-25,Flanders,45-64,M,2
153,2020-03-25,Flanders,45-64,F,2
154,2020-03-25,Flanders,65-74,M,6
155,2020-03-25,Flanders,75-84,M,9
156,2020-03-25,Flanders,75-84,F,7
157,2020-03-25,Flanders,85+,M,16
158,2020-03-25,Flanders,85+,F,11
159,2020-03-25,Brussels,45-64,M,1
160,2020-03-25,Brussels,65-74,M,2
161,2020-03-25,Brussels,65-74,F,2
162,2020-03-25,Brussels,75-84,M,2
163,2020-03-25,Brussels,75-84,F,2
164,2020-03-25,Brussels,85+,M,2
165,2020-03-25,Brussels,85+,F,5
166,2020-03-25,Wallonia,25-44,F,1
167,2020-03-25,Wallonia,45-64,M,2
168,2020-03-25,Wallonia,45-64,F,1
169,2020-03-25,Wallonia,65-74,M,7
170,2020-03-25,Wallonia,65-74,F,1
171,2020-03-25,Wallonia,75-84,M,5
172,2020-03-25,Wallonia,75-84,F,8
173,2020-03-25,Wallonia,85+,M,8
174,2020-03-25,Wallonia,85+,F,5
175,2020-03-26,Flanders,25-44,F,1
176,2020-03-26,Flanders,65-74,M,3
177,2020-03-26,Flanders,65-74,F,1
178,2020-03-26,Flanders,75-84,M,9
179,2020-03-26,Flanders,75-84,F,3
180,2020-03-26,Flanders,85+,M,13
181,2020-03-26,Flanders,85+,F,6
182,2020-03-26,Brussels,45-64,M,4
183,2020-03-26,Brussels,65-74,M,2
184,2020-03-26,Brussels,75-84,M,5
185,2020-03-26,Brussels,75-84,F,2
186,2020-03-26,Brussels,85+,M,3
187,2020-03-26,Brussels,85+,F,3
188,2020-03-26,Wallonia,45-64,F,1
189,2020-03-26,Wallonia,65-74,M,4
190,2020-03-26,Wallonia,65-74,F,3
191,2020-03-26,Wallonia,75-84,M,7
192,2020-03-26,Wallonia,75-84,F,8
193,2020-03-26,Wallonia,85+,M,10
194,2020-03-26,Wallonia,85+,F,14
195,2020-03-27,Flanders,45-64,M,3
196,2020-03-27,Flanders,65-74,M,8
197,2020-03-27,Flanders,75-84,M,12
198,2020-03-27,Flanders,75-84,F,14
199,2020-03-27,Flanders,85+,M,18
200,2020-03-27,Flanders,85+,F,21
201,2020-03-27,Brussels,65-74,M,3
202,2020-03-27,Brussels,65-74,F,3
203,2020-03-27,Brussels,75-84,M,3
204,2020-03-27,Brussels,85+,M,2
205,2020-03-27,Brussels,85+,F,5
206,2020-03-27,Wallonia,45-64,M,4
207,2020-03-27,Wallonia,45-64,F,2
208,2020-03-27,Wallonia,65-74,M,2
209,2020-03-27,Wallonia,65-74,F,1
210,2020-03-27,Wallonia,75-84,M,5
211,2020-03-27,Wallonia,75-84,F,4
212,2020-03-27,Wallonia,85+,M,4
213,2020-03-27,Wallonia,85+,F,14
214,2020-03-28,Flanders,45-64,M,5
215,2020-03-28,Flanders,65-74,M,7
