CD_REFNIS,CD_SEX,CD_AGEGROUP,DT_DATE,NR_YEAR,MS_NUM_DEATH
3000,1,0-24,2010-01-01,2010,1
3000,1,0-24,2012-01-01,2012,1
3000,1,0-24,2014-01-01,2014,1
3000,1,0-24,2015-01-01,2015,1
3000,1,0-24,2019-01-01,2019,3
3000,1,0-24,2020-01-01,2020,1
3000,1,25-44,2009-01-01,2009,2
3000,1,25-44,2010-01-01,2010,1
3000,1,25-44,2011-01-01,2011,3
3000,1,25-44,2012-01-01,2012,5
3000,1,25-44,2013-01-01,2013,3
3000,1,25-44,2014-01-01,2014,2
3000,1,25-44,2015-01-01,2015,2
3000,1,25-44,2016-01-01,2016,2
3000,1,25-44,2018-01-01,2018,3
3000,1,25-44,2020-01-01,2020,1
3000,1,45-64,2009-01-01,2009,12
3000,1,45-64,2010-01-01,2010,11
3000,1,45-64,2011-01-01,2011,18
3000,1,45-64,2012-01-01,2012,12
3000,1,45-64,2013-01-01,2013,8
3000,1,45-64,2014-01-01,2014,13
3000,1,45-64,2015-01-01,2015,14
3000,1,45-64,2016-01-01,2016,9
3000,1,45-64,2017-01-01,2017,13
3000,1,45-64,2018-01-01,2018,15
3000,1,45-64,2019-01-01,2019,6
3000,1,45-64,2020-01-01,2020,14
3000,1,65-74,2009-01-01,2009,11
3000,1,65-74,2010-01-01,2010,12
3000,1,65-74,2011-01-01,2011,4
3000,1,65-74,2012-01-01,2012,14
3000,1,65-74,2013-01-01,2013,10
3000,1,65-74,2014-01-01,2014,7
3000,1,65-74,2015-01-01,2015,23
3000,1,65-74,2016-01-01,2016,4
3000,1,65-74,2017-01-01,2017,8
3000,1,65-74,2018-01-01,2018,9
3000,1,65-74,2019-01-01,2019,13
3000,1,65-74,2020-01-01,2020,8
3000,1,75-84,2009-01-01,2009,20
3000,1,75-84,2010-01-01,2010,9
3000,1,75-84,2011-01-01,2011,19
3000,1,75-84,2012-01-01,2012,23
3000,1,75-84,2013-01-01,2013,15
3000,1,75-84,2014-01-01,2014,14
3000,1,75-84,2015-01-01,2015,14
3000,1,75-84,2016-01-01,2016,10
3000,1,75-84,2017-01-01,2017,17
3000,1,75-84,2018-01-01,2018,12
3000,1,75-84,2019-01-01,2019,12
3000,1,75-84,2020-01-01,2020,14
3000,1,85+,2009-01-01,2009,13
3000,1,85+,2010-01-01,2010,11
3000,1,85+,2011-01-01,2011,10
3000,1,85+,2012-01-01,2012,6
3000,1,85+,2013-01-01,2013,9
3000,1,85+,2014-01-01,2014,17
3000,1,85+,2015-01-01,2015,7
3000,1,85+,2016-01-01,2016,15
3000,1,85+,2017-01-01,2017,23
3000,1,85+,2018-01-01,2018,17
3000,1,85+,2019-01-01,2019,13
3000,1,85+,2020-01-01,2020,13
3000,2,0-24,2012-01-01,2012,1
3000,2,0-24,2015-01-01,2015,1
3000,2,0-24,2020-01-01,2020,1
3000,2,25-44,2010-01-01,2010,2
3000,2,25-44,2013-01-01,2013,3
3000,2,25-44,2014-01-01,2014,1
3000,2,25-44,2016-01-01,2016,1
3000,2,25-44,2017-01-01,2017,3
3000,2,25-44,2018-01-01,2018,2
3000,2,25-44,2019-01-01,2019,2
3000,2,45-64,2009-01-01,2009,8
3000,2,45-64,2010-01-01,2010,8
3000,2,45-64,2011-01-01,2011,7
3000,2,45-64,2012-01-01,2012,6
3000,2,45-64,2013-01-01,2013,7
3000,2,45-64,2014-01-01,2014,9
3000,2,45-64,2015-01-01,2015,6
3000,2,45-64,2016-01-01,2016,7
3000,2,45-64,2017-01-01,2017,5
3000,2,45-64,2018-01-01,2018,5
