Geography;Immigrated after 1980;Number of habitants;% of habitants older than 65;Active population;Unemployed;Foreigners;European Foreigners;Non European Foreigners;Older than 20 with high degree;Married;Registered Partnership;Commuter;Born abroad;Born Europe;Born non-europe;Ratio female male;Self employed;Number of households;One person households;Couple without children;Couple with children;One parent households;Percentage employees;Percentage younger than 15;Ageing percentage;Population density;Average household size;Percentage of population that moved in 2;Percentage of between 15 and 65 years ol;Number of buildings;Percentage of Buildings where owner live;Percentage of Buildings with one housing;Percentage of Buildings built after 2001;Percentage of Buildings built after 1991;Percentage of Buildings built before 191;Employment rate between 15 and 64;Employment rate between 20 and 64;Average age of population; 
34041;0,0371;31121;0,1825;0,7184;0,0355;0,0178;0,0094;0,0085;0,2532;0,5863;0,0232;0,1303;0,0365;0,016;0,0205;101,5087;0,1314;12684;0,2547;0,3217;0,3369;0,0684;0,8513;0,1622;0,2785;802,89;2,43;0,0804;0,6553;12525;0,804;0,9176;0,0814;0,1893;0,1065;0,6929;0,7588;41,533692196; 
34042;0,0334;24139;0,1862;0,7118;0,0324;0,0163;0,0087;0,0076;0,2691;0,5947;0,0299;0,1683;0,0302;0,0136;0,0165;101,1583;0,1461;9767;0,2492;0,322;0,3443;0,0666;0,8295;0,1645;0,2867;381,69;2,45;0,0749;0,6494;9572;0,783;0,9118;0,1;0,2137;0,1271;0,6887;0,7504;41,626333879; 
32000;0,0294;50029;0,193;0,7187;0,0339;0,0109;0,0068;0,0041;0,1973;0,572;0,0311;0,0898;0,0269;0,0159;0,0111;100,4769;0,1739;20246;0,2634;0,3127;0,3333;0,0691;0,7778;0,1621;0,2992;138,04;2,43;0,0873;0,6449;19942;0,7927;0,9144;0,1121;0,2161;0,0916;0,6943;0,7586;41,78032161; 
32003;0,0354;16403;0,1969;0,712;0,0336;0,0138;0,0081;0,0057;0,2189;0,5602;0,031;0,0888;0,0328;0,0183;0,0145;100,5012;0,1816;6737;0,2796;0,3016;0,3154;0,0819;0,7668;0,1617;0,3069;109,79;2,41;0,091;0,6414;6641;0,7402;0,875;0,1199;0,2219;0,0395;0,6881;0,7544;41,808299894; 
32006;0,0254;9652;0,1817;0,7266;0,0385;0,0095;0,006;0,0035;0,1686;0,567;0,0301;0,0791;0,028;0,0186;0,0093;101,7137;0,1494;3822;0,2588;0,2985;0,3561;0,0617;0,8055;0,173;0,2816;172,68;2,47;0,0871;0,6453;3776;0,8364;0,9555;0,129;0,2214;0,0048;0,6986;0,7617;40,764390867; 
32010;0,0273;8467;0,1917;0,7223;0,0358;0,0091;0,0052;0,0039;0,1846;0,5708;0,0374;0,1045;0,0227;0,0119;0,0107;99,7405;0,1634;3526;0,2703;0,3208;0,3233;0,0678;0,7962;0,1555;0,2936;216,08;2,37;0,0931;0,6528;3490;0,7905;0,8868;0,1169;0,2375;0,1186;0,6964;0,7538;42,177459319; 
32011;0,0258;12187;0,1954;0,7152;0,0318;0,0092;0,0062;0,003;0,1889;0,5865;0,0295;0,0894;0,0208;0,012;0,0089;100,3452;0,1691;4927;0,2464;0,3371;0,3331;0,0627;0,7861;0,1552;0,3009;221,58;2,43;0,0856;0,6494;4828;0,821;0,9408;0,0882;0,1974;0,1647;0,6924;0,7559;42,371556961; 
32030;0,0295;3320;0,2012;0,7322;0,0243;0,0114;0,0087;0,0027;0,2387;0,5954;0,0246;0,0885;0,0283;0,0205;0,0078;99,1602;0,2523;1234;0,2374;0,2958;0,389;0,0502;0,6718;0,1735;0,3218;52,75;2,63;0,0617;0,6253;1207;0,8401;0,976;0,0978;0,1806;0,2792;0,7144;0,7952;41,412516043; 
38000;0,0756;60669;0,2616;0,6504;0,0522;0,037;0,027;0,0101;0,2522;0,5499;0,0251;0,1697;0,069;0,0441;0,0249;103,765;0,2034;28450;0,36;0,3299;0,2187;0,0698;0,7535;0,1221;0,4245;220,45;2,11;0,1085;0,6163;28086;0,6731;0,6013;0,1405;0,2895;0,1106;0,6165;0,6686;47,200944836; 
38002;0,0311;4958;0,1783;0,7281;0,0268;0,0182;0,0155;0,0026;0,2212;0,5625;0,032;0,073;0,0311;0,025;0,0061;94,8899;0,2239;1947;0,2722;0,2768;0,3518;0,075;0,7067;0,192;0,2832;61,97;2,53;0,0815;0,6297;1917;0,8003;0,9724;0,0788;0,1497;0,5243;0,7085;0,7821;40,2040459; 
38025;0,0376;11571;0,2144;0,6996;0,0379;0,0167;0,0113;0,0054;0,2327;0,5472;0,0306;0,0946;0,0411;0,0272;0,0138;104,869;0,1679;4797;0,2904;0,3016;0,305;0,0826;0,7857;0,1506;0,3377;120,11;2,35;0,0854;0,6349;4687;0,7205;0,8628;0,0801;0,222;0,2551;0,6731;0,741;43,574677115; 
38014;0,0812;21994;0,2969;0,6213;0,051;0,0351;0,0252;0,0099;0,3176;0,5801;0,019;0,2355;0,0703;0,0422;0,0281;103,7991;0,2368;10813;0,366;0,3684;0,1871;0,0584;0,7267;0,0959;0,489;500,32;2,03;0,1053;0,6072;10721;0,684;0,5204;0,1636;0,3279;0,0323;0,5896;0,6356;50,201887864; 
38008;0,1223;10748;0,27;0,6287;0,0769;0,0793;0,0627;0,0166;0,194;0,5006;0,0319;0,1746;0,1185;0,0854;0,0331;108,4562;0,1748;5287;0,4025;0,3026;0,1905;0,0796;0,7839;0,1238;0,4454;449,77;2,01;0,129;0,6062;5224;0,6138;0,5038;0,1322;0,2606;0,1;0,5804;0,6269;47,449421745; 
38016;0,0788;11398;0,2697;0,6399;0,061;0,0297;0,0175;0,0122;0,2057;0,5338;0,0229;0,1807;0,0644;0,034;0,0304;102,3074;0,1973;5606;0,3985;0,3241;0,1864;0,0699;0,7634;0,1118;0,436;367,62;2;0,1305;0,6185;5537;0,6239;0,4999;0,176;0,3481;0,0063;0,6009;0,6464;47,900786736; 
36000;0,0471;146429;0,1951;0,7115;0,0334;0,0247;0,0098;0,0149;0,2468;0,5758;0,036;0,0988;0,0435;0,0155;0,0281;101,7234;0,1545;60540;0,2747;0,3135;0,3199;0,0714;0,816;0,1622;0,3036;539,25;2,39;0,0899;0,6427;59518;0,7681;0,8806;0,1068;0,2317;0,0888;0,6878;0,7504;41,928766437; 
36006;0,0282;9971;0,1811;0,7197;0,0218;0,0157;0,0096;0,0061;0,2688;0,6008;0,0307;0,0907;0,0279;0,0148;0,013;96,8608;0,1646;3830;0,2112;0,3209;0,3773;0,0713;0,7904;0,1673;0,278;263,53;2,57;0,0706;0,6516;3758;0,8175;0,9412;0,1038;0,2604;0,1291;0,704;0,7792;41,168936153; 
36007;0,0451;10752;0,2028;0,7132;0,0329;0,0291;0,0134;0,0157;0,2055;0,5976;0,0364;0,0913;0,0422;0,0175;0,0247;100;0,1549;4359;0,2544;0,337;0,3212;0,0677;0,8123;0,1554;0,3161;665,46;2,4;0,0885;0,6417;4273;0,823;0,9422;0,0948;0,2183;0,1407;0,6897;0,7554;42,466715526; 
36008;0,0415;27299;0,204;0,7139;0,0371;0,0194;0,0084;0,011;0,2385;0,5766;0,0401;0,1056;0,036;0,0129;0,0231;103,1932;0,1456;11665;0,2868;0,3216;0,3005;0,073;0,8315;0,1572;0,3194;1071,26;2,31;0,0875;0,6388;11367;0,7814;0,8851;0,0958;0,2053;0,1168;0,6874;0,7433;42,626196282; 
36010;0,0272;9603;0,1964;0,7308;0,0319;0,0143;0,0055;0,0088;0,2144;0,6091;0,0335;0,081;0,0268;0,011;0,0157;102,8089;0,1778;3784;0,2304;0,3251;0,3642;0,0584;0,7831;0,1742;0,312;387,87;2,52;0,0739;0,6294;3719;0,8235;0,9519;0,0887;0,203;0,1119;0,7075;0,7706;41,479619976; 
36011;0,0314;8502;0,1875;0,7288;0,023;0,0138;0,0044;0,0094;0,2397;0,6195;0,0305;0,1036;0,0259;0,0085;0,0174;99,5306;0,1545;3439;0,2338;0,3388;0,3536;0,0599;0,8107;0,1662;0,2901;327,86;2,46;0,0797;0,6463;3396;0,8024;0,9087;0,1004;0,2404;0,1275;0,7121;0,7838;41,513154321; 
36012;0,0272;10870;0,2061;0,7118;0,0279;0,0122;0,0087;0,0035;0,2065;0,5866;0,0318;0,0899;0,0281;0,0162;0,0119;100,6646;0,1673;4419;0,2546;0,3304;0,327;0,0677;0,7947;0,1593;0,3247;307,57;2,42;0,0776;0,6346;4386;0,8081;0,9542;0,1006;0,2144;0,0135;0,6919;0,7551;42,553816835; 
36015;0,0673;58452;0,1891;0,7002;0,0395;0,0362;0,0118;0,0244;0,275;0,5494;0,0386;0,1092;0,0618;0,0179;0,044;102,9372;0,1457;24736;0,304;0,2955;0,3;0,0777;0,8346;0,1623;0,2916;977,56;2,33;0,106;0,6486;24351;0,7132;0,817;0,1213;0,2498;0,0755;0,6725;0,7328;41,624381486; 
36019;0,0217;10980;0,2038;0,7274;0,0176;0,0103;0,0076;0,0027;0,2121;0,5969;0,0265;0,0642;0,0241;0,0162;0,0079;99,7453;0,1791;4308;0,2433;0,3164;0,3621;0,059;0,7629;0,1648;0,3228;237,46;2,51;0,0626;0,6314;4268;0,83;0,9569;0,0959;0,2232;0,0286;0,7146;0,7851;42,074249211; 
37000;0,0411;90947;0,1883;0,7243;0,0288;0,022;0,0124;0,0095;0,23;0,5936;0,0304;0,1635;0,0365;0,0156;0,0209;99,4583;0,181;36305;0,2496;0,3162;0,3506;0,0641;0,7773;0,1647;0,2911;275,77;2,46;0,0815;0,6469;35839;0,7751;0,9185;0,1156;0,2426;0,1453;0,7035;0,7684;41,619071421; 
37020;0,0392;9072;0,2025;0,7135;0,0305;0,02;0,0147;0,0053;0,2257;0,5886;0,0333;0,0936;0,0323;0,0193;0,013;99,297;0,1949;3673;0,2554;0,3259;0,3373;0,0588;0,7618;0,1496;0,3125;262,38;2,43;0,0768;0,6479;3637;0,7861;0,9417;0,0748;0,1688;0,1666;0,6917;0,7535;43,139818129; 
37002;0,0314;8311;0,1825;0,7375;0,0294;0,0138;0,0099;0,004;0,2293;0,5935;0,0323;0,2847;0,0276;0,0146;0,013;99,0182;0,1725;3204;0,2257;0,3102;0,3786;0,0637;0,7911;0,1735;0,2834;320,45;2,53;0,0741;0,644;3171;0,7851;0,9514;0,1281;0,2648;0,154;0,7158;0,7763;41,190946133; 
37007;0,0392;11100;0,1868;0,7194;0,0276;0,024;0,0147;0,0093;0,2024;0,5966;0,0332;0,1022;0,0384;0,0172;0,0212;99,3534;0,1724;4455;0,2478;0,3201;0,3443;0,0655;0,7804;0,1588;0,2856;378,22;2,46;0,0784;0,6543;4394;0,8136;0,929;0,0906;0,2078;0,1045;0,6996;0,7687;41,7541036; 
37010;0,0353;7546;0,1776;0,7182;0,0281;0,0164;0,0095;0,0069;0,2124;0,6205;0,0286;0,1164;0,0285;0,013;0,0155;103,3962;0,1634;3002;0,2418;0,3088;0,3708;0,0623;0,8033;0,1724;0,2732;453,98;2,49;0,0633;0,65;2982;0,806;0,8987;0,108;0,2622;0,1362;0,6981;0,7647;40,964885049; 
37011;0,0388;6732;0,1842;0,7329;0,0253;0,0251;0,0163;0,0088;0,2191;0,6112;0,0283;0,1095;0,0339;0,0195;0,0144;98,4085;0,2096;2611;0,2264;0,3294;0,3681;0,0574;0,7328;0,1658;0,2834;195,58;2,51;0,0847;0,65;2586;0,7768;0,9358;0,1323;0,2514;0,1365;0,7144;0,7856;41,245995913; 
37012;0,0409;5214;0,1918;0,7325;0,0242;0,0242;0,0194;0,0048;0,2494;0,5895;0,0215;0,3049;0,0322;0,0222;0,01;96,015;0,2024;2030;0,2468;0,3192;0,3542;0,0606;0,7502;0,1578;0,2949;172,64;2,5;0,0827;0,6504;1997;0,7914;0,9509;0,1127;0,2374;0,2364;0,7148;0,781;41,887753422; 
37015;0,0543;19779;0,2048;0,7122;0,0322;0,0276;0,0124;0,0152;0,2669;0,5674;0,0252;0,1996;0,0493;0,0151;0,0342;101,6413;0,1718;8235;0,2842;0,3132;0,3103;0,0714;0,7884;0,1518;0,3183;288,73;2,36;0,0836;0,6434;8099;0,7052;0,8653;0,1178;0,2296;0,1213;0,6893;0,7529;42,67396921; 
37017;0,0428;9177;0,1617;0,7277;0,0352;0,0181;0,0107;0,0074;0,2176;0,6062;0,0297;0,1671;0,0392;0,013;0,0263;99,5;0,1652;3590;0,2323;0,3011;0,3822;0,0674;0,8111;0,1833;0,2469;421,73;2,54;0,0732;0,655;3565;0,7852;0,938;0,1063;0,2617;0,1195;0,702;0,7636;39,802552096; 
37018;0,0342;14016;0,1844;0,7386;0,0232;0,0219;0,0091;0,0128;0,2178;0,6028;0,0383;0,1304;0,0302;0,0121;0,0181;96,6054;0,1944;5505;0,2369;0,321;0,3671;0,0589;0,7574;0,1779;0,2892;204,85;2,49;0,1019;0,6376;5408;0,8049;0,9327;0,1561;0,3015;0,1874;0,7215;0,7877;40,913847328; 
35000;0,0912;152571;0,2355;0,663;0,0686;0,0411;0,0178;0,0233;0,2174;0,5146;0,0311;0,1633;0,0765;0,0321;0,0444;104,2696;0,1438;72300;0,3789;0,3014;0,2213;0,0785;0,8313;0,1352;0,3742;523,23;2,09;0,1191;0,6293;70063;0,6372;0,558;0,1184;0,2479;0,1031;0,6175;0,6687;45,281264693; 
35002;0,0705;16411;0,1776;0,6885;0,0569;0,0272;0,0149;0,0123;0,2023;0,5427;0,0442;0,1737;0,0581;0,0298;0,0283;99,8417;0,1024;7082;0,2929;0,3191;0,2876;0,0805;0,8805;0,1582;0,2674;1254,75;2,29;0,1118;0,6642;6932;0,7245;0,6927;0,1797;0,3563;0,0519;0,6494;0,7034;42,043570019; 
35029;0,0849;12533;0,2632;0,6555;0,0696;0,0334;0,0242;0,0093;0,259;0,5288;0,0275;0,2079;0,0594;0,0376;0,0219;106,3045;0,209;6091;0,3807;0,3249;0,2011;0,0717;0,7555;0,1163;0,4243;297,21;2,03;0,1171;0,6204;6036;0,6537;0,5805;0,1573;0,3212;0,0676;0,6098;0,6592;47,737697934; 
35005;0,0459;11806;0,1772;0,6959;0,0397;0,0186;0,0105;0,0081;0,2478;0,5658;0,0381;0,1229;0,0365;0,0198;0,0167;101,6396;0,1507;4789;0,261;0,3001;0,3429;0,0781;0,8231;0,1668;0,2701;279,41;2,44;0,0878;0,656;4663;0,7399;0,8475;0,1169;0,2791;0,1356;0,6683;0,7413;41,015210285; 
35006;0,0314;13878;0,173;0,718;0,035;0,0119;0,0061;0,0058;0,186;0,5896;0,0359;0,0986;0,0235;0,0129;0,0106;98,7113;0,1493;5676;0,2391;0,3316;0,3404;0,0689;0,8158;0,1648;0,2613;306,12;2,43;0,0845;0,6622;5553;0,806;0,9438;0,1151;0,2222;0,1597;0,6928;0,7528;41,24699715; 
35011;0,0668;18902;0,2758;0,638;0,0641;0,0219;0,0142;0,0077;0,1822;0,5393;0,0251;0,1758;0,053;0,0312;0,0217;104,5671;0,1863;9324;0,3945;0,329;0,1903;0,0638;0,7758;0,1192;0,4559;249,85;2,01;0,1227;0,605;9198;0,6719;0,527;0,1524;0,3072;0,0905;0,5971;0,6434;47,99560517; 
35013;0,1299;69980;0,2604;0,6413;0,0914;0,0642;0,0235;0,0407;0,2249;0,4671;0,028;0,1806;0,1134;0,0398;0,0735;106,7784;0,1281;35660;0,4452;0,277;0,1726;0,0865;0,8544;0,1239;0,423;1855,06;1,94;0,1371;0,6157;34047;0,5466;0,3951;0,0935;0,197;0,104;0,5827;0,6282;46,72796494; 
35014;0,0413;9061;0,1968;0,7039;0,0357;0,013;0,0062;0,0068;0,2119;0,5909;0,0351;0,1157;0,0305;0,0159;0,0146;102,1642;0,1469;3678;0,2278;0,3502;0,3363;0,0604;0,821;0,1538;0,303;256,08;2,44;0,0827;0,6494;3634;0,8125;0,9078;0,0915;0,2448;0,1555;0,6788;0,7402;42,649478549; 
33000;0,0484;106449;0,1931;0,7063;0,0439;0,034;0,0231;0,0109;0,2216;0,5679;0,023;0,1086;0,0531;0,0342;0,019;101,2801;0,1558;43432;0,2809;0,3023;0,3238;0,0735;0,8018;0,1648;0,3007;193,68;2,41;0,084;0,6422;42676;0,7459;0,9084;0,0865;0,1798;0,0893;0,6752;0,7382;41,869975117; 
33039;0,0767;8003;0,1782;0,707;0,0435;0,0665;0,0612;0,0052;0,195;0,5566;0,0182;0,1435;0,0857;0,0742;0,0115;94,7202;0,2116;3232;0,2723;0,2905;0,3373;0,0804;0,7152;0,1677;0,2724;84,93;2,46;0,0656;0,6541;3194;0,7697;0,9659;0,0504;0,1237;0,0689;0,6762;0,7411;41,61405553; 
33040;0,0359;7962;0,1743;0,7162;0,0352;0,0281;0,0098;0,0183;0,2001;0,6043;0,024;0,0685;0,0409;0,0192;0,0217;98,2076;0,1625;3110;0,2421;0,3106;0,3627;0,0662;0,779;0,1778;0,2691;151,57;2,52;0,0766;0,6478;3080;0,8032;0,9481;0,0987;0,1955;0,0039;0,691;0,7636;40,281589039; 
33016;0,164;945;0,1884;0,6909;0,0957;0,1407;0,1333;0,0074;0,1097;0,5439;0,0372;0,3095;0,1767;0,163;0,0138;103,2258;0,1164;410;0,3;0,2732;0,2902;0,1073;0,8466;0,1714;0,2942;264,09;2,32;0,1153;0,6402;408;0,6864;0,9779;0,0686;0,1176;0,0196;0,6248;0,6648;41,429903713; 
33021;0,0344;20010;0,1999;0,7151;0,0408;0,0216;0,0133;0,0083;0,2267;0,5741;0,0245;0,0864;0,0381;0,0239;0,0141;101,9784;0,1571;8073;0,2762;0,3039;0,3301;0,072;0,7974;0,1679;0,3161;167,69;2,44;0,0771;0,6322;7942;0,7686;0,9307;0,0901;0,1903;0,2659;0,686;0,7482;41,976193826; 
33041;0,0293;3716;0,1935;0,7163;0,0298;0,0118;0,0078;0,004;0,1954;0,5802;0,0248;0,0721;0,0272;0,0172;0,01;97,5545;0,1897;1422;0,244;0,2954;0,3706;0,064;0,7448;0,1757;0,3067;97,41;2,57;0,0775;0,6308;1406;0,799;0,9772;0,0939;0,1679;0,3364;0,695;0,7632;41,11435434; 
33029;0,0644;18278;0,1918;0,7062;0,0496;0,0493;0,0412;0,0081;0,198;0,5721;0,0237;0,1537;0,0712;0,0531;0,0181;102,0115;0,1218;7484;0,2712;0,3187;0,3131;0,0775;0,8506;0,1727;0,3019;419,1;2,4;0,0938;0,6355;7398;0,7309;0,932;0,0986;0,1987;0,1231;0,6712;0,7304;41,579611126; 
33011;0,0519;35218;0,2025;0,6889;0,0495;0,0341;0,0172;0,0169;0,2472;0,5462;0,0221;0,1044;0,0561;0,0281;0,0279;103,6076;0,1489;14900;0,3146;0,2945;0,2948;0,0753;0,8177;0,1488;0,3121;269,64;2,32;0,0895;0,6487;14499;0,6997;0,8364;0,0745;0,1633;0,0037;0,6548;0,7153;42,940286626; 
33037;0,0239;12317;0,1791;0,7335;0,0317;0,012;0,0088;0,0032;0,2194;0,5984;0,0232;0,0919;0,0276;0,019;0,0086;99,9188;0,1724;4801;0,2393;0,3058;0,3745;0,0639;0,7809;0,1793;0,2791;182,28;2,53;0,0809;0,6416;4749;0,8092;0,9634;0,1141;0,2194;0,0048;0,7102;0,7797;40,522748897; 
40000;0,0863;1448928;0,1806;0,7;0,048;0,046;0,023;0,023;0,279;0,5294;0,0319;0,2809;0,0772;0,0271;0,0502;102,8995;0,1366;615307;0,3076;0,2919;0,2937;0,0824;0,8448;0,1631;0,2752;485,85;2,32;0,1035;0,6563;601447;0,6933;0,8084;0,1005;0,2126;0,1711;0,6664;0,7215;41,528426526; 
44000;0,1113;534419;0,1763;0,6942;0,0517;0,067;0,0353;0,0317;0,3321;0,5064;0,0322;0,2172;0,1038;0,0373;0,0665;102,8294;0,1461;232809;0,3439;0,2759;0,2738;0,0812;0,8358;0,1623;0,2665;566,35;2,26;0,1134;0,6615;224833;0,6275;0,7539;0,0936;0,203;0,208;0,6584;0,7123;41,036487366; 
44001;0,0412;19735;0,1785;0,7285;0,0276;0,0185;0,0102;0,0083;0,3098;0,5819;0,0319;0,2775;0,0324;0,0154;0,017;100,3757;0,1675;7936;0,2456;0,323;0,3417;0,072;0,8071;0,1664;0,2725;240,9;2,45;0,0834;0,6551;7843;0,7509;0,8677;0,1548;0,3256;0,1239;0,7084;0,7741;41,3381656; 
44012;0,0569;10290;0,1935;0,701;0,0214;0,0171;0,0121;0,005;0,4873;0,5918;0,0254;0,2694;0,0412;0,0198;0,0214;106,8758;0,1671;4094;0,2228;0,3312;0,3512;0,0789;0,8178;0,1577;0,2982;572,17;2,5;0,0764;0,6488;4065;0,7844;0,9213;0,1071;0,2437;0,065;0,686;0,7529;42,727438641; 
44011;0,0517;29553;0,187;0,724;0,0302;0,0278;0,0165;0,0113;0,2999;0,5657;0,0349;0,2218;0,0464;0,0212;0,0251;103,6032;0,1578;12245;0,2755;0,306;0,3249;0,0756;0,8208;0,1611;0,2868;391,25;2,37;0,0885;0,6519;12138;0,7171;0,8366;0,1312;0,2782;0,1045;0,7022;0,7674;41,828995872; 
44013;0,062;17672;0,194;0,6985;0,0331;0,0286;0,0194;0,0092;0,3604;0,5522;0,0345;0,1984;0,0539;0,0248;0,0291;104,0411;0,1769;7307;0,2555;0,3287;0,3122;0,0829;0,8061;0,1545;0,2978;665,24;2,4;0,0821;0,6515;7227;0,752;0,8998;0,098;0,2095;0,0917;0,6754;0,7371;42,760375679; 
44019;0,0418;33277;0,1875;0,7183;0,0349;0,0185;0,0126;0,006;0,2245;0,5633;0,0333;0,1261;0,0363;0,0203;0,016;103,5291;0,1172;13432;0,2429;0,3311;0,3252;0,0765;0,8619;0,1616;0,288;443,46;2,42;0,0892;0,6509;13273;0,7297;0,9177;0,1357;0,2729;0,0967;0,6932;0,7524;42,115787476; 
44021;0,1838;248358;0,1671;0,6683;0,0762;0,1201;0,0604;0,0598;0,361;0,4373;0,032;0,2352;0,1787;0,0576;0,1211;102,8124;0,1338;117371;0,4382;0,234;0,2135;0,0856;0,8533;0,1617;0,2491;1590,19;2,08;0,1474;0,6711;111016;0,504;0,5984;0,0638;0,1445;0,2971;0,6174;0,6619;40,016253617; 
44020;0,0468;12457;0,1707;0,7259;0,0301;0,0133;0,008;0,0053;0,2832;0,5653;0,0315;0,182;0,0257;0,014;0,0117;103,2137;0,1391;5022;0,2362;0,3156;0,3481;0,0773;0,8437;0,1561;0,2537;397,4;2,44;0,0763;0,6731;4904;0,7874;0,936;0,1126;0,2645;0,1642;0,7041;0,7663;41,87990292; 
44029;0,0385;8187;0,1896;0,7254;0,0379;0,0191;0,0142;0,0049;0,2136;0,5676;0,0376;0,2583;0,0287;0,0166;0,0121;97,4198;0,1758;3428;0,2628;0,3238;0,3209;0,0686;0,7904;0,1615;0,2921;219,64;2,37;0,0843;0,649;3368;0,7434;0,9148;0,1244;0,2527;0,1523;0,6979;0,7534;42,171440494; 
44034;0,0397;21616;0,1627;0,731;0,0286;0,0169;0,0112;0,0058;0,3029;0,5836;0,0296;0,1553;0,0329;0,017;0,0159;101,5666;0,1562;8340;0,2156;0,3171;0,3767;0,0718;0,8121;0,1782;0,2468;358,21;2,55;0,0798;0,6591;8205;0,7402;0,9221;0,185;0,3547;0,1193;0,7101;0,7727;40,666705314; 
44036;0,048;9500;0,2053;0,7003;0,0339;0,0241;0,0156;0,0085;0,321;0,5861;0,0312;0,151;0,0421;0,0227;0,0194;104,345;0,1592;3899;0,2419;0,3519;0,3167;0,0731;0,8172;0,1565;0,3216;487,66;2,39;0,0776;0,6382;3826;0,7432;0,9435;0,0964;0,2365;0,1043;0,6766;0,7333;43,714645806; 
44040;0,0554;10879;0,1901;0,7162;0,034;0,0272;0,0143;0,0129;0,3647;0,5377;0,0331;0,2171;0,0463;0,0188;0,0276;107,7334;0,1335;4445;0,272;0,3078;0,3141;0,0862;0,8524;0,1653;0,2949;715,1;2,39;0,0906;0,6446;4349;0,7596;0,8715;0,1003;0,2145;0,1462;0,6919;0,7559;41,894323455; 
44043;0,0529;23402;0,1777;0,7213;0,0312;0,0241;0,0165;0,0076;0,3608;0,5469;0,0343;0,1984;0,0441;0,0215;0,0226;105,2807;0,1377;9390;0,2521;0,3086;0,3343;0,0853;0,8465;0,1661;0,2709;638,58;2,44;0,09;0,6561;9228;0,7615;0,8874;0,1116;0,2419;0,0886;0,6988;0,7633;41,488043809; 
44045;0,0557;6037;0,1766;0,7013;0,0386;0,0278;0,0242;0,0036;0,238;0,5718;0,0437;0,2129;0,0535;0,0416;0,0119;100,0994;0,1327;2494;0,2538;0,3324;0,322;0,0682;0,8415;0,1691;0,2699;159,71;2,39;0,0825;0,6543;2436;0,7706;0,9532;0,1154;0,218;0,1999;0,6742;0,7332;41,629401851; 
44048;0,0503;11263;0,1836;0,7151;0,0254;0,016;0,0107;0,0053;0,3229;0,5573;0,0289;0,1911;0,0342;0,0168;0,0174;103,8183;0,1625;4423;0,2394;0,3143;0,3369;0,0814;0,8146;0,156;0,278;320,04;2,47;0,0827;0,6604;4362;0,7557;0,9023;0,1261;0,3099;0,1222;0,697;0,7645;42,2992652; 
44049;0,0444;11953;0,179;0,7215;0,0257;0,0178;0,01;0,0079;0,322;0,5726;0,0354;0,1988;0,0289;0,0136;0,0153;101,5003;0,1717;4713;0,2389;0,3058;0,3562;0,073;0,795;0,1722;0,2758;230,33;2,51;0,0829;0,6489;4649;0,741;0,9344;0,1502;0,2694;0,2044;0,7029;0,7723;40,937927218; 
44052;0,0364;13372;0,1757;0,7242;0,0275;0,0101;0,0054;0,0047;0,3297;0,557;0,0323;0,2147;0,0233;0,0102;0,0132;100,9618;0,1506;5228;0,2269;0,2938;0,3586;0,0933;0,8321;0,1678;0,2676;310,13;2,54;0,0755;0,6565;5173;0,8278;0,9629;0,087;0,1983;0,1802;0,7043;0,7754;41,303504983; 
44064;0,0906;8391;0,2146;0,676;0,0282;0,034;0,0249;0,0091;0,5206;0,5848;0,0175;0,2685;0,0638;0,0341;0,0297;103,5169;0,3547;3403;0,2536;0,3118;0,3332;0,0779;0,6187;0,153;0,3394;584,99;2,46;0,0821;0,6323;3356;0,7453;0,9365;0,0713;0,2007;0,0749;0,657;0,7201;43,916626681; 
44072;0,0395;7940;0,1992;0,7131;0,0423;0,0151;0,0087;0,0064;0,2145;0,559;0,0296;0,1102;0,0332;0,0154;0,0179;100,9109;0,1293;3286;0,2654;0,3338;0,3083;0,0691;0,8494;0,1489;0,3056;362,41;2,38;0,077;0,6519;3224;0,7194;0,9225;0,0779;0,223;0,1424;0,683;0,7451;43,00359338; 
44073;0,0752;7235;0,1977;0,6649;0,0475;0,0388;0,0304;0,0084;0,221;0,5541;0,0388;0,1468;0,068;0,0451;0,0229;101,8131;0,1213;2913;0,2671;0,3107;0,311;0,0793;0,8624;0,1683;0,3118;209,51;2,4;0,1019;0,634;2857;0,7074;0,9219;0,1313;0,227;0,1299;0,6333;0,69;42,372522799; 
44080;0,0337;8172;0,2057;0,7193;0,0292;0,013;0,0086;0,0044;0,2654;0,5796;0,0267;0,1326;0,0253;0,0138;0,0115;105,172;0,1756;3329;0,2448;0,3433;0,3211;0,0685;0,7939;0,1531;0,3208;210,72;2,41;0,0757;0,6412;3282;0,721;0,9211;0,0914;0,1977;0,184;0,6983;0,7583;43,454998176; 
44081;0,0348;15130;0,1642;0,7404;0,0316;0,0174;0,0102;0,0072;0,2583;0,5778;0,0335;0,3448;0,0281;0,0132;0,0149;98,6346;0,1468;6111;0,2499;0,3068;0,3572;0,065;0,831;0,1637;0,2443;465,2;2,46;0,0837;0,6721;6052;0,7465;0,909;0,1216;0,2561;0,0993;0,717;0,7812;40,61811659; 
