Geography;Immigrated after 1980;Number of habitants;% of habitants older than 65;Active population;Unemployed;Foreigners;European Foreigners;Non European Foreigners;Older than 20 with high degree;Married;Registered Partnership;Commuter;Born abroad;Born Europe;Born non-europe;Ratio female male;Self employed;Number of households;One person households;Couple without children;Couple with children;One parent households;Percentage employees;Percentage younger than 15;Ageing percentage;Population density;Average household size;Percentage of population that moved in 2;Percentage of between 15 and 65 years ol;Number of buildings;Percentage of Buildings where owner live;Percentage of Buildings with one housing;Percentage of Buildings built after 2001;Percentage of Buildings built after 1991;Percentage of Buildings built before 191;Employment rate between 15 and 64;Employment rate between 20 and 64;Average age of population; 
24008;0,0476;6097;0,1894;0,7185;0,03;0,0182;0,0095;0,0087;0,2628;0,5817;0,0219;0,2975;0,0294;0,0128;0,0166;99,0532;0,1389;2403;0,243;0,3075;0,3504;0,0682;0,8436;0,1627;0,2924;164,02;2,52;0,0799;0,6479;2374;0,8647;0,909;0,1028;0,2346;0,0956;0,697;0,7569;42,279546953; 
24009;0,1182;9570;0,166;0,7208;0,0274;0,0624;0,0467;0,0157;0,3923;0,553;0,0345;0,3174;0,0898;0,0477;0,0421;105,453;0,1192;3696;0,2492;0,2922;0,3658;0,0758;0,8696;0,1888;0,2574;321,71;2,55;0,0832;0,6451;3542;0,7937;0,9235;0,1022;0,2069;0,1742;0,701;0,7672;40,371980989; 
24011;0,081;9508;0,1725;0,6953;0,0223;0,0259;0,0171;0,0087;0,4559;0,5699;0,0316;0,2662;0,0489;0,0241;0,0248;99,9579;0,1337;3631;0,2371;0,3134;0,3522;0,073;0,8549;0,1842;0,2681;239,29;2,57;0,0743;0,6434;3580;0,8475;0,898;0,1288;0,2428;0,1492;0,6797;0,738;41,210316349; 
24014;0,1782;11891;0,1847;0,7028;0,0279;0,0275;0,0193;0,0082;0,3607;0,5748;0,0312;0,4936;0,0494;0,0248;0,0246;101,9874;0,1365;4686;0,2371;0,321;0,3382;0,0753;0,8534;0,1644;0,2837;638,04;2,52;0,0763;0,6509;4612;0,8246;0,9339;0,0813;0,1958;0,0789;0,6832;0,7506;42,072450675; 
24016;0,0544;7696;0,1696;0,7386;0,0204;0,0195;0,0127;0,0068;0,3703;0,5872;0,0335;0,2698;0,0411;0,0168;0,0243;100,3123;0,1337;2952;0,2192;0,3062;0,3733;0,0776;0,852;0,1837;0,2622;250,27;2,59;0,076;0,6467;2924;0,8755;0,9562;0,093;0,2264;0,1686;0,7235;0,7858;40,92958528; 
24020;0,0889;23206;0,1908;0,6815;0,0463;0,0411;0,0229;0,0183;0,3025;0,5495;0,0255;0,4384;0,0827;0,0281;0,0546;102,2662;0,1352;9804;0,2955;0,2962;0,2892;0,0849;0,8511;0,1469;0,2881;398,74;2,34;0,0971;0,6622;9646;0,711;0,7929;0,0968;0,226;0,1205;0,65;0,7028;42,822011839; 
24028;0,0627;5932;0,1876;0,7128;0,0371;0,0251;0,0128;0,0123;0,201;0,5784;0,028;0,4193;0,0339;0,0162;0,0177;99,462;0,1464;2374;0,2245;0,3121;0,3437;0,0758;0,8345;0,1502;0,2834;168,66;2,5;0,0683;0,6622;2354;0,8893;0,9486;0,0718;0,1835;0,1427;0,6864;0,7473;42,768498985; 
24137;0,038;5312;0,1815;0,7342;0,0255;0,0137;0,0088;0,0049;0,3098;0,6144;0,0258;0,2214;0,0264;0,0139;0,0124;99,3994;0,1582;2036;0,2038;0,3168;0,3782;0,0702;0,8179;0,1739;0,2815;198,35;2,59;0,0678;0,6446;2005;0,9156;0,9646;0,0715;0,198;0,1185;0,7155;0,7783;42,119314992; 
24033;0,0607;14195;0,176;0,7219;0,0302;0,0167;0,0113;0,0054;0,344;0,5676;0,0307;0,3378;0,0369;0,0194;0,0175;104,0391;0,1183;5590;0,2351;0,3118;0,3503;0,0773;0,8694;0,1747;0,271;464,37;2,52;0,067;0,6493;5508;0,8263;0,9339;0,108;0,2362;0,1147;0,7001;0,7652;41,543918985; 
24038;0,0865;20442;0,1695;0,7214;0,0266;0,0344;0,0204;0,014;0,4636;0,5501;0,037;0,3038;0,0649;0,0263;0,0386;104,7681;0,1242;7902;0,2427;0,3025;0,3438;0,0835;0,8643;0,1786;0,2599;624,52;2,55;0,1018;0,6519;7750;0,7974;0,852;0,1234;0,264;0,0968;0,7022;0,7702;40,4221335; 
24041;0,0721;6647;0,1677;0,7276;0,0279;0,0345;0,0224;0,012;0,3552;0,5349;0,0361;0,3003;0,0564;0,026;0,0304;103,3966;0,1386;2661;0,2698;0,2773;0,3341;0,0928;0,8465;0,1811;0,2576;195,9;2,48;0,0918;0,6511;2611;0,8142;0,8878;0,1019;0,2179;0,3263;0,7073;0,7735;40,61882074; 
24043;0,0577;9712;0,1691;0,7173;0,0251;0,0205;0,0131;0,0074;0,4115;0,5871;0,0344;0,2616;0,0404;0,0183;0,022;99,507;0,1407;3716;0,225;0,314;0,3733;0,0646;0,8453;0,1844;0,2615;252,29;2,6;0,0708;0,6465;3656;0,8742;0,9387;0,1404;0,2857;0,1078;0,6993;0,7671;40,808179233; 
24045;0,1253;9471;0,168;0,7063;0,0271;0,0695;0,057;0,0125;0,3777;0,5538;0,0311;0,3796;0,0909;0,056;0,0349;104,3807;0,1566;3684;0,2519;0,2915;0,355;0,0793;0,8252;0,1803;0,2578;238,93;2,53;0,0863;0,6517;3597;0,7895;0,9197;0,0868;0,2272;0,1783;0,6871;0,7582;41,020083928; 
24048;0,1191;12749;0,1818;0,6754;0,0339;0,0622;0,0544;0,0078;0,4191;0,588;0,0268;0,4784;0,0886;0,0588;0,0298;104,0493;0,2218;4970;0,2123;0,3258;0,3549;0,0803;0,7619;0,1578;0,2753;693,4;2,54;0,0788;0,6604;4927;0,8208;0,9409;0,109;0,2673;0,0384;0,6525;0,7177;42,901593619; 
24054;0,0487;7817;0,2103;0,74;0,0323;0,0206;0,0099;0,0107;0,2309;0,5954;0,0239;0,2842;0,0288;0,0119;0,0169;100,0768;0,1438;3128;0,2331;0,3379;0,3309;0,062;0,8281;0,1534;0,3305;159,32;2,49;0,069;0,6363;3074;0,8986;0,9512;0,0852;0,2043;0,1265;0,7161;0,7757;43,524878086; 
