from,to,tunnel,volume
2020-03-01 00:00:00,2020-03-01 01:00:00,Tun Bel IN,1182
2020-03-01 01:00:00,2020-03-01 02:00:00,Tun Bel IN,871
2020-03-01 02:00:00,2020-03-01 03:00:00,Tun Bel IN,620
2020-03-01 03:00:00,2020-03-01 04:00:00,Tun Bel IN,581
2020-03-01 04:00:00,2020-03-01 05:00:00,Tun Bel IN,500
2020-03-01 05:00:00,2020-03-01 06:00:00,Tun Bel IN,475
2020-03-01 06:00:00,2020-03-01 07:00:00,Tun Bel IN,489
2020-03-01 07:00:00,2020-03-01 08:00:00,Tun Bel IN,549
2020-03-01 08:00:00,2020-03-01 09:00:00,Tun Bel IN,686
2020-03-01 09:00:00,2020-03-01 10:00:00,Tun Bel IN,931
2020-03-01 10:00:00,2020-03-01 11:00:00,Tun Bel IN,1261
2020-03-01 11:00:00,2020-03-01 12:00:00,Tun Bel IN,1574
2020-03-01 12:00:00,2020-03-01 13:00:00,Tun Bel IN,1949
2020-03-01 13:00:00,2020-03-01 14:00:00,Tun Bel IN,2049
2020-03-01 14:00:00,2020-03-01 15:00:00,Tun Bel IN,1993
2020-03-01 15:00:00,2020-03-01 16:00:00,Tun Bel IN,2086
2020-03-01 16:00:00,2020-03-01 17:00:00,Tun Bel IN,2222
2020-03-01 17:00:00,2020-03-01 18:00:00,Tun Bel IN,2327
2020-03-01 18:00:00,2020-03-01 19:00:00,Tun Bel IN,2183
2020-03-01 19:00:00,2020-03-01 20:00:00,Tun Bel IN,1975
2020-03-01 20:00:00,2020-03-01 21:00:00,Tun Bel IN,1711
2020-03-01 21:00:00,2020-03-01 22:00:00,Tun Bel IN,1378
2020-03-01 22:00:00,2020-03-01 23:00:00,Tun Bel IN,1010
2020-03-01 23:00:00,2020-03-02 00:00:00,Tun Bel IN,876
2020-03-02 00:00:00,2020-03-02 01:00:00,Tun Bel IN,41
2020-03-02 01:00:00,2020-03-02 02:00:00,Tun Bel IN,0
2020-03-02 02:00:00,2020-03-02 03:00:00,Tun Bel IN,1
2020-03-02 03:00:00,2020-03-02 04:00:00,Tun Bel IN,1
2020-03-02 04:00:00,2020-03-02 05:00:00,Tun Bel IN,3
2020-03-02 05:00:00,2020-03-02 06:00:00,Tun Bel IN,346
2020-03-02 06:00:00,2020-03-02 07:00:00,Tun Bel IN,1794
2020-03-02 07:00:00,2020-03-02 08:00:00,Tun Bel IN,2697
2020-03-02 08:00:00,2020-03-02 09:00:00,Tun Bel IN,2502
2020-03-02 09:00:00,2020-03-02 10:00:00,Tun Bel IN,2009
2020-03-02 10:00:00,2020-03-02 11:00:00,Tun Bel IN,1904
2020-03-02 11:00:00,2020-03-02 12:00:00,Tun Bel IN,1944
2020-03-02 12:00:00,2020-03-02 13:00:00,Tun Bel IN,2290
2020-03-02 13:00:00,2020-03-02 14:00:00,Tun Bel IN,2237
2020-03-02 14:00:00,2020-03-02 15:00:00,Tun Bel IN,2420
2020-03-02 15:00:00,2020-03-02 16:00:00,Tun Bel IN,2747
2020-03-02 16:00:00,2020-03-02 17:00:00,Tun Bel IN,3289
2020-03-02 17:00:00,2020-03-02 18:00:00,Tun Bel IN,2518
2020-03-02 18:00:00,2020-03-02 19:00:00,Tun Bel IN,2284
2020-03-02 19:00:00,2020-03-02 20:00:00,Tun Bel IN,3038
2020-03-02 20:00:00,2020-03-02 21:00:00,Tun Bel IN,1794
2020-03-02 21:00:00,2020-03-02 22:00:00,Tun Bel IN,1401
2020-03-02 22:00:00,2020-03-02 23:00:00,Tun Bel IN,1207
2020-03-02 23:00:00,2020-03-03 00:00:00,Tun Bel IN,817
2020-03-03 00:00:00,2020-03-03 01:00:00,Tun Bel IN,11
2020-03-03 01:00:00,2020-03-03 02:00:00,Tun Bel IN,3
2020-03-03 02:00:00,2020-03-03 03:00:00,Tun Bel IN,0
2020-03-03 03:00:00,2020-03-03 04:00:00,Tun Bel IN,2
2020-03-03 04:00:00,2020-03-03 05:00:00,Tun Bel IN,2
2020-03-03 05:00:00,2020-03-03 06:00:00,Tun Bel IN,7
2020-03-03 06:00:00,2020-03-03 07:00:00,Tun Bel IN,1623
2020-03-03 07:00:00,2020-03-03 08:00:00,Tun Bel IN,2568
2020-03-03 08:00:00,2020-03-03 09:00:00,Tun Bel IN,2429
2020-03-03 09:00:00,2020-03-03 10:00:00,Tun Bel IN,2199
2020-03-03 10:00:00,2020-03-03 11:00:00,Tun Bel IN,1910
2020-03-03 11:00:00,2020-03-03 12:00:00,Tun Bel IN,2149
2020-03-03 12:00:00,2020-03-03 13:00:00,Tun Bel IN,2585
2020-03-03 13:00:00,2020-03-03 14:00:00,Tun Bel IN,2282
2020-03-03 14:00:00,2020-03-03 15:00:00,Tun Bel IN,2508
2020-03-03 15:00:00,2020-03-03 16:00:00,Tun Bel IN,3046
2020-03-03 16:00:00,2020-03-03 17:00:00,Tun Bel IN,3441
2020-03-03 17:00:00,2020-03-03 18:00:00,Tun Bel IN,2217
2020-03-03 18:00:00,2020-03-03 19:00:00,Tun Bel IN,1572
2020-03-03 19:00:00,2020-03-03 20:00:00,Tun Bel IN,2990
2020-03-03 20:00:00,2020-03-03 21:00:00,Tun Bel IN,2015
2020-03-03 21:00:00,2020-03-03 22:00:00,Tun Bel IN,1524
2020-03-03 22:00:00,2020-03-03 23:00:00,Tun Bel IN,1407
2020-03-03 23:00:00,2020-03-04 00:00:00,Tun Bel IN,1298
2020-03-04 00:00:00,2020-03-04 01:00:00,Tun Bel IN,19
2020-03-04 01:00:00,2020-03-04 02:00:00,Tun Bel IN,1
2020-03-04 02:00:00,2020-03-04 03:00:00,Tun Bel IN,1
2020-03-04 03:00:00,2020-03-04 04:00:00,Tun Bel IN,1
2020-03-04 04:00:00,2020-03-04 05:00:00,Tun Bel IN,3
2020-03-04 05:00:00,2020-03-04 06:00:00,Tun Bel IN,386
2020-03-04 06:00:00,2020-03-04 07:00:00,Tun Bel IN,1703
2020-03-04 07:00:00,2020-03-04 08:00:00,Tun Bel IN,2575
2020-03-04 08:00:00,2020-03-04 09:00:00,Tun Bel IN,2585
2020-03-04 09:00:00,2020-03-04 10:00:00,Tun Bel IN,2063
2020-03-04 10:00:00,2020-03-04 11:00:00,Tun Bel IN,2049
2020-03-04 11:00:00,2020-03-04 12:00:00,Tun Bel IN,2303
2020-03-04 12:00:00,2020-03-04 13:00:00,Tun Bel IN,2640
2020-03-04 13:00:00,2020-03-04 14:00:00,Tun Bel IN,2502
2020-03-04 14:00:00,2020-03-04 15:00:00,Tun Bel IN,2521
2020-03-04 15:00:00,2020-03-04 16:00:00,Tun Bel IN,2907
2020-03-04 16:00:00,2020-03-04 17:00:00,Tun Bel IN,3341
2020-03-04 17:00:00,2020-03-04 18:00:00,Tun Bel IN,3358
2020-03-04 18:00:00,2020-03-04 19:00:00,Tun Bel IN,3515
2020-03-04 19:00:00,2020-03-04 20:00:00,Tun Bel IN,2728
2020-03-04 20:00:00,2020-03-04 21:00:00,Tun Bel IN,2026
2020-03-04 21:00:00,2020-03-04 22:00:00,Tun Bel IN,1612
2020-03-04 22:00:00,2020-03-04 23:00:00,Tun Bel IN,1687
2020-03-04 23:00:00,2020-03-05 00:00:00,Tun Bel IN,1662
2020-03-05 00:00:00,2020-03-05 01:00:00,Tun Bel IN,25
2020-03-05 01:00:00,2020-03-05 02:00:00,Tun Bel IN,6
2020-03-05 02:00:00,2020-03-05 03:00:00,Tun Bel IN,0
2020-03-05 03:00:00,2020-03-05 04:00:00,Tun Bel IN,2
2020-03-05 04:00:00,2020-03-05 05:00:00,Tun Bel IN,2
2020-03-05 05:00:00,2020-03-05 06:00:00,Tun Bel IN,374
2020-03-05 06:00:00,2020-03-05 07:00:00,Tun Bel IN,1647
2020-03-05 07:00:00,2020-03-05 08:00:00,Tun Bel IN,2713
2020-03-05 08:00:00,2020-03-05 09:00:00,Tun Bel IN,2606
2020-03-05 09:00:00,2020-03-05 10:00:00,Tun Bel IN,2163
2020-03-05 10:00:00,2020-03-05 11:00:00,Tun Bel IN,2056
2020-03-05 11:00:00,2020-03-05 12:00:00,Tun Bel IN,2208
2020-03-05 12:00:00,2020-03-05 13:00:00,Tun Bel IN,2505
2020-03-05 13:00:00,2020-03-05 14:00:00,Tun Bel IN,2407
2020-03-05 14:00:00,2020-03-05 15:00:00,Tun Bel IN,2610
2020-03-05 15:00:00,2020-03-05 16:00:00,Tun Bel IN,3117
2020-03-05 16:00:00,2020-03-05 17:00:00,Tun Bel IN,3319
2020-03-05 17:00:00,2020-03-05 18:00:00,Tun Bel IN,3433
2020-03-05 18:00:00,2020-03-05 19:00:00,Tun Bel IN,3012
2020-03-05 19:00:00,2020-03-05 20:00:00,Tun Bel IN,2660
2020-03-05 20:00:00,2020-03-05 21:00:00,Tun Bel IN,1992
2020-03-05 21:00:00,2020-03-05 22:00:00,Tun Bel IN,1619
2020-03-05 22:00:00,2020-03-05 23:00:00,Tun Bel IN,1842
2020-03-05 23:00:00,2020-03-06 00:00:00,Tun Bel IN,1336
2020-03-06 00:00:00,2020-03-06 01:00:00,Tun Bel IN,9
2020-03-06 01:00:00,2020-03-06 02:00:00,Tun Bel IN,0
2020-03-06 02:00:00,2020-03-06 03:00:00,Tun Bel IN,1
2020-03-06 03:00:00,2020-03-06 04:00:00,Tun Bel IN,0
2020-03-06 04:00:00,2020-03-06 05:00:00,Tun Bel IN,0
2020-03-06 05:00:00,2020-03-06 06:00:00,Tun Bel IN,319
2020-03-06 06:00:00,2020-03-06 07:00:00,Tun Bel IN,1653
2020-03-06 07:00:00,2020-03-06 08:00:00,Tun Bel IN,2550
2020-03-06 08:00:00,2020-03-06 09:00:00,Tun Bel IN,2544
2020-03-06 09:00:00,2020-03-06 10:00:00,Tun Bel IN,2178
2020-03-06 10:00:00,2020-03-06 11:00:00,Tun Bel IN,1921
2020-03-06 11:00:00,2020-03-06 12:00:00,Tun Bel IN,2188
2020-03-06 12:00:00,2020-03-06 13:00:00,Tun Bel IN,2786
2020-03-06 13:00:00,2020-03-06 14:00:00,Tun Bel IN,2660
2020-03-06 14:00:00,2020-03-06 15:00:00,Tun Bel IN,2734
2020-03-06 15:00:00,2020-03-06 16:00:00,Tun Bel IN,2047
2020-03-06 16:00:00,2020-03-06 17:00:00,Tun Bel IN,3519
2020-03-06 17:00:00,2020-03-06 18:00:00,Tun Bel IN,3481
2020-03-06 18:00:00,2020-03-06 19:00:00,Tun Bel IN,3346
2020-03-06 19:00:00,2020-03-06 20:00:00,Tun Bel IN,2720
2020-03-06 20:00:00,2020-03-06 21:00:00,Tun Bel IN,1848
2020-03-06 21:00:00,2020-03-06 22:00:00,Tun Bel IN,1442
2020-03-06 22:00:00,2020-03-06 23:00:00,Tun Bel IN,1668
2020-03-06 23:00:00,2020-03-07 00:00:00,Tun Bel IN,1528
2020-03-07 00:00:00,2020-03-07 01:00:00,Tun Bel IN,1097
2020-03-07 01:00:00,2020-03-07 02:00:00,Tun Bel IN,743
2020-03-07 02:00:00,2020-03-07 03:00:00,Tun Bel IN,594
2020-03-07 03:00:00,2020-03-07 04:00:00,Tun Bel IN,516
2020-03-07 04:00:00,2020-03-07 05:00:00,Tun Bel IN,500
2020-03-07 05:00:00,2020-03-07 06:00:00,Tun Bel IN,575
2020-03-07 06:00:00,2020-03-07 07:00:00,Tun Bel IN,816
2020-03-07 07:00:00,2020-03-07 08:00:00,Tun Bel IN,1143
2020-03-07 08:00:00,2020-03-07 09:00:00,Tun Bel IN,1169
2020-03-07 09:00:00,2020-03-07 10:00:00,Tun Bel IN,978
2020-03-07 10:00:00,2020-03-07 11:00:00,Tun Bel IN,1275
2020-03-07 11:00:00,2020-03-07 12:00:00,Tun Bel IN,2096
2020-03-07 12:00:00,2020-03-07 13:00:00,Tun Bel IN,2327
2020-03-07 13:00:00,2020-03-07 14:00:00,Tun Bel IN,2296
2020-03-07 14:00:00,2020-03-07 15:00:00,Tun Bel IN,2361
2020-03-07 15:00:00,2020-03-07 16:00:00,Tun Bel IN,2392
2020-03-07 16:00:00,2020-03-07 17:00:00,Tun Bel IN,2238
2020-03-07 17:00:00,2020-03-07 18:00:00,Tun Bel IN,2539
2020-03-07 18:00:00,2020-03-07 19:00:00,Tun Bel IN,2409
2020-03-07 19:00:00,2020-03-07 20:00:00,Tun Bel IN,1979
2020-03-07 20:00:00,2020-03-07 21:00:00,Tun Bel IN,1550
2020-03-07 21:00:00,2020-03-07 22:00:00,Tun Bel IN,1363
2020-03-07 22:00:00,2020-03-07 23:00:00,Tun Bel IN,1517
2020-03-07 23:00:00,2020-03-08 00:00:00,Tun Bel IN,1668
2020-03-08 00:00:00,2020-03-08 01:00:00,Tun Bel IN,1227
2020-03-08 01:00:00,2020-03-08 02:00:00,Tun Bel IN,892
2020-03-08 02:00:00,2020-03-08 03:00:00,Tun Bel IN,713
2020-03-08 03:00:00,2020-03-08 04:00:00,Tun Bel IN,552
2020-03-08 04:00:00,2020-03-08 05:00:00,Tun Bel IN,528
2020-03-08 05:00:00,2020-03-08 06:00:00,Tun Bel IN,463
2020-03-08 06:00:00,2020-03-08 07:00:00,Tun Bel IN,483
2020-03-08 07:00:00,2020-03-08 08:00:00,Tun Bel IN,523
2020-03-08 08:00:00,2020-03-08 09:00:00,Tun Bel IN,794
2020-03-08 09:00:00,2020-03-08 10:00:00,Tun Bel IN,1012
2020-03-08 10:00:00,2020-03-08 11:00:00,Tun Bel IN,1336
2020-03-08 11:00:00,2020-03-08 12:00:00,Tun Bel IN,1572
2020-03-08 12:00:00,2020-03-08 13:00:00,Tun Bel IN,1934
2020-03-08 13:00:00,2020-03-08 14:00:00,Tun Bel IN,1998
2020-03-08 14:00:00,2020-03-08 15:00:00,Tun Bel IN,2041
2020-03-08 15:00:00,2020-03-08 16:00:00,Tun Bel IN,2044
2020-03-08 16:00:00,2020-03-08 17:00:00,Tun Bel IN,2166
2020-03-08 17:00:00,2020-03-08 18:00:00,Tun Bel IN,2384
2020-03-08 18:00:00,2020-03-08 19:00:00,Tun Bel IN,2446
2020-03-08 19:00:00,2020-03-08 20:00:00,Tun Bel IN,2101
2020-03-08 20:00:00,2020-03-08 21:00:00,Tun Bel IN,1504
2020-03-08 21:00:00,2020-03-08 22:00:00,Tun Bel IN,1283
2020-03-08 22:00:00,2020-03-08 23:00:00,Tun Bel IN,1269
2020-03-08 23:00:00,2020-03-09 00:00:00,Tun Bel IN,863
2020-03-09 00:00:00,2020-03-09 01:00:00,Tun Bel IN,22
2020-03-09 01:00:00,2020-03-09 02:00:00,Tun Bel IN,2
2020-03-09 02:00:00,2020-03-09 03:00:00,Tun Bel IN,0
2020-03-09 03:00:00,2020-03-09 04:00:00,Tun Bel IN,0
2020-03-09 04:00:00,2020-03-09 05:00:00,Tun Bel IN,0
2020-03-09 05:00:00,2020-03-09 06:00:00,Tun Bel IN,382
2020-03-09 06:00:00,2020-03-09 07:00:00,Tun Bel IN,1748
2020-03-09 07:00:00,2020-03-09 08:00:00,Tun Bel IN,2669
2020-03-09 08:00:00,2020-03-09 09:00:00,Tun Bel IN,2591
2020-03-09 09:00:00,2020-03-09 10:00:00,Tun Bel IN,2178
2020-03-09 10:00:00,2020-03-09 11:00:00,Tun Bel IN,1929
2020-03-09 11:00:00,2020-03-09 12:00:00,Tun Bel IN,1955
2020-03-09 12:00:00,2020-03-09 13:00:00,Tun Bel IN,2367
2020-03-09 13:00:00,2020-03-09 14:00:00,Tun Bel IN,2233
2020-03-09 14:00:00,2020-03-09 15:00:00,Tun Bel IN,2498
2020-03-09 15:00:00,2020-03-09 16:00:00,Tun Bel IN,2941
2020-03-09 16:00:00,2020-03-09 17:00:00,Tun Bel IN,3105
2020-03-09 17:00:00,2020-03-09 18:00:00,Tun Bel IN,3611
2020-03-09 18:00:00,2020-03-09 19:00:00,Tun Bel IN,3385
2020-03-09 19:00:00,2020-03-09 20:00:00,Tun Bel IN,2672
2020-03-09 20:00:00,2020-03-09 21:00:00,Tun Bel IN,1607
2020-03-09 21:00:00,2020-03-09 22:00:00,Tun Bel IN,1340
2020-03-09 22:00:00,2020-03-09 23:00:00,Tun Bel IN,1309
2020-03-09 23:00:00,2020-03-10 00:00:00,Tun Bel IN,852
2020-03-10 00:00:00,2020-03-10 01:00:00,Tun Bel IN,21
2020-03-10 01:00:00,2020-03-10 02:00:00,Tun Bel IN,2
2020-03-10 02:00:00,2020-03-10 03:00:00,Tun Bel IN,0
2020-03-10 03:00:00,2020-03-10 04:00:00,Tun Bel IN,0
2020-03-10 04:00:00,2020-03-10 05:00:00,Tun Bel IN,2
2020-03-10 05:00:00,2020-03-10 06:00:00,Tun Bel IN,371
2020-03-10 06:00:00,2020-03-10 07:00:00,Tun Bel IN,1583
2020-03-10 07:00:00,2020-03-10 08:00:00,Tun Bel IN,2534
2020-03-10 08:00:00,2020-03-10 09:00:00,Tun Bel IN,2496
2020-03-10 09:00:00,2020-03-10 10:00:00,Tun Bel IN,1935
2020-03-10 10:00:00,2020-03-10 11:00:00,Tun Bel IN,1812
2020-03-10 11:00:00,2020-03-10 12:00:00,Tun Bel IN,1955
2020-03-10 12:00:00,2020-03-10 13:00:00,Tun Bel IN,2371
2020-03-10 13:00:00,2020-03-10 14:00:00,Tun Bel IN,2204
2020-03-10 14:00:00,2020-03-10 15:00:00,Tun Bel IN,2473
2020-03-10 15:00:00,2020-03-10 16:00:00,Tun Bel IN,2927
2020-03-10 16:00:00,2020-03-10 17:00:00,Tun Bel IN,3411
2020-03-10 17:00:00,2020-03-10 18:00:00,Tun Bel IN,3584
2020-03-10 18:00:00,2020-03-10 19:00:00,Tun Bel IN,3519
2020-03-10 19:00:00,2020-03-10 20:00:00,Tun Bel IN,2458
2020-03-10 20:00:00,2020-03-10 21:00:00,Tun Bel IN,1718
2020-03-10 21:00:00,2020-03-10 22:00:00,Tun Bel IN,1386
2020-03-10 22:00:00,2020-03-10 23:00:00,Tun Bel IN,1295
2020-03-10 23:00:00,2020-03-11 00:00:00,Tun Bel IN,1003
2020-03-11 00:00:00,2020-03-11 01:00:00,Tun Bel IN,39
2020-03-11 01:00:00,2020-03-11 02:00:00,Tun Bel IN,4
2020-03-11 02:00:00,2020-03-11 03:00:00,Tun Bel IN,0
2020-03-11 03:00:00,2020-03-11 04:00:00,Tun Bel IN,0
2020-03-11 04:00:00,2020-03-11 05:00:00,Tun Bel IN,4
2020-03-11 05:00:00,2020-03-11 06:00:00,Tun Bel IN,331
2020-03-11 06:00:00,2020-03-11 07:00:00,Tun Bel IN,1572
2020-03-11 07:00:00,2020-03-11 08:00:00,Tun Bel IN,2468
2020-03-11 08:00:00,2020-03-11 09:00:00,Tun Bel IN,2227
2020-03-11 09:00:00,2020-03-11 10:00:00,Tun Bel IN,2061
2020-03-11 10:00:00,2020-03-11 11:00:00,Tun Bel IN,1822
2020-03-11 11:00:00,2020-03-11 12:00:00,Tun Bel IN,2292
2020-03-11 12:00:00,2020-03-11 13:00:00,Tun Bel IN,2611
2020-03-11 13:00:00,2020-03-11 14:00:00,Tun Bel IN,2220
2020-03-11 14:00:00,2020-03-11 15:00:00,Tun Bel IN,2436
2020-03-11 15:00:00,2020-03-11 16:00:00,Tun Bel IN,2907
2020-03-11 16:00:00,2020-03-11 17:00:00,Tun Bel IN,3224
2020-03-11 17:00:00,2020-03-11 18:00:00,Tun Bel IN,3467
2020-03-11 18:00:00,2020-03-11 19:00:00,Tun Bel IN,3434
2020-03-11 19:00:00,2020-03-11 20:00:00,Tun Bel IN,2803
2020-03-11 20:00:00,2020-03-11 21:00:00,Tun Bel IN,1713
2020-03-11 21:00:00,2020-03-11 22:00:00,Tun Bel IN,1397
2020-03-11 22:00:00,2020-03-11 23:00:00,Tun Bel IN,1231
2020-03-11 23:00:00,2020-03-12 00:00:00,Tun Bel IN,880
2020-03-12 00:00:00,2020-03-12 01:00:00,Tun Bel IN,41
2020-03-12 01:00:00,2020-03-12 02:00:00,Tun Bel IN,4
2020-03-12 02:00:00,2020-03-12 03:00:00,Tun Bel IN,5
2020-03-12 03:00:00,2020-03-12 04:00:00,Tun Bel IN,2
2020-03-12 04:00:00,2020-03-12 05:00:00,Tun Bel IN,3
2020-03-12 05:00:00,2020-03-12 06:00:00,Tun Bel IN,349
2020-03-12 06:00:00,2020-03-12 07:00:00,Tun Bel IN,1681
2020-03-12 07:00:00,2020-03-12 08:00:00,Tun Bel IN,2619
2020-03-12 08:00:00,2020-03-12 09:00:00,Tun Bel IN,2568
2020-03-12 09:00:00,2020-03-12 10:00:00,Tun Bel IN,2299
2020-03-12 10:00:00,2020-03-12 11:00:00,Tun Bel IN,2029
2020-03-12 11:00:00,2020-03-12 12:00:00,Tun Bel IN,2048
2020-03-12 12:00:00,2020-03-12 13:00:00,Tun Bel IN,2251
2020-03-12 13:00:00,2020-03-12 14:00:00,Tun Bel IN,2198
2020-03-12 14:00:00,2020-03-12 15:00:00,Tun Bel IN,2343
2020-03-12 15:00:00,2020-03-12 16:00:00,Tun Bel IN,2767
2020-03-12 16:00:00,2020-03-12 17:00:00,Tun Bel IN,2859
2020-03-12 17:00:00,2020-03-12 18:00:00,Tun Bel IN,2944
2020-03-12 18:00:00,2020-03-12 19:00:00,Tun Bel IN,2963
2020-03-12 19:00:00,2020-03-12 20:00:00,Tun Bel IN,2652
2020-03-12 20:00:00,2020-03-12 21:00:00,Tun Bel IN,1702
2020-03-12 21:00:00,2020-03-12 22:00:00,Tun Bel IN,1455
2020-03-12 22:00:00,2020-03-12 23:00:00,Tun Bel IN,1334
2020-03-12 23:00:00,2020-03-13 00:00:00,Tun Bel IN,913
2020-03-13 00:00:00,2020-03-13 01:00:00,Tun Bel IN,63
2020-03-13 01:00:00,2020-03-13 02:00:00,Tun Bel IN,4
2020-03-13 02:00:00,2020-03-13 03:00:00,Tun Bel IN,7
2020-03-13 03:00:00,2020-03-13 04:00:00,Tun Bel IN,4
2020-03-13 04:00:00,2020-03-13 05:00:00,Tun Bel IN,7
2020-03-13 05:00:00,2020-03-13 06:00:00,Tun Bel IN,395
2020-03-13 06:00:00,2020-03-13 07:00:00,Tun Bel IN,1611
2020-03-13 07:00:00,2020-03-13 08:00:00,Tun Bel IN,2219
2020-03-13 08:00:00,2020-03-13 09:00:00,Tun Bel IN,2043
2020-03-13 09:00:00,2020-03-13 10:00:00,Tun Bel IN,2042
2020-03-13 10:00:00,2020-03-13 11:00:00,Tun Bel IN,1782
2020-03-13 11:00:00,2020-03-13 12:00:00,Tun Bel IN,2029
2020-03-13 12:00:00,2020-03-13 13:00:00,Tun Bel IN,2563
2020-03-13 13:00:00,2020-03-13 14:00:00,Tun Bel IN,2423
2020-03-13 14:00:00,2020-03-13 15:00:00,Tun Bel IN,2633
2020-03-13 15:00:00,2020-03-13 16:00:00,Tun Bel IN,2993
2020-03-13 16:00:00,2020-03-13 17:00:00,Tun Bel IN,3093
2020-03-13 17:00:00,2020-03-13 18:00:00,Tun Bel IN,3326
2020-03-13 18:00:00,2020-03-13 19:00:00,Tun Bel IN,3084
2020-03-13 19:00:00,2020-03-13 20:00:00,Tun Bel IN,2303
2020-03-13 20:00:00,2020-03-13 21:00:00,Tun Bel IN,1631
2020-03-13 21:00:00,2020-03-13 22:00:00,Tun Bel IN,1128
2020-03-13 22:00:00,2020-03-13 23:00:00,Tun Bel IN,1091
2020-03-13 23:00:00,2020-03-14 00:00:00,Tun Bel IN,915
2020-03-14 00:00:00,2020-03-14 01:00:00,Tun Bel IN,714
2020-03-14 01:00:00,2020-03-14 02:00:00,Tun Bel IN,477
2020-03-14 02:00:00,2020-03-14 03:00:00,Tun Bel IN,267
2020-03-14 03:00:00,2020-03-14 04:00:00,Tun Bel IN,224
2020-03-14 04:00:00,2020-03-14 05:00:00,Tun Bel IN,221
2020-03-14 05:00:00,2020-03-14 06:00:00,Tun Bel IN,341
2020-03-14 06:00:00,2020-03-14 07:00:00,Tun Bel IN,679
2020-03-14 07:00:00,2020-03-14 08:00:00,Tun Bel IN,849
2020-03-14 08:00:00,2020-03-14 09:00:00,Tun Bel IN,956
2020-03-14 09:00:00,2020-03-14 10:00:00,Tun Bel IN,1015
2020-03-14 10:00:00,2020-03-14 11:00:00,Tun Bel IN,1359
2020-03-14 11:00:00,2020-03-14 12:00:00,Tun Bel IN,1489
2020-03-14 12:00:00,2020-03-14 13:00:00,Tun Bel IN,1565
2020-03-14 13:00:00,2020-03-14 14:00:00,Tun Bel IN,1528
2020-03-14 14:00:00,2020-03-14 15:00:00,Tun Bel IN,1595
2020-03-14 15:00:00,2020-03-14 16:00:00,Tun Bel IN,1518
2020-03-14 16:00:00,2020-03-14 17:00:00,Tun Bel IN,1509
2020-03-14 17:00:00,2020-03-14 18:00:00,Tun Bel IN,1349
2020-03-14 18:00:00,2020-03-14 19:00:00,Tun Bel IN,1445
2020-03-14 19:00:00,2020-03-14 20:00:00,Tun Bel IN,1155
2020-03-14 20:00:00,2020-03-14 21:00:00,Tun Bel IN,906
2020-03-14 21:00:00,2020-03-14 22:00:00,Tun Bel IN,670
2020-03-14 22:00:00,2020-03-14 23:00:00,Tun Bel IN,632
2020-03-14 23:00:00,2020-03-15 00:00:00,Tun Bel IN,535
2020-03-15 00:00:00,2020-03-15 01:00:00,Tun Bel IN,430
2020-03-15 01:00:00,2020-03-15 02:00:00,Tun Bel IN,305
2020-03-15 02:00:00,2020-03-15 03:00:00,Tun Bel IN,190
2020-03-15 03:00:00,2020-03-15 04:00:00,Tun Bel IN,160
2020-03-15 04:00:00,2020-03-15 05:00:00,Tun Bel IN,154
2020-03-15 05:00:00,2020-03-15 06:00:00,Tun Bel IN,173
2020-03-15 06:00:00,2020-03-15 07:00:00,Tun Bel IN,321
2020-03-15 07:00:00,2020-03-15 08:00:00,Tun Bel IN,350
2020-03-15 08:00:00,2020-03-15 09:00:00,Tun Bel IN,461
2020-03-15 09:00:00,2020-03-15 10:00:00,Tun Bel IN,549
2020-03-15 10:00:00,2020-03-15 11:00:00,Tun Bel IN,802
2020-03-15 11:00:00,2020-03-15 12:00:00,Tun Bel IN,1080
2020-03-15 12:00:00,2020-03-15 13:00:00,Tun Bel IN,1138
2020-03-15 13:00:00,2020-03-15 14:00:00,Tun Bel IN,1095
2020-03-15 14:00:00,2020-03-15 15:00:00,Tun Bel IN,1194
2020-03-15 15:00:00,2020-03-15 16:00:00,Tun Bel IN,1308
2020-03-15 16:00:00,2020-03-15 17:00:00,Tun Bel IN,1148
2020-03-15 17:00:00,2020-03-15 18:00:00,Tun Bel IN,1257
2020-03-15 18:00:00,2020-03-15 19:00:00,Tun Bel IN,1257
2020-03-15 19:00:00,2020-03-15 20:00:00,Tun Bel IN,805
2020-03-15 20:00:00,2020-03-15 21:00:00,Tun Bel IN,897
2020-03-15 21:00:00,2020-03-15 22:00:00,Tun Bel IN,287
2020-03-15 22:00:00,2020-03-15 23:00:00,Tun Bel IN,325
2020-03-15 23:00:00,2020-03-16 00:00:00,Tun Bel IN,374
2020-03-16 00:00:00,2020-03-16 01:00:00,Tun Bel IN,51
2020-03-16 01:00:00,2020-03-16 02:00:00,Tun Bel IN,0
2020-03-16 02:00:00,2020-03-16 03:00:00,Tun Bel IN,0
2020-03-16 03:00:00,2020-03-16 04:00:00,Tun Bel IN,0
2020-03-16 04:00:00,2020-03-16 05:00:00,Tun Bel IN,2
2020-03-16 05:00:00,2020-03-16 06:00:00,Tun Bel IN,284
2020-03-16 06:00:00,2020-03-16 07:00:00,Tun Bel IN,1273
2020-03-16 07:00:00,2020-03-16 08:00:00,Tun Bel IN,2177
2020-03-16 08:00:00,2020-03-16 09:00:00,Tun Bel IN,1928
2020-03-16 09:00:00,2020-03-16 10:00:00,Tun Bel IN,1644
2020-03-16 10:00:00,2020-03-16 11:00:00,Tun Bel IN,1596
