,NIS5,WEEK,name,CASES,POP,CASES_PER_1000HABITANT
23516,64074,1,Waremme,5,,
21528,63001,1,AmblÃ¨ve,1,,
21476,62122,1,Trooz,4,,
21423,62121,1,NeuprÃ©,17,,
19961,61063,1,Verlaine,3,,
794,11029,1,Mortsel,13,,
19862,61043,1,Nandrin,5,,
19812,61041,1,Modave,4,,
19764,61039,1,Marchin,2,,
19711,61031,1,Huy,13,,
19661,61028,1,HÃ©ron,6,,
19612,61024,1,Hamoir,4,,
19559,61019,1,FerriÃ¨res,3,,
19509,61012,1,Clavier,1,,
19457,61010,1,Burdinne,1,,
20010,61068,1,Villers-Le-Bouillet,9,,
19404,61003,1,Amay,7,,
19298,58003,1,Estinnes,5,,
847,11030,1,Niel,5,,
19245,58002,1,Binche,53,,
19192,58001,1,La LouviÃ¨re,125,,
19140,57097,1,Comines-Warneton,2,,
19087,57096,1,Mouscron,53,,
19036,57095,1,Mont-de-lâEnclus,4,,
18983,57094,1,Leuze-en-Hainaut,16,,
18931,57093,1,Brunehaut,9,,
18878,57081,1,Tournai,128,,
18831,57072,1,Rumes,6,,
19351,58004,1,Morlanwelz,20,,
20063,61072,1,Wanze,21,,
20116,61079,1,Anthisnes,1,,
20165,61080,1,Engis,6,,
21370,62120,1,FlÃ©malle,18,,
21318,62119,1,Blegny,19,,
688,11024,1,Kontich,9,,
21265,62118,1,GrÃ¢ce-Hollogne,13,,
21212,62108,1,VisÃ©,22,,
21159,62100,1,Sprimont,3,,
21106,62099,1,Soumagne,21,,
21053,62096,1,Seraing,76,,
21000,62093,1,Saint-Nicolas (LiÃ¨ge),22,,
20947,62079,1,Oupeye,31,,
20894,62063,1,LiÃ¨ge,195,,
20841,62060,1,Juprelle,5,,
20788,62051,1,Herstal,42,,
20736,62038,1,FlÃ©ron,5,,
20684,62032,1,Esneux,6,,
20631,62027,1,Dalhem,18,,
741,11025,1,Lint,10,,
20582,62026,1,Comblain-au-Pont,3,,
20529,62022,1,Chaudfontaine,11,,
20477,62015,1,Beyne-Heusay,5,,
20424,62011,1,Bassenge,10,,
20371,62009,1,Aywaille,4,,
20318,62006,1,Awans,3,,
20265,62003,1,Ans,16,,
20217,61081,1,Tinlot,2,,
18729,57062,1,Pecq,13,,
13302,42004,1,Buggenhout,5,,
13249,42003,1,Berlare,9,,
13196,41082,1,Erpe-Mere,11,,
6249,23102,1,Wemmel,36,,
6196,23101,1,Rhode-Saint-GenÃ¨se,14,,
6145,23100,1,Linkebeek,3,,
6092,23099,1,Kraainem,16,,
6039,23098,1,Drogenbos,9,,
5987,23097,1,Roosdaal,7,,
5934,23096,1,Zemst,8,,
5881,23094,1,Zaventem,36,,
5828,23088,1,Vilvorde,39,,
5775,23086,1,Ternat,12,,
5722,23081,1,Steenokkerzeel,14,,
6302,23103,1,Wezembeek-Oppem,10,,
1954,12026,1,Nijlen,55,,
5622,23064,1,Pepingen,11,,
5569,23062,1,Overijse,30,,
5517,23060,1,Opwijk,44,,
5464,23052,1,Merchtem,21,,
5411,23050,1,Meise,12,,
5358,23047,1,Machelen (Hal-Vilvorde),11,,
5305,23045,1,Londerzeel,15,,
5252,23044,1,Liedekerke,10,,
