NIS5,AgeGroup,COUNT
31003,65-74,1815
31003,75-84,1035
31003,85+,533
31004,0-17,2664
31004,18-34,3099
31004,35-44,2028
31004,45-54,2528
31004,55-64,3606
31004,65-74,3540
31004,75-84,2139
31004,85+,859
31005,0-17,19577
31005,18-34,23541
31005,35-44,14136
31005,45-54,16128
31005,55-64,16777
31005,65-74,13885
31005,75-84,9720
31005,85+,4892
31006,0-17,1946
31006,18-34,1991
31006,35-44,1203
31006,45-54,1425
31006,55-64,1897
31006,65-74,1324
31006,75-84,770
31006,85+,463
31012,0-17,2387
31012,18-34,2511
31012,35-44,1603
31012,45-54,2013
31012,55-64,2151
31012,65-74,1655
31012,75-84,1074
31012,85+,474
31022,0-17,4590
31022,18-34,4564
31022,35-44,2972
31022,45-54,3349
31022,55-64,3143
31022,65-74,2691
31022,75-84,1711
31022,85+,785
31033,0-17,3785
31033,18-34,3897
31033,35-44,2533
31033,45-54,2756
31033,55-64,2945
31033,65-74,2275
31033,75-84,1554
31033,85+,722
31040,0-17,4281
31040,18-34,4451
31040,35-44,2709
31040,45-54,3285
31040,55-64,3279
31040,65-74,2520
31040,75-84,1659
31040,85+,668
31042,0-17,435
31042,18-34,498
31042,35-44,282
31042,45-54,419
31042,55-64,463
31042,65-74,370
31042,75-84,183
31042,85+,59
31043,0-17,3595
31043,18-34,4799
31043,35-44,2571
31043,45-54,4378
31043,55-64,5846
31043,65-74,6017
31043,75-84,4080
31043,85+,1803
32003,0-17,3190
32003,18-34,3368
32003,35-44,1957
32003,45-54,2333
32003,55-64,2341
32003,65-74,1759
32003,75-84,1285
32003,85+,610
32006,0-17,2063
32006,18-34,2108
32006,35-44,1344
32006,45-54,1388
32006,55-64,1302
32006,65-74,920
32006,75-84,594
32006,85+,391
32010,0-17,1672
32010,18-34,1645
32010,35-44,1109
32010,45-54,1153
32010,55-64,1308
32010,65-74,915
32010,75-84,629
32010,85+,329
32011,0-17,2474
32011,18-34,2535
32011,35-44,1549
32011,45-54,1687
32011,55-64,1712
32011,65-74,1369
32011,75-84,894
32011,85+,473
32030,0-17,693
32030,18-34,688
32030,35-44,366
32030,45-54,450
32030,55-64,438
32030,65-74,290
32030,75-84,228
32030,85+,137
33011,0-17,6261
33011,18-34,6858
33011,35-44,3956
33011,45-54,4597
33011,55-64,5109
33011,65-74,4091
33011,75-84,2701
33011,85+,1422
33016,0-17,252
33016,18-34,214
33016,35-44,164
33016,45-54,101
33016,55-64,130
33016,65-74,100
33016,75-84,70
33016,85+,16
33021,0-17,3768
33021,18-34,3688
33021,35-44,2313
33021,45-54,2653
33021,55-64,2676
33021,65-74,2304
33021,75-84,1553
33021,85+,762
33029,0-17,3960
33029,18-34,3599
33029,35-44,2406
33029,45-54,2390
33029,55-64,2412
33029,65-74,2113
33029,75-84,1332
33029,85+,697
33037,0-17,2533
33037,18-34,2527
33037,35-44,1571
33037,45-54,1804
33037,55-64,1622
33037,65-74,1188
33037,75-84,825
33037,85+,428
33039,0-17,1545
33039,18-34,1521
33039,35-44,927
33039,45-54,1118
33039,55-64,1226
33039,65-74,863
33039,75-84,473
33039,85+,253
33040,0-17,1577
33040,18-34,1575
33040,35-44,985
33040,45-54,1105
33040,55-64,1070
33040,65-74,743
33040,75-84,491
33040,85+,279
33041,0-17,824
33041,18-34,686
33041,35-44,429
33041,45-54,508
33041,55-64,473
33041,65-74,339
33041,75-84,274
33041,85+,120
34002,0-17,2937
34002,18-34,2849
34002,35-44,1935
34002,45-54,2103
34002,55-64,1938
34002,65-74,1543
34002,75-84,1005
34002,85+,471
34003,0-17,1988
34003,18-34,2048
34003,35-44,1312
34003,45-54,1383
34003,55-64,1403
34003,65-74,1050
34003,75-84,647
34003,85+,375
34009,0-17,2345
34009,18-34,2558
34009,35-44,1482
34009,45-54,1637
34009,55-64,1611
34009,65-74,1160
34009,75-84,905
34009,85+,380
34013,0-17,5429
34013,18-34,5759
34013,35-44,3606
34013,45-54,3689
34013,55-64,4093
34013,65-74,3136
34013,75-84,1990
34013,85+,800
34022,0-17,14944
34022,18-34,16507
34022,35-44,9332
34022,45-54,9533
34022,55-64,10214
34022,65-74,7831
34022,75-84,5735
34022,85+,3013
34023,0-17,2727
34023,18-34,2683
34023,35-44,1639
34023,45-54,1820
34023,55-64,1832
34023,65-74,1487
34023,75-84,1013
34023,85+,475
34025,0-17,1078
34025,18-34,1080
34025,35-44,734
34025,45-54,767
34025,55-64,782
34025,65-74,669
34025,75-84,442
34025,85+,235
34027,0-17,6895
34027,18-34,6473
34027,35-44,4169
34027,45-54,4546
34027,55-64,4333
34027,65-74,3560
34027,75-84,2360
34027,85+,1204
34040,0-17,6997
34040,18-34,7711
34040,35-44,4622
34040,45-54,5177
34040,55-64,5510
34040,65-74,4286
34040,75-84,2862
34040,85+,1185
34041,0-17,6174
34041,18-34,6372
34041,35-44,3837
34041,45-54,4061
34041,55-64,4425
34041,65-74,3463
34041,75-84,2226
34041,85+,1021
34042,0-17,4813
34042,18-34,4801
34042,35-44,3136
34042,45-54,3511
34042,55-64,3471
34042,65-74,2538
34042,75-84,1726
34042,85+,818
34043,0-17,435
34043,18-34,446
34043,35-44,230
34043,45-54,353
34043,55-64,280
34043,65-74,181
34043,75-84,102
34043,85+,44
35002,0-17,3241
35002,18-34,3197
35002,35-44,2066
35002,45-54,2483
35002,55-64,2918
35002,65-74,2457
35002,75-84,1237
35002,85+,542
35005,0-17,2332
35005,18-34,2432
35005,35-44,1469
35005,45-54,1787
35005,55-64,1709
35005,65-74,1223
35005,75-84,816
35005,85+,398
35006,0-17,2724
35006,18-34,2722
35006,35-44,1760
35006,45-54,1968
35006,55-64,2022
35006,65-74,1481
35006,75-84,924
35006,85+,440
35011,0-17,2424
35011,18-34,2753
35011,35-44,1766
35011,45-54,2522
35011,55-64,3447
35011,65-74,3577
35011,75-84,2204
35011,85+,885
35013,0-17,11226
35013,18-34,12700
35013,35-44,7650
35013,45-54,9011
35013,55-64,10624
35013,65-74,10269
35013,75-84,6831
35013,85+,3336
35014,0-17,1732
35014,18-34,1836
35014,35-44,1149
35014,45-54,1286
35014,55-64,1396
35014,65-74,1084
35014,75-84,720
35014,85+,304
35029,0-17,1537
35029,18-34,1758
35029,35-44,1100
35029,45-54,1687
35029,55-64,2244
35029,65-74,2385
35029,75-84,1437
35029,85+,552
36006,0-17,1915
36006,18-34,1843
36006,35-44,1234
36006,45-54,1526
36006,55-64,1378
36006,65-74,1009
36006,75-84,703
36006,85+,365
36007,0-17,2079
36007,18-34,2245
36007,35-44,1407
36007,45-54,1577
36007,55-64,1459
36007,65-74,1097
36007,75-84,850
36007,85+,417
36008,0-17,5316
36008,18-34,5728
36008,35-44,3599
36008,45-54,3870
36008,55-64,3604
36008,65-74,3036
36008,75-84,2158
36008,85+,1011
36010,0-17,1930
36010,18-34,1870
36010,35-44,1257
36010,45-54,1322
36010,55-64,1250
36010,65-74,987
36010,75-84,725
36010,85+,346
36011,0-17,1706
36011,18-34,1825
36011,35-44,1106
36011,45-54,1297
36011,55-64,1212
36011,65-74,890
36011,75-84,616
36011,85+,291
36012,0-17,2279
36012,18-34,2289
36012,35-44,1455
36012,45-54,1501
36012,55-64,1459
36012,65-74,1182
36012,75-84,886
36012,85+,391
36015,0-17,12129
36015,18-34,13385
36015,35-44,8199
36015,45-54,8545
36015,55-64,8338
36015,65-74,6263
36015,75-84,4502
36015,85+,2117
36019,0-17,2312
36019,18-34,2394
36019,35-44,1426
36019,45-54,1568
36019,55-64,1469
36019,65-74,1090
36019,75-84,798
36019,85+,461
37002,0-17,1727
37002,18-34,1704
37002,35-44,1118
37002,45-54,1245
37002,55-64,1120
37002,65-74,808
37002,75-84,546
37002,85+,344
37007,0-17,1928
37007,18-34,2194
37007,35-44,1275
37007,45-54,1569
37007,55-64,1578
37007,65-74,1162
37007,75-84,743
37007,85+,384
37010,0-17,1564
37010,18-34,1671
37010,35-44,964
37010,45-54,1165
37010,55-64,1031
37010,65-74,808
37010,75-84,530
37010,85+,223
37011,0-17,1261
37011,18-34,1335
37011,35-44,841
37011,45-54,949
37011,55-64,920
37011,65-74,692
37011,75-84,461
37011,85+,258
37012,0-17,1032
37012,18-34,1040
37012,35-44,651
37012,45-54,729
37012,55-64,805
37012,65-74,509
37012,75-84,360
37012,85+,242
37015,0-17,3824
37015,18-34,4079
37015,35-44,2538
37015,45-54,2743
37015,55-64,2875
37015,65-74,2192
37015,75-84,1575
37015,85+,777
37017,0-17,2091
37017,18-34,2038
37017,35-44,1353
37017,45-54,1369
37017,55-64,1249
37017,65-74,900
37017,75-84,569
37017,85+,264
37018,0-17,2850
37018,18-34,2850
37018,35-44,1860
37018,45-54,2131
37018,55-64,1872
37018,65-74,1329
37018,75-84,970
37018,85+,567
37020,0-17,1667
37020,18-34,1683
37020,35-44,1084
37020,45-54,1223
37020,55-64,1337
37020,65-74,1006
37020,75-84,672
37020,85+,405
38002,0-17,1055
38002,18-34,1100
38002,35-44,600
38002,45-54,678
38002,55-64,664
38002,65-74,405
38002,75-84,303
38002,85+,188
38008,0-17,1561
38008,18-34,1664
38008,35-44,1072
38008,45-54,1464
38008,55-64,1810
38008,65-74,1972
38008,75-84,1162
38008,85+,442
38014,0-17,2198
38014,18-34,2584
38014,35-44,1474
38014,45-54,2522
38014,55-64,4143
38014,65-74,5000
38014,75-84,2888
38014,85+,1060
38016,0-17,1392
38016,18-34,1579
38016,35-44,1043
38016,45-54,1405
38016,55-64,2048
38016,65-74,2296
38016,75-84,1331
38016,85+,542
38025,0-17,2061
38025,18-34,2467
38025,35-44,1228
38025,45-54,1599
38025,55-64,1744
38025,65-74,1497
38025,75-84,979
38025,85+,519
41002,0-17,17193
41002,18-34,17226
41002,35-44,11380
41002,45-54,12023
41002,55-64,12177
41002,65-74,8724
41002,75-84,5734
41002,85+,2875
41011,0-17,4542
41011,18-34,3902
41011,35-44,2775
41011,45-54,2993
41011,55-64,2736
41011,65-74,1903
41011,75-84,1140
41011,85+,560
41018,0-17,6366
41018,18-34,6244
41018,35-44,4291
41018,45-54,4914
41018,55-64,4852
41018,65-74,3733
41018,75-84,2197
41018,85+,1052
41024,0-17,3480
41024,18-34,3326
41024,35-44,2513
41024,45-54,2642
41024,55-64,2782
41024,65-74,1941
41024,75-84,1232
41024,85+,666
41027,0-17,3386
41027,18-34,3429
41027,35-44,2440
41027,45-54,2784
41027,55-64,2527
41027,65-74,1881
41027,75-84,1177
41027,85+,563
41034,0-17,3593
41034,18-34,3446
41034,35-44,2495
41034,45-54,2737
41034,55-64,2604
41034,65-74,2180
41034,75-84,1253
41034,85+,558
41048,0-17,7872
41048,18-34,7232
41048,35-44,4983
41048,45-54,5542
41048,55-64,5490
41048,65-74,4420
41048,75-84,2563
41048,85+,1149
41063,0-17,1993
41063,18-34,1817
41063,35-44,1496
41063,45-54,1645
41063,55-64,1389
41063,65-74,1000
41063,75-84,688
41063,85+,372
41081,0-17,4765
41081,18-34,4852
41081,35-44,3418
41081,45-54,3840
41081,55-64,3892
41081,65-74,2987
41081,75-84,1977
41081,85+,955
41082,0-17,3601
41082,18-34,3780
41082,35-44,2551
41082,45-54,2833
41082,55-64,3013
41082,65-74,2196
41082,75-84,1395
41082,85+,777
42003,0-17,2802
42003,18-34,2708
42003,35-44,1950
42003,45-54,2294
42003,55-64,2217
42003,65-74,1730
42003,75-84,1005
42003,85+,387
42004,0-17,2812
42004,18-34,2716
42004,35-44,1795
42004,45-54,2100
42004,55-64,2134
42004,65-74,1683
42004,75-84,1025
42004,85+,397
42006,0-17,8546
42006,18-34,8923
42006,35-44,5786
42006,45-54,6278
42006,55-64,6698
42006,65-74,5172
42006,75-84,3086
42006,85+,1381
42008,0-17,5007
42008,18-34,5007
42008,35-44,3284
42008,45-54,3500
42008,55-64,3156
42008,65-74,2684
42008,75-84,1595
42008,85+,713
42010,0-17,2260
42010,18-34,2192
42010,35-44,1548
42010,45-54,1785
42010,55-64,1824
42010,65-74,1472
42010,75-84,892
42010,85+,388
42011,0-17,3946
42011,18-34,3724
42011,35-44,2604
42011,45-54,2811
42011,55-64,2569
42011,65-74,2002
42011,75-84,1287
42011,85+,595
42023,0-17,2078
42023,18-34,2073
42023,35-44,1341
42023,45-54,1529
42023,55-64,1646
42023,65-74,1243
42023,75-84,745
42023,85+,278
42025,0-17,4901
42025,18-34,5250
42025,35-44,3381
42025,45-54,3629
42025,55-64,3598
42025,65-74,2715
42025,75-84,1739
42025,85+,808
42026,0-17,2145
42026,18-34,2198
42026,35-44,1566
42026,45-54,1705
42026,55-64,1714
42026,65-74,1224
42026,75-84,720
42026,85+,377
42028,0-17,4367
42028,18-34,4384
42028,35-44,2748
42028,45-54,2946
42028,55-64,2757
42028,65-74,2213
42028,75-84,1331
42028,85+,592
43002,0-17,2576
43002,18-34,2682
43002,35-44,1704
43002,45-54,2121
43002,55-64,2085
43002,65-74,1601
43002,75-84,1013
43002,85+,514
43005,0-17,3825
43005,18-34,3991
43005,35-44,2671
43005,45-54,2997
43005,55-64,2915
43005,65-74,2369
43005,75-84,1711
43005,85+,806
43007,0-17,1187
43007,18-34,1175
43007,35-44,773
43007,45-54,909
43007,55-64,942
43007,65-74,729
43007,75-84,469
43007,85+,252
43010,0-17,4273
43010,18-34,4617
43010,35-44,2970
43010,45-54,3469
43010,55-64,3362
43010,65-74,2690
43010,75-84,1734
43010,85+,843
43014,0-17,1213
43014,18-34,1239
43014,35-44,823
43014,45-54,972
43014,55-64,1050
43014,65-74,763
43014,75-84,476
43014,85+,282
43018,0-17,2518
43018,18-34,2499
43018,35-44,1690
43018,45-54,1801
43018,55-64,1698
43018,65-74,1427
43018,75-84,876
43018,85+,390
44012,0-17,2083
44012,18-34,1913
44012,35-44,1371
44012,45-54,1482
44012,55-64,1552
44012,65-74,1314
44012,75-84,840
44012,85+,326
44013,0-17,3546
44013,18-34,3384
44013,35-44,2272
44013,45-54,2445
44013,55-64,2632
44013,65-74,2229
44013,75-84,1373
44013,85+,647
44019,0-17,6785
44019,18-34,6804
44019,35-44,4432
44019,45-54,5169
44019,55-64,5025
44019,65-74,3688
44019,75-84,2500
44019,85+,1225
44020,0-17,2333
44020,18-34,2332
44020,35-44,1656
44020,45-54,1930
44020,55-64,1942
44020,65-74,1472
44020,75-84,833
44020,85+,405
44021,0-17,50563
44021,18-34,72166
44021,35-44,37630
44021,45-54,31220
44021,55-64,28775
44021,65-74,21704
44021,75-84,14294
44021,85+,7575
44034,0-17,4369
44034,18-34,4056
44034,35-44,2864
44034,45-54,3566
44034,55-64,3145
44034,65-74,2433
44034,75-84,1502
44034,85+,675
44040,0-17,2384
44040,18-34,2384
44040,35-44,1585
44040,45-54,1585
44040,55-64,1520
44040,65-74,1173
44040,75-84,806
44040,85+,374
44043,0-17,4716
44043,18-34,4833
44043,35-44,3229
44043,45-54,3491
44043,55-64,3422
44043,65-74,2610
44043,75-84,1683
44043,85+,772
44045,0-17,1335
44045,18-34,1229
44045,35-44,964
44045,45-54,875
44045,55-64,882
44045,65-74,731
44045,75-84,382
44045,85+,172
44048,0-17,2093
44048,18-34,2159
44048,35-44,1477
44048,45-54,1639
44048,55-64,1747
44048,65-74,1305
44048,75-84,838
44048,85+,444
44052,0-17,2706
44052,18-34,2495
44052,35-44,1807
44052,45-54,1948
44052,55-64,2077
44052,65-74,1343
44052,75-84,889
44052,85+,424
44064,0-17,1477
44064,18-34,1323
44064,35-44,882
44064,45-54,1145
44064,55-64,1316
44064,65-74,1113
44064,75-84,762
44064,85+,347
44073,0-17,1536
44073,18-34,1473
44073,35-44,947
44073,45-54,1125
44073,55-64,1012
44073,65-74,883
44073,75-84,578
44073,85+,255
44081,0-17,3094
44081,18-34,3122
44081,35-44,2171
44081,45-54,2313
44081,55-64,2226
44081,65-74,1508
44081,75-84,910
44081,85+,447
44083,0-17,8295
44083,18-34,8351
44083,35-44,5756
44083,45-54,6097
44083,55-64,6004
44083,65-74,4532
44083,75-84,3058
44083,85+,1487
44084,0-17,5328
44084,18-34,5676
44084,35-44,3665
44084,45-54,4295
44084,55-64,3922
44084,65-74,3169
44084,75-84,2084
44084,85+,1043
44085,0-17,4723
44085,18-34,4766
44085,35-44,3125
44085,45-54,3538
44085,55-64,3966
44085,65-74,3199
44085,75-84,1992
44085,85+,1001
45035,0-17,5801
45035,18-34,6131
45035,35-44,3987
45035,45-54,4588
45035,55-64,4545
45035,65-74,3265
45035,75-84,2196
45035,85+,1099
45041,0-17,6212
45041,18-34,5118
45041,35-44,3323
45041,45-54,3471
45041,55-64,3242
45041,65-74,2556
45041,75-84,1628
45041,85+,824
45059,0-17,2695
45059,18-34,2623
45059,35-44,1888
45059,45-54,2160
45059,55-64,2143
45059,65-74,1642
45059,75-84,1029
45059,85+,623
45060,0-17,1296
45060,18-34,1311
45060,35-44,876
45060,45-54,917
45060,55-64,866
45060,65-74,637
45060,75-84,413
45060,85+,261
45061,0-17,1252
45061,18-34,1164
45061,35-44,830
45061,45-54,932
45061,55-64,933
45061,65-74,719
45061,75-84,372
45061,85+,193
45062,0-17,350
45062,18-34,327
45062,35-44,207
45062,45-54,312
45062,55-64,272
45062,65-74,253
45062,75-84,172
45062,85+,129
45063,0-17,1250
45063,18-34,1182
45063,35-44,848
45063,45-54,969
45063,55-64,962
45063,65-74,739
45063,75-84,414
45063,85+,215
45064,0-17,1124
45064,18-34,1125
45064,35-44,707
45064,45-54,939
45064,55-64,933
45064,65-74,673
45064,75-84,496
45064,85+,341
45065,0-17,1564
45065,18-34,1416
45065,35-44,1026
45065,45-54,1272
45065,55-64,1230
45065,65-74,912
45065,75-84,480
45065,85+,267
45068,0-17,3062
45068,18-34,3090
45068,35-44,2103
45068,45-54,2264
45068,55-64,2170
45068,65-74,1580
45068,75-84,956
45068,85+,518
46003,0-17,9348
46003,18-34,9435
46003,35-44,6127
46003,45-54,6844
46003,55-64,6827
46003,65-74,5766
46003,75-84,3274
46003,85+,1426
46013,0-17,3486
46013,18-34,3160
46013,35-44,2168
46013,45-54,2418
46013,55-64,2221
46013,65-74,1712
46013,75-84,1183
46013,85+,498
46014,0-17,8964
46014,18-34,8517
46014,35-44,5639
46014,45-54,5820
46014,55-64,5430
46014,65-74,4177
46014,75-84,2501
46014,85+,996
46020,0-17,3772
46020,18-34,3855
46020,35-44,2387
46020,45-54,2885
46020,55-64,2620
46020,65-74,2051
46020,75-84,1357
46020,85+,572
46021,0-17,17106
46021,18-34,16135
46021,35-44,9910
46021,45-54,10088
46021,55-64,9764
46021,65-74,7821
46021,75-84,5267
46021,85+,2440
46024,0-17,3603
46024,18-34,3503
46024,35-44,2391
46024,45-54,2662
46024,55-64,2625
46024,65-74,2144
46024,75-84,1258
46024,85+,501
46025,0-17,6239
46025,18-34,6032
46025,35-44,3733
46025,45-54,4297
46025,55-64,4052
46025,65-74,3187
46025,75-84,1915
46025,85+,741
51004,0-17,5648
51004,18-34,5933
51004,35-44,3653
51004,45-54,4312
51004,55-64,4046
51004,65-74,3292
51004,75-84,1777
51004,85+,833
51008,0-17,2840
51008,18-34,2902
51008,35-44,1963
51008,45-54,2035
51008,55-64,1838
51008,65-74,1462
51008,75-84,695
51008,85+,325
51009,0-17,2355
51009,18-34,2504
51009,35-44,1487
51009,45-54,1737
51009,55-64,1648
51009,65-74,1290
51009,75-84,537
51009,85+,294
51012,0-17,828
51012,18-34,838
51012,35-44,505
51012,45-54,533
51012,55-64,472
51012,65-74,337
51012,75-84,149
51012,85+,62
51014,0-17,1530
51014,18-34,1377
51014,35-44,926
51014,45-54,1019
51014,55-64,944
51014,65-74,616
51014,75-84,321
51014,85+,192
51017,0-17,1195
51017,18-34,1122
51017,35-44,710
51017,45-54,850
51017,55-64,887
51017,65-74,695
51017,75-84,343
51017,85+,190
51019,0-17,639
51019,18-34,646
51019,35-44,422
51019,45-54,491
51019,55-64,488
51019,65-74,405
51019,75-84,203
51019,85+,139
51065,0-17,2420
51065,18-34,2213
51065,35-44,1532
51065,45-54,1773
51065,55-64,1596
51065,65-74,1248
51065,75-84,686
51065,85+,365
51067,0-17,2974
51067,18-34,2822
51067,35-44,1779
51067,45-54,2038
51067,55-64,1819
51067,65-74,1431
51067,75-84,825
51067,85+,373
51068,0-17,1639
51068,18-34,1555
51068,35-44,963
51068,45-54,1292
51068,55-64,1290
51068,65-74,912
51068,75-84,474
51068,85+,223
51069,0-17,3837
51069,18-34,3808
51069,35-44,2288
51069,45-54,2738
51069,55-64,2636
51069,65-74,1905
51069,75-84,997
51069,85+,537
52010,0-17,2919
52010,18-34,3141
52010,35-44,1860
52010,45-54,2106
52010,55-64,1914
52010,65-74,1669
52010,75-84,797
52010,85+,399
52011,0-17,45111
52011,18-34,44037
52011,35-44,25412
52011,45-54,26804
52011,55-64,25345
52011,65-74,20020
52011,75-84,10706
52011,85+,5311
52012,0-17,7365
52012,18-34,7477
52012,35-44,4309
52012,45-54,4925
52012,55-64,4724
52012,65-74,3906
52012,75-84,2045
52012,85+,917
52015,0-17,6619
52015,18-34,6715
52015,35-44,3953
52015,45-54,4281
52015,55-64,4006
52015,65-74,3327
52015,75-84,1553
52015,85+,743
52018,0-17,2742
52018,18-34,2364
52018,35-44,1478
52018,45-54,1384
52018,55-64,1483
52018,65-74,1083
52018,75-84,527
52018,85+,194
52021,0-17,4693
52021,18-34,4818
52021,35-44,2864
52021,45-54,3118
52021,55-64,3252
52021,65-74,2485
52021,75-84,1266
52021,85+,560
52022,0-17,3692
52022,18-34,3665
52022,35-44,2285
52022,45-54,2437
52022,55-64,2453
52022,65-74,1912
52022,75-84,932
52022,85+,462
52025,0-17,2116
52025,18-34,2386
52025,35-44,1409
52025,45-54,1830
52025,55-64,1925
52025,65-74,1787
52025,75-84,890
52025,85+,465
52048,0-17,1747
52048,18-34,1800
52048,35-44,1224
52048,45-54,1335
52048,55-64,1523
52048,65-74,1358
52048,75-84,730
52048,85+,415
52055,0-17,3606
52055,18-34,3436
52055,35-44,2356
52055,45-54,2372
52055,55-64,2357
52055,65-74,1864
52055,75-84,860
52055,85+,400
52074,0-17,2169
52074,18-34,2255
52074,35-44,1293
52074,45-54,1466
52074,55-64,1558
52074,65-74,1185
52074,75-84,591
52074,85+,222
52075,0-17,1860
52075,18-34,1899
52075,35-44,1157
52075,45-54,1365
52075,55-64,1306
52075,65-74,1018
52075,75-84,526
52075,85+,336
53014,0-17,3982
53014,18-34,4249
53014,35-44,2390
53014,45-54,2662
53014,55-64,2813
53014,65-74,2151
53014,75-84,1039
53014,85+,560
53020,0-17,3402
53020,18-34,3476
53020,35-44,2082
53020,45-54,2220
53020,55-64,2208
53020,65-74,1802
53020,75-84,874
53020,85+,448
53028,0-17,4706
53028,18-34,4463
53028,35-44,2810
53028,45-54,3022
53028,55-64,2821
53028,65-74,2544
53028,75-84,1009
53028,85+,584
53039,0-17,1345
53039,18-34,1366
53039,35-44,898
53039,45-54,988
53039,55-64,930
53039,65-74,809
53039,75-84,349
53039,85+,164
53044,0-17,2159
53044,18-34,1935
53044,35-44,1414
53044,45-54,1694
53044,55-64,1409
53044,65-74,1191
53044,75-84,511
53044,85+,209
53046,0-17,1012
53046,18-34,941
53046,35-44,696
53046,45-54,622
53046,55-64,580
53046,65-74,433
53046,75-84,201
53046,85+,107
53053,0-17,18994
53053,18-34,21741
53053,35-44,12584
53053,45-54,12973
53053,55-64,12106
53053,65-74,10011
53053,75-84,4976
53053,85+,2502
53065,0-17,3975
53065,18-34,3887
53065,35-44,2385
53065,45-54,2548
53065,55-64,2649
53065,65-74,2094
53065,75-84,959
53065,85+,421
53068,0-17,1354
53068,18-34,1422
53068,35-44,849
53068,45-54,888
53068,55-64,911
53068,65-74,752
53068,75-84,361
53068,85+,209
53070,0-17,4464
53070,18-34,4543
53070,35-44,2960
53070,45-54,3236
53070,55-64,3243
53070,65-74,2866
53070,75-84,1381
53070,85+,735
53082,0-17,4821
53082,18-34,4518
53082,35-44,2636
53082,45-54,2640
53082,55-64,2547
53082,65-74,2187
53082,75-84,967
53082,85+,425
53083,0-17,975
53083,18-34,980
53083,35-44,657
53083,45-54,767
53083,55-64,829
53083,65-74,577
53083,75-84,256
53083,85+,111
53084,0-17,1601
53084,18-34,1525
53084,35-44,1064
53084,45-54,1272
53084,55-64,1040
53084,65-74,930
53084,75-84,408
53084,85+,245
55004,0-17,4690
55004,18-34,4515
55004,35-44,2823
55004,45-54,3199
55004,55-64,3000
55004,65-74,2195
55004,75-84,1136
55004,85+,504
55035,0-17,1769
55035,18-34,1748
55035,35-44,1112
55035,45-54,1253
55035,55-64,1206
55035,65-74,988
55035,75-84,445
55035,85+,214
55040,0-17,5801
55040,18-34,5581
55040,35-44,3665
55040,45-54,4154
55040,55-64,3755
55040,65-74,2967
55040,75-84,1498
55040,85+,850
55050,0-17,2472
55050,18-34,2265
55050,35-44,1524
55050,45-54,1595
55050,55-64,1383
55050,65-74,1092
55050,75-84,564
55050,85+,307
55085,0-17,2337
55085,18-34,2337
55085,35-44,1487
55085,45-54,1669
55085,55-64,1497
55085,65-74,1220
55085,75-84,650
55085,85+,283
55086,0-17,5105
55086,18-34,4978
55086,35-44,2965
55086,45-54,3251
55086,55-64,3033
55086,65-74,2486
55086,75-84,1086
55086,85+,525
56001,0-17,2565
56001,18-34,2599
56001,35-44,1623
56001,45-54,1627
56001,55-64,1603
56001,65-74,1301
56001,75-84,685
56001,85+,359
56005,0-17,1486
56005,18-34,1426
56005,35-44,897
56005,45-54,1002
56005,55-64,1000
56005,65-74,735
56005,75-84,393
56005,85+,226
56016,0-17,1927
56016,18-34,1958
56016,35-44,1007
56016,45-54,1333
56016,55-64,1439
56016,65-74,1133
56016,75-84,639
56016,85+,290
56022,0-17,2150
56022,18-34,2132
56022,35-44,1171
56022,45-54,1379
56022,55-64,1351
56022,65-74,1024
56022,75-84,516
56022,85+,263
56029,0-17,764
56029,18-34,804
56029,35-44,457
56029,45-54,568
56029,55-64,633
56029,65-74,460
56029,75-84,222
56029,85+,85
56044,0-17,1124
56044,18-34,1113
56044,35-44,753
56044,45-54,840
56044,55-64,887
56044,65-74,669
56044,75-84,284
56044,85+,148
56049,0-17,920
56049,18-34,842
56049,35-44,537
56049,45-54,617
56049,55-64,576
56049,65-74,462
56049,75-84,177
56049,85+,81
56051,0-17,1187
56051,18-34,1113
56051,35-44,572
56051,45-54,698
56051,55-64,751
56051,65-74,579
56051,75-84,315
56051,85+,130
56078,0-17,2631
56078,18-34,2800
56078,35-44,1718
56078,45-54,1979
56078,55-64,2267
56078,65-74,1968
56078,75-84,925
56078,85+,415
56086,0-17,2370
56086,18-34,2526
56086,35-44,1626
56086,45-54,1879
56086,55-64,2086
56086,65-74,1796
56086,75-84,876
56086,85+,462
56088,0-17,960
56088,18-34,962
56088,35-44,545
56088,45-54,621
56088,55-64,730
56088,65-74,561
56088,75-84,281
56088,85+,134
57003,0-17,1601
57003,18-34,1585
57003,35-44,966
57003,45-54,1119
57003,55-64,969
57003,65-74,819
57003,75-84,431
57003,85+,224
57018,0-17,1175
57018,18-34,1116
57018,35-44,772
57018,45-54,863
57018,55-64,752
57018,65-74,573
57018,75-84,301
57018,85+,139
57027,0-17,2321
57027,18-34,2042
57027,35-44,1399
57027,45-54,1534
57027,55-64,1398
57027,65-74,1104
57027,75-84,480
57027,85+,288
57062,0-17,1191
57062,18-34,1214
57062,35-44,704
57062,45-54,858
57062,55-64,703
57062,65-74,597
57062,75-84,312
57062,85+,182
57064,0-17,3487
57064,18-34,3595
57064,35-44,2162
57064,45-54,2364
57064,55-64,2331
57064,65-74,1802
57064,75-84,894
57064,85+,485
57072,0-17,1052
57072,18-34,988
57072,35-44,660
57072,45-54,717
57072,55-64,742
57072,65-74,628
57072,75-84,278
57072,85+,155
57081,0-17,12474
