NIS5,CASES,RANGE,FR,NL
24066,21,21-66,Lubbeek,Lubbeek
24086,14,14-56,Oud_Heverlee,Oud_Heverlee
24094,16,16-49,Rotselaar,Rotselaar
24104,11,11-44,Tervuren,Tervuren
24107,43,43-82,Tirlemont,Tienen
24109,11,11-44,Tremelo,Tremelo
24130,17,17-53,Leau,Zoutleeuw
24133,9,9-36,Linter,Linter
24134,22,22-58,Montaigu_Zichem,Scherpenheuvel_Zichem
24135,8,8-32,Tielt_Winge,Tielt_Winge
24137,9,9-36,Glabbeek,Glabbeek
25005,3,3-12,Beauvechain,Bevekom
25014,34,34-91,Braine_lAlleud,Eigenbrakel
25015,8,8-32,Braine_le_Chateau,Kasteelbrakel
25018,8,8-32,Chaumont_Gistoux,Chaumont_Gistoux
25023,4,4-16,Court_Saint_Etienne,Court_Saint_Etienne
25031,9,9-36,Genappe,Genappe
25037,11,11-44,Grez_Doiceau,Graven
25043,9,9-36,Incourt,Incourt
25044,8,8-32,Ittre,Itter
25048,11,11-44,Jodoigne,Geldenaken
25050,10,10-40,La_Hulpe,Terhulpen
25068,10,10-40,Mont_Saint_Guibert,Mont_Saint_Guibert
25072,22,22-73,Nivelles,Nijvel
25084,6,6-24,Perwez,Perwijs
25091,20,20-80,Rixensart,Rixensart
25105,17,17-68,Tubize,Tubeke
25107,4,4-16,Villers_la_Ville,Villers_la_Ville
25110,18,18-72,Waterloo,Waterloo
25112,18,18-72,Wavre,Waver
25117,6,6-24,Chastre,Chastre
25118,6,6-24,Helecine,Helecine
25119,16,16-64,Lasne,Lasne
25120,5,5-20,Orp_Jauche,Orp_Jauche
25121,14,14-56,Ottignies_Louvain_la_Neuve,Ottignies_Louvain_la_Neuve
25122,3,3-12,Ramillies,Ramillies
25123,11,11-44,Rebecq,Rebecq
25124,5,5-20,Walhain,Walhain
31003,12,12-48,Beernem,Beernem
31004,18,18-57,Blankenberge,Blankenberge
31005,126,126-144,Bruges,Brugge
31006,15,15-60,Damme,Damme
31012,13,13-37,Jabbeke,Jabbeke
31022,15,15-60,Oostkamp,Oostkamp
31033,23,23-62,Torhout,Torhout
31040,19,19-55,Zedelgem,Zedelgem
31042,0,0-0,Zuienkerke,Zuienkerke
31043,48,48-105,Knokke_Heist,Knokke_Heist
32003,15,15-60,Dixmude,Diksmuide
32006,8,8-32,Houthulst,Houthulst
32010,3,3-12,Koekelare,Koekelare
32011,10,10-25,Kortemark,Kortemark
32030,7,7-28,Lo_Reninge,Lo_Reninge
33011,68,68-107,Ypres,Ieper
33016,1,1-4,Messines,Mesen
33021,26,26-65,Poperinge,Poperinge
33029,26,26-74,Wervik,Wervik
33037,14,14-56,Zonnebeke,Zonnebeke
33039,8,8-32,Heuvelland,Heuvelland
33040,8,8-32,Langemark_Poelkapelle,Langemark_Poelkapelle
33041,1,1-4,Vleteren,Vleteren
34002,12,12-33,Anzegem,Anzegem
34003,10,10-40,Avelgem,Avelgem
34009,20,20-38,Deerlijk,Deerlijk
34013,61,61-94,Harelbeke,Harelbeke
34022,134,134-164,Courtrai,Kortrijk
34023,15,15-39,Kuurne,Kuurne
34025,3,3-12,Lendelede,Lendelede
34027,59,59-104,Menin,Menen
34040,73,73-97,Waregem,Waregem
34041,49,49-88,Wevelgem,Wevelgem
34042,30,30-69,Zwevegem,Zwevegem
34043,2,2-8,Espierres_Helchin,Spiere_Helkijn
35002,15,15-45,Bredene,Bredene
35005,10,10-40,Gistel,Gistel
35006,10,10-40,Ichtegem,Ichtegem
35011,13,13-52,Middelkerke,Middelkerke
35013,60,60-108,Ostende,Oostende
35014,11,11-44,Oudenburg,Oudenburg
35029,14,14-56,De_Haan,De_Haan
36006,7,7-28,Hooglede,Hooglede
36007,7,7-28,Ingelmunster,Ingelmunster
36008,30,30-60,Izegem,Izegem
36010,13,13-52,Ledegem,Ledegem
36011,8,8-32,Lichtervelde,Lichtervelde
36012,20,20-50,Moorslede,Moorslede
36015,126,126-156,Roulers,Roeselare
36019,6,6-24,Staden,Staden
37002,13,13-52,Dentergem,Dentergem
37007,8,8-32,Meulebeke,Meulebeke
37010,8,8-32,Oostrozebeke,Oostrozebeke
37011,7,7-28,Pittem,Pittem
37012,9,9-36,Ruiselede,Ruiselede
37015,25,25-64,Tielt,Tielt
37017,10,10-40,Wielsbeke,Wielsbeke
37018,39,39-69,Wingene,Wingene
