,Date,Age,Location
164,2020-01-28,89,Riemst
165,2020-01-28,68,Vierset-Barse
166,2020-01-28,91,Sint-Michiels
167,2020-01-28,79,Alken
168,2020-01-28,77,Erpe
169,2020-01-28,56,Roucourt
170,2020-01-28,72,Sint-Truiden
171,2020-01-28,65,Riemst
172,2020-01-28,49,Deurle
173,2020-01-27,78,Honnay
174,2020-01-27,90,Rotem
175,2020-01-27,88,Opglabbeek
176,2020-01-27,84,Opglabbeek
177,2020-01-27,89,Gimnée
178,2020-01-27,106,-
179,2020-01-27,52,Grez-Doiceau
180,2020-01-27,88,Tournai
181,2020-01-27,52,Maasmechelen
182,2020-01-27,87,Lustin
183,2020-01-27,89,Ciney
184,2020-01-27,80,Zaventem
185,2020-01-27,87,Koersel
186,2020-01-27,91,Sint-Truiden
187,2020-01-27,120,-
188,2020-01-27,97,Tongeren
189,2020-01-27,88,Tongeren
190,2020-01-27,85,Latour
191,2020-01-27,69,Méan
192,2020-01-27,-1,Assenois
193,2020-01-27,90,Gent
194,2020-01-27,92,Diepenbeek
195,2020-01-27,86,Sint-Pieters-Leeuw
196,2020-01-27,90,Mesnil-Saint-Blaise
197,2020-01-27,86,-
198,2020-01-27,87,Zonhoven
199,2020-01-27,82,Peer
200,2020-01-27,93,Evergem
201,2020-01-27,90,Achel
202,2020-01-27,96,Dendermonde
203,2020-01-27,62,Lommel
204,2020-01-27,89,Overpelt
205,2020-01-26,71,Rekem
206,2020-01-26,95,Stokrooie
207,2020-01-26,32,Sint-Truiden
208,2020-01-26,92,As
209,2020-01-26,95,Hautrage
210,2020-01-26,102,Libramont-Chevigny
211,2020-01-26,92,Jambes
212,2020-01-26,87,Genk
213,2020-01-26,99,-
214,2020-01-26,88,Hoeselt
215,2020-01-26,97,Hees
216,2020-01-26,64,Profondeville
217,2020-01-26,92,Assenede
218,2020-01-26,95,Goetsenhoven
219,2020-01-26,66,-
220,2020-01-26,64,Tournai
221,2020-01-26,87,Hannut
222,2020-01-26,79,Furnaux
223,2020-01-26,88,Turnhout
224,2020-01-26,72,Tielrode
225,2020-01-26,71,Durnal
226,2020-01-26,58,Tongeren
227,2020-01-26,80,Saint-Servais
228,2020-01-26,90,Aalst
229,2020-01-26,93,-
230,2020-01-26,91,Bande
231,2020-01-26,96,Ronse
232,2020-01-26,82,Rotem
233,2020-01-26,92,Bilzen
234,2020-01-26,57,Leuze-En-Hainaut
235,2020-01-26,88,Gaurain-Ramecroix
236,2020-01-26,89,Bocholt
237,2020-01-26,68,Willemeau
238,2020-01-26,75,Ledeberg
239,2020-01-26,80,Tournai
240,2020-01-26,93,Oostkamp
241,2020-01-26,88,Heusden
242,2020-01-26,99,Genk
243,2020-01-26,81,Baillonville
244,2020-01-26,89,Mouzaive
245,2020-01-26,97,Genk
246,2020-01-26,95,Hasselt
247,2020-01-26,97,Kortrijk
248,2020-01-26,76,Rijkevorsel
249,2020-01-26,45,Lommel
250,2020-01-26,69,Bevel
251,2020-01-26,93,Maaseik
252,2020-01-25,88,Koersel
253,2020-01-25,52,Zonhoven
254,2020-01-25,58,Hechtel
255,2020-01-25,60,Bailleul
256,2020-01-25,80,Maasmechelen
257,2020-01-25,71,Haillot
258,2020-01-25,71,Onhaye
259,2020-01-25,95,Borlez
260,2020-01-25,81,Wavre
261,2020-01-25,70,Tournai
262,2020-01-25,82,Barvaux-Sur-Ourthe
263,2020-01-25,95,Pecq
264,2020-01-25,83,Lanklaar
265,2020-01-25,83,Tongeren
266,2020-01-25,93,Neeroeteren
267,2020-01-25,57,Falisolle
268,2020-01-25,81,Hasselt
269,2020-01-25,95,Zelem
270,2020-01-25,76,Assebroek
271,2020-01-25,94,Maffe
272,2020-01-25,60,Knokke-Heist
273,2020-01-25,82,Stevoort
274,2020-01-25,83,Bilzen
275,2020-01-25,81,Diepenbeek
276,2020-01-25,77,Antwerpen
277,2020-01-25,94,Bocholt
278,2020-01-25,90,Kain
279,2020-01-25,69,-
280,2020-01-25,89,Overpelt
281,2020-01-25,92,Dison
282,2020-01-24,86,Gelinden
283,2020-01-24,85,Hasselt
284,2020-01-24,76,Opoeteren
285,2020-01-24,76,Zottegem
286,2020-01-24,96,Berchem
287,2020-01-24,43,Bras
288,2020-01-24,78,Gent
289,2020-01-24,96,Mont-Saint-Aubert
290,2020-01-24,67,Neeroeteren
291,2020-01-24,57,Merchtem
292,2020-01-24,89,Borgerhout
293,2020-01-24,83,Bredene
294,2020-01-24,91,Ciney
295,2020-01-24,101,Ciney
296,2020-01-24,75,Drogenbos
297,2020-01-24,91,Hérinnes
