YEAR_WEEK,NIS5,AGEGROUP,CUMUL,AgeGroup,COUNT,percent
21W33,11024,85+,664,85+,662,100.30211480362537
21W33,11025,0-17,570,0-17,1699,33.549146556798114
21W33,11025,35-44,946,35-44,1019,92.8361138370952
21W33,11025,45-54,1095,45-54,1182,92.63959390862944
21W33,11025,55-64,1392,55-64,1426,97.61570827489481
21W33,11025,65-74,921,65-74,923,99.78331527627303
21W33,11025,75-84,509,75-84,521,97.69673704414588
21W33,11025,85+,206,85+,222,92.7927927927928
21W33,11029,0-17,1383,0-17,5264,26.272796352583587
21W33,11029,35-44,2959,35-44,3389,87.31189141339628
21W33,11029,45-54,2917,45-54,3368,86.60926365795724
21W33,11029,55-64,3268,55-64,3435,95.13828238719069
21W33,11029,65-74,2413,65-74,2505,96.32734530938124
21W33,11029,75-84,1613,75-84,1747,92.32970807097882
21W33,11029,85+,1036,85+,1064,97.36842105263158
21W33,11030,0-17,638,0-17,2449,26.051449571253574
21W33,11030,35-44,1334,35-44,1455,91.68384879725086
21W33,11030,45-54,1334,45-54,1421,93.87755102040816
21W33,11030,55-64,1235,55-64,1281,96.40905542544887
21W33,11030,65-74,848,65-74,884,95.92760180995475
21W33,11030,75-84,528,75-84,552,95.65217391304348
21W33,11030,85+,270,85+,281,96.08540925266904
21W33,11035,0-17,1085,0-17,3471,31.25900316911553
21W33,11035,35-44,2149,35-44,2280,94.25438596491227
21W33,11035,45-54,2349,45-54,2610,90.0
21W33,11035,55-64,2979,55-64,3063,97.25759059745347
21W33,11035,65-74,2275,65-74,2320,98.0603448275862
21W33,11035,75-84,1355,75-84,1364,99.34017595307918
21W33,11035,85+,534,85+,516,103.48837209302326
21W33,11037,0-17,923,0-17,2964,31.140350877192983
21W33,11037,35-44,1823,35-44,1907,95.5951756685894
21W33,11037,45-54,1944,45-54,2070,93.91304347826087
21W33,11037,55-64,2122,55-64,2148,98.78957169459963
21W33,11037,65-74,1591,65-74,1617,98.39208410636982
21W33,11037,75-84,986,75-84,998,98.79759519038076
21W33,11037,85+,527,85+,562,93.77224199288256
21W33,11038,0-17,525,0-17,1713,30.64798598949212
21W33,11038,35-44,986,35-44,1019,96.76153091265947
21W33,11038,45-54,1156,45-54,1256,92.03821656050955
21W33,11038,55-64,1190,55-64,1195,99.581589958159
21W33,11038,65-74,950,65-74,944,100.63559322033899
21W33,11038,75-84,558,75-84,561,99.46524064171123
21W33,11038,85+,232,85+,251,92.43027888446215
21W33,11039,0-17,1206,0-17,3499,34.46699056873393
21W33,11039,35-44,1896,35-44,2034,93.21533923303835
21W33,11039,45-54,2505,45-54,2812,89.08250355618776
21W33,11039,55-64,3087,55-64,3186,96.89265536723164
21W33,11039,65-74,2392,65-74,2473,96.72462596037202
21W33,11039,75-84,1700,75-84,1704,99.76525821596245
21W33,11039,85+,697,85+,766,90.99216710182768
21W33,11040,0-17,1790,0-17,6405,27.946916471506636
21W33,11040,35-44,3565,35-44,3952,90.2074898785425
21W33,11040,45-54,4098,45-54,4615,88.79739978331527
21W33,11040,55-64,4846,55-64,5098,95.05688505296195
21W33,11040,65-74,3738,65-74,3802,98.31667543398211
21W33,11040,75-84,2454,75-84,2579,95.15316013958899
21W33,11040,85+,1203,85+,1249,96.31705364291433
21W33,11044,0-17,1133,0-17,3593,31.533537433899248
21W33,11044,35-44,2226,35-44,2454,90.70904645476773
21W33,11044,45-54,2476,45-54,2731,90.66276089344562
21W33,11044,55-64,2525,55-64,2649,95.31898829747074
21W33,11044,65-74,2287,65-74,2293,99.73833406018316
21W33,11044,75-84,1069,75-84,1055,101.32701421800948
21W33,11044,85+,368,85+,409,89.97555012224939
21W33,11050,0-17,579,0-17,1831,31.62206444565811
21W33,11050,35-44,1127,35-44,1212,92.98679867986799
21W33,11050,45-54,1225,45-54,1329,92.17456734386757
21W33,11050,55-64,1469,55-64,1548,94.89664082687338
21W33,11050,65-74,1071,65-74,1071,100.0
21W33,11050,75-84,700,75-84,746,93.83378016085791
21W33,11050,85+,411,85+,426,96.47887323943662
21W33,11052,0-17,683,0-17,2469,27.66302146618064
21W33,11052,35-44,1388,35-44,1563,88.80358285348689
21W33,11052,45-54,1594,45-54,1735,91.87319884726224
21W33,11052,55-64,1851,55-64,1944,95.21604938271605
21W33,11052,65-74,1403,65-74,1423,98.59451862262826
21W33,11052,75-84,847,75-84,895,94.63687150837988
21W33,11052,85+,430,85+,460,93.47826086956522
21W33,11053,0-17,1296,0-17,4090,31.687041564792175
21W33,11053,35-44,2371,35-44,2614,90.70390206579954
21W33,11053,45-54,2787,45-54,3052,91.31716906946265
21W33,11053,55-64,3160,55-64,3224,98.01488833746899
21W33,11053,65-74,2197,65-74,2171,101.19760479041916
21W33,11053,75-84,1207,75-84,1185,101.85654008438819
21W33,11053,85+,474,85+,478,99.16317991631799
21W33,11054,0-17,762,0-17,2296,33.18815331010453
21W33,11054,35-44,1383,35-44,1478,93.5723951285521
21W33,11054,45-54,1598,45-54,1732,92.26327944572748
21W33,11054,55-64,2066,55-64,2164,95.4713493530499
21W33,11054,65-74,1717,65-74,1696,101.23820754716981
21W33,11054,75-84,844,75-84,847,99.64580873671783
21W33,11054,85+,424,85+,456,92.98245614035088
21W33,11055,0-17,1448,0-17,3889,37.233221907945484
21W33,11055,35-44,2337,35-44,2434,96.01479046836484
21W33,11055,45-54,2797,45-54,3080,90.81168831168831
21W33,11055,55-64,3496,55-64,3624,96.46799116997792
21W33,11055,65-74,2888,65-74,2945,98.06451612903226
21W33,11055,75-84,1715,75-84,1693,101.2994683992912
21W33,11055,85+,644,85+,642,100.31152647975078
21W33,11056,0-17,1111,0-17,3851,28.849649441703452
21W33,11056,35-44,2121,35-44,2447,86.677564364528
