,NIS3,WEEK,CASES,name,NIS5,POP,CASES_PER_1000HABITANT
396,32,23,2,Dixmude,32000,51525,0.04
815,43,23,3,Eeklo,43000,85235,0.04
676,38,23,2,Furnes,38000,61657,0.03
861,44,23,16,Gand,44000,560522,0.03
207,23,23,36,Hal-Vilvorde,23000,637441,0.06
1519,71,23,37,Hasselt,71000,418496,0.09
1329,61,23,1,Huy,61000,113409,0.01
1281,58,23,9,La Louvière,58000,141060,0.06
1377,62,23,37,Liège,62000,624422,0.06
255,24,23,17,Louvain,24000,508734,0.03
1566,72,23,19,Maaseik,72000,251589,0.08
64,12,23,4,Malines,12000,344818,0.01
1752,83,23,2,Marche-en-Famenne,83000,56476,0.04
1095,53,23,10,Mons,53000,258999,0.04
1930,92,23,15,Namur,92000,316962,0.05
302,25,23,22,Nivelles,25000,403599,0.05
536,35,23,15,Ostende,35000,157200,0.1
583,36,23,8,Roulers,36000,153315,0.05
955,46,23,15,Saint-Nicolas,46000,252523,0.06
1141,55,23,5,Soignies,55000,104533,0.05
769,42,23,19,Termonde,42000,201213,0.09
1187,56,23,3,Thuin,56000,91678,0.03
630,37,23,4,Tielt,37000,92905,0.04
1613,73,23,40,Tongres,73000,203963,0.2
1234,57,23,19,Tournai,57000,223417,0.09
111,13,23,29,Turnhout,13000,461867,0.06
1424,63,23,15,Verviers,63000,287772,0.05
1471,64,23,3,Waremme,64000,81389,0.04
442,33,23,1,Ypres,33000,106279,0.01
723,41,24,6,Alost,41000,291229,0.02
18,11,24,62,Anvers,11000,1051301,0.06
1660,81,24,1,Arlon,81000,62623,0.02
1002,51,24,3,Ath,51000,127915,0.02
909,45,24,2,Audenarde,45000,124342,0.02
1706,82,24,7,Bastogne,82000,48413,0.14
350,31,24,12,Bruges,31000,282209,0.04
160,21,24,68,Bruxelles-Capitale,21000,1208542,0.06
1049,52,24,14,Charleroi,52000,396639,0.04
490,34,24,11,Courtrai,34000,290706,0.04
1885,91,24,2,Dinant,91000,111008,0.02
397,32,24,3,Dixmude,32000,51525,0.06
816,43,24,1,Eeklo,43000,85235,0.01
677,38,24,1,Furnes,38000,61657,0.02
862,44,24,16,Gand,44000,560522,0.03
208,23,24,31,Hal-Vilvorde,23000,637441,0.05
1520,71,24,29,Hasselt,71000,418496,0.07
1330,61,24,3,Huy,61000,113409,0.03
1282,58,24,8,La Louvière,58000,141060,0.06
1378,62,24,16,Liège,62000,624422,0.03
256,24,24,23,Louvain,24000,508734,0.05
1567,72,24,10,Maaseik,72000,251589,0.04
65,12,24,11,Malines,12000,344818,0.03
1753,83,24,5,Marche-en-Famenne,83000,56476,0.09
1096,53,24,5,Mons,53000,258999,0.02
1931,92,24,10,Namur,92000,316962,0.03
303,25,24,15,Nivelles,25000,403599,0.04
537,35,24,9,Ostende,35000,157200,0.06
1976,93,24,1,Philippeville,93000,66355,0.02
584,36,24,4,Roulers,36000,153315,0.03
956,46,24,6,Saint-Nicolas,46000,252523,0.02
1142,55,24,8,Soignies,55000,104533,0.08
770,42,24,13,Termonde,42000,201213,0.06
1188,56,24,4,Thuin,56000,91678,0.04
631,37,24,6,Tielt,37000,92905,0.06
1614,73,24,18,Tongres,73000,203963,0.09
1235,57,24,21,Tournai,57000,223417,0.09
112,13,24,18,Turnhout,13000,461867,0.04
1425,63,24,11,Verviers,63000,287772,0.04
1472,64,24,5,Waremme,64000,81389,0.06
443,33,24,2,Ypres,33000,106279,0.02
724,41,25,6,Alost,41000,291229,0.02
19,11,25,78,Anvers,11000,1051301,0.07
1661,81,25,2,Arlon,81000,62623,0.03
1003,51,25,2,Ath,51000,127915,0.02
910,45,25,3,Audenarde,45000,124342,0.02
1707,82,25,8,Bastogne,82000,48413,0.17
351,31,25,17,Bruges,31000,282209,0.06
161,21,25,47,Bruxelles-Capitale,21000,1208542,0.04
1050,52,25,5,Charleroi,52000,396639,0.01
491,34,25,37,Courtrai,34000,290706,0.13
1886,91,25,5,Dinant,91000,111008,0.05
398,32,25,1,Dixmude,32000,51525,0.02
678,38,25,1,Furnes,38000,61657,0.02
863,44,25,15,Gand,44000,560522,0.03
209,23,25,20,Hal-Vilvorde,23000,637441,0.03
1521,71,25,22,Hasselt,71000,418496,0.05
1331,61,25,1,Huy,61000,113409,0.01
1283,58,25,6,La Louvière,58000,141060,0.04
1379,62,25,21,Liège,62000,624422,0.03
257,24,25,13,Louvain,24000,508734,0.03
1568,72,25,21,Maaseik,72000,251589,0.08
66,12,25,7,Malines,12000,344818,0.02
1754,83,25,4,Marche-en-Famenne,83000,56476,0.07
1097,53,25,5,Mons,53000,258999,0.02
1932,92,25,4,Namur,92000,316962,0.01
304,25,25,15,Nivelles,25000,403599,0.04
538,35,25,14,Ostende,35000,157200,0.09
1977,93,25,2,Philippeville,93000,66355,0.03
585,36,25,14,Roulers,36000,153315,0.09
957,46,25,8,Saint-Nicolas,46000,252523,0.03
1143,55,25,8,Soignies,55000,104533,0.08
771,42,25,5,Termonde,42000,201213,0.02
1189,56,25,1,Thuin,56000,91678,0.01
632,37,25,8,Tielt,37000,92905,0.09
1615,73,25,17,Tongres,73000,203963,0.08
1236,57,25,24,Tournai,57000,223417,0.11
113,13,25,27,Turnhout,13000,461867,0.06
1426,63,25,11,Verviers,63000,287772,0.04
1840,85,25,1,Virton,85000,53751,0.02
1473,64,25,2,Waremme,64000,81389,0.02
444,33,25,3,Ypres,33000,106279,0.03
725,41,26,6,Alost,41000,291229,0.02
20,11,26,75,Anvers,11000,1051301,0.07
1662,81,26,3,Arlon,81000,62623,0.05
1004,51,26,5,Ath,51000,127915,0.04
911,45,26,1,Audenarde,45000,124342,0.01
1708,82,26,6,Bastogne,82000,48413,0.12
352,31,26,16,Bruges,31000,282209,0.06
162,21,26,47,Bruxelles-Capitale,21000,1208542,0.04
1051,52,26,9,Charleroi,52000,396639,0.02
492,34,26,15,Courtrai,34000,290706,0.05
1887,91,26,3,Dinant,91000,111008,0.03
399,32,26,6,Dixmude,32000,51525,0.12
817,43,26,2,Eeklo,43000,85235,0.02
679,38,26,1,Furnes,38000,61657,0.02
864,44,26,12,Gand,44000,560522,0.02
210,23,26,20,Hal-Vilvorde,23000,637441,0.03
1522,71,26,16,Hasselt,71000,418496,0.04
1332,61,26,2,Huy,61000,113409,0.02
1284,58,26,5,La Louvière,58000,141060,0.04
1380,62,26,18,Liège,62000,624422,0.03
258,24,26,9,Louvain,24000,508734,0.02
1569,72,26,10,Maaseik,72000,251589,0.04
67,12,26,10,Malines,12000,344818,0.03
1755,83,26,7,Marche-en-Famenne,83000,56476,0.12
1098,53,26,9,Mons,53000,258999,0.03
1933,92,26,7,Namur,92000,316962,0.02
1798,84,26,2,Neufchâteau,84000,63375,0.03
305,25,26,13,Nivelles,25000,403599,0.03
539,35,26,13,Ostende,35000,157200,0.08
586,36,26,14,Roulers,36000,153315,0.09
958,46,26,10,Saint-Nicolas,46000,252523,0.04
1144,55,26,5,Soignies,55000,104533,0.05
772,42,26,5,Termonde,42000,201213,0.02
1190,56,26,6,Thuin,56000,91678,0.07
633,37,26,1,Tielt,37000,92905,0.01
1616,73,26,16,Tongres,73000,203963,0.08
1237,57,26,38,Tournai,57000,223417,0.17
114,13,26,17,Turnhout,13000,461867,0.04
1427,63,26,9,Verviers,63000,287772,0.03
1474,64,26,2,Waremme,64000,81389,0.02
445,33,26,2,Ypres,33000,106279,0.02
726,41,27,8,Alost,41000,291229,0.03
21,11,27,113,Anvers,11000,1051301,0.11
1663,81,27,5,Arlon,81000,62623,0.08
1005,51,27,4,Ath,51000,127915,0.03
912,45,27,1,Audenarde,45000,124342,0.01
1709,82,27,1,Bastogne,82000,48413,0.02
353,31,27,11,Bruges,31000,282209,0.04
163,21,27,81,Bruxelles-Capitale,21000,1208542,0.07
1052,52,27,8,Charleroi,52000,396639,0.02
493,34,27,32,Courtrai,34000,290706,0.11
1888,91,27,3,Dinant,91000,111008,0.03
400,32,27,4,Dixmude,32000,51525,0.08
818,43,27,1,Eeklo,43000,85235,0.01
680,38,27,2,Furnes,38000,61657,0.03
865,44,27,11,Gand,44000,560522,0.02
211,23,27,21,Hal-Vilvorde,23000,637441,0.03
1523,71,27,12,Hasselt,71000,418496,0.03
1333,61,27,2,Huy,61000,113409,0.02
1285,58,27,6,La Louvière,58000,141060,0.04
1381,62,27,9,Liège,62000,624422,0.01
259,24,27,12,Louvain,24000,508734,0.02
1570,72,27,8,Maaseik,72000,251589,0.03
68,12,27,8,Malines,12000,344818,0.02
1756,83,27,3,Marche-en-Famenne,83000,56476,0.05
1099,53,27,10,Mons,53000,258999,0.04
1934,92,27,7,Namur,92000,316962,0.02
1799,84,27,1,Neufchâteau,84000,63375,0.02
306,25,27,11,Nivelles,25000,403599,0.03
540,35,27,4,Ostende,35000,157200,0.03
587,36,27,10,Roulers,36000,153315,0.07
959,46,27,15,Saint-Nicolas,46000,252523,0.06
1145,55,27,2,Soignies,55000,104533,0.02
773,42,27,6,Termonde,42000,201213,0.03
1191,56,27,2,Thuin,56000,91678,0.02
634,37,27,4,Tielt,37000,92905,0.04
1617,73,27,10,Tongres,73000,203963,0.05
1238,57,27,16,Tournai,57000,223417,0.07
115,13,27,10,Turnhout,13000,461867,0.02
1428,63,27,4,Verviers,63000,287772,0.01
1841,85,27,1,Virton,85000,53751,0.02
1475,64,27,1,Waremme,64000,81389,0.01
446,33,27,6,Ypres,33000,106279,0.06
727,41,28,6,Alost,41000,291229,0.02
22,11,28,126,Anvers,11000,1051301,0.12
1664,81,28,15,Arlon,81000,62623,0.24
1006,51,28,3,Ath,51000,127915,0.02
913,45,28,3,Audenarde,45000,124342,0.02
1710,82,28,1,Bastogne,82000,48413,0.02
354,31,28,11,Bruges,31000,282209,0.04
164,21,28,64,Bruxelles-Capitale,21000,1208542,0.05
1053,52,28,6,Charleroi,52000,396639,0.02
494,34,28,26,Courtrai,34000,290706,0.09
401,32,28,4,Dixmude,32000,51525,0.08
681,38,28,1,Furnes,38000,61657,0.02
866,44,28,27,Gand,44000,560522,0.05
212,23,28,30,Hal-Vilvorde,23000,637441,0.05
1524,71,28,24,Hasselt,71000,418496,0.06
1334,61,28,1,Huy,61000,113409,0.01
1286,58,28,4,La Louvière,58000,141060,0.03
1382,62,28,17,Liège,62000,624422,0.03
260,24,28,11,Louvain,24000,508734,0.02
1571,72,28,12,Maaseik,72000,251589,0.05
69,12,28,8,Malines,12000,344818,0.02
1100,53,28,8,Mons,53000,258999,0.03
1935,92,28,5,Namur,92000,316962,0.02
1800,84,28,2,Neufchâteau,84000,63375,0.03
307,25,28,16,Nivelles,25000,403599,0.04
541,35,28,5,Ostende,35000,157200,0.03
588,36,28,21,Roulers,36000,153315,0.14
960,46,28,7,Saint-Nicolas,46000,252523,0.03
1146,55,28,3,Soignies,55000,104533,0.03
774,42,28,3,Termonde,42000,201213,0.01
1192,56,28,1,Thuin,56000,91678,0.01
635,37,28,7,Tielt,37000,92905,0.08
1618,73,28,12,Tongres,73000,203963,0.06
1239,57,28,12,Tournai,57000,223417,0.05
116,13,28,16,Turnhout,13000,461867,0.03
1429,63,28,12,Verviers,63000,287772,0.04
1842,85,28,1,Virton,85000,53751,0.02
1476,64,28,7,Waremme,64000,81389,0.09
447,33,28,4,Ypres,33000,106279,0.04
728,41,29,10,Alost,41000,291229,0.03
23,11,29,424,Anvers,11000,1051301,0.4
1665,81,29,37,Arlon,81000,62623,0.59
1007,51,29,7,Ath,51000,127915,0.05
914,45,29,5,Audenarde,45000,124342,0.04
1711,82,29,1,Bastogne,82000,48413,0.02
355,31,29,21,Bruges,31000,282209,0.07
165,21,29,96,Bruxelles-Capitale,21000,1208542,0.08
1054,52,29,36,Charleroi,52000,396639,0.09
495,34,29,32,Courtrai,34000,290706,0.11
1889,91,29,3,Dinant,91000,111008,0.03
402,32,29,14,Dixmude,32000,51525,0.27
819,43,29,1,Eeklo,43000,85235,0.01
867,44,29,25,Gand,44000,560522,0.04
213,23,29,42,Hal-Vilvorde,23000,637441,0.07
1525,71,29,47,Hasselt,71000,418496,0.11
1335,61,29,10,Huy,61000,113409,0.09
1287,58,29,3,La Louvière,58000,141060,0.02
1383,62,29,26,Liège,62000,624422,0.04
261,24,29,15,Louvain,24000,508734,0.03
1572,72,29,18,Maaseik,72000,251589,0.07
70,12,29,17,Malines,12000,344818,0.05
1757,83,29,2,Marche-en-Famenne,83000,56476,0.04
1101,53,29,15,Mons,53000,258999,0.06
1936,92,29,9,Namur,92000,316962,0.03
1801,84,29,6,Neufchâteau,84000,63375,0.09
308,25,29,14,Nivelles,25000,403599,0.03
542,35,29,8,Ostende,35000,157200,0.05
1978,93,29,4,Philippeville,93000,66355,0.06
589,36,29,32,Roulers,36000,153315,0.21
961,46,29,18,Saint-Nicolas,46000,252523,0.07
1147,55,29,7,Soignies,55000,104533,0.07
775,42,29,5,Termonde,42000,201213,0.02
1193,56,29,3,Thuin,56000,91678,0.03
636,37,29,8,Tielt,37000,92905,0.09
1619,73,29,13,Tongres,73000,203963,0.06
1240,57,29,15,Tournai,57000,223417,0.07
117,13,29,23,Turnhout,13000,461867,0.05
1430,63,29,18,Verviers,63000,287772,0.06
1843,85,29,2,Virton,85000,53751,0.04
1477,64,29,17,Waremme,64000,81389,0.21
448,33,29,10,Ypres,33000,106279,0.09
729,41,30,24,Alost,41000,291229,0.08
24,11,30,960,Anvers,11000,1051301,0.91
1666,81,30,10,Arlon,81000,62623,0.16
1008,51,30,6,Ath,51000,127915,0.05
915,45,30,12,Audenarde,45000,124342,0.1
1712,82,30,2,Bastogne,82000,48413,0.04
356,31,30,16,Bruges,31000,282209,0.06
166,21,30,110,Bruxelles-Capitale,21000,1208542,0.09
1055,52,30,50,Charleroi,52000,396639,0.13
496,34,30,49,Courtrai,34000,290706,0.17
1890,91,30,4,Dinant,91000,111008,0.04
403,32,30,4,Dixmude,32000,51525,0.08
820,43,30,12,Eeklo,43000,85235,0.14
682,38,30,3,Furnes,38000,61657,0.05
868,44,30,53,Gand,44000,560522,0.09
214,23,30,44,Hal-Vilvorde,23000,637441,0.07
1526,71,30,82,Hasselt,71000,418496,0.2
1336,61,30,6,Huy,61000,113409,0.05
1288,58,30,10,La Louvière,58000,141060,0.07
1384,62,30,79,Liège,62000,624422,0.13
262,24,30,27,Louvain,24000,508734,0.05
1573,72,30,21,Maaseik,72000,251589,0.08
71,12,30,43,Malines,12000,344818,0.12
1758,83,30,3,Marche-en-Famenne,83000,56476,0.05
1102,53,30,19,Mons,53000,258999,0.07
1937,92,30,21,Namur,92000,316962,0.07
1802,84,30,2,Neufchâteau,84000,63375,0.03
309,25,30,23,Nivelles,25000,403599,0.06
543,35,30,24,Ostende,35000,157200,0.15
1979,93,30,7,Philippeville,93000,66355,0.11
590,36,30,35,Roulers,36000,153315,0.23
962,46,30,32,Saint-Nicolas,46000,252523,0.13
1148,55,30,9,Soignies,55000,104533,0.09
776,42,30,20,Termonde,42000,201213,0.1
1194,56,30,5,Thuin,56000,91678,0.05
637,37,30,11,Tielt,37000,92905,0.12
1620,73,30,17,Tongres,73000,203963,0.08
1241,57,30,15,Tournai,57000,223417,0.07
118,13,30,48,Turnhout,13000,461867,0.1
1431,63,30,52,Verviers,63000,287772,0.18
1844,85,30,4,Virton,85000,53751,0.07
1478,64,30,7,Waremme,64000,81389,0.09
449,33,30,7,Ypres,33000,106279,0.07
730,41,31,26,Alost,41000,291229,0.09
25,11,31,1165,Anvers,11000,1051301,1.11
1667,81,31,20,Arlon,81000,62623,0.32
1009,51,31,17,Ath,51000,127915,0.13
916,45,31,44,Audenarde,45000,124342,0.35
1713,82,31,1,Bastogne,82000,48413,0.02
357,31,31,20,Bruges,31000,282209,0.07
167,21,31,355,Bruxelles-Capitale,21000,1208542,0.29
1056,52,31,100,Charleroi,52000,396639,0.25
497,34,31,33,Courtrai,34000,290706,0.11
1891,91,31,9,Dinant,91000,111008,0.08
404,32,31,5,Dixmude,32000,51525,0.1
821,43,31,5,Eeklo,43000,85235,0.06
683,38,31,1,Furnes,38000,61657,0.02
869,44,31,54,Gand,44000,560522,0.1
215,23,31,91,Hal-Vilvorde,23000,637441,0.14
1527,71,31,75,Hasselt,71000,418496,0.18
1337,61,31,27,Huy,61000,113409,0.24
1289,58,31,18,La Louvière,58000,141060,0.13
1385,62,31,214,Liège,62000,624422,0.34
263,24,31,28,Louvain,24000,508734,0.06
1574,72,31,40,Maaseik,72000,251589,0.16
72,12,31,62,Malines,12000,344818,0.18
1759,83,31,2,Marche-en-Famenne,83000,56476,0.04
1103,53,31,23,Mons,53000,258999,0.09
1938,92,31,84,Namur,92000,316962,0.27
1803,84,31,3,Neufchâteau,84000,63375,0.05
310,25,31,48,Nivelles,25000,403599,0.12
544,35,31,10,Ostende,35000,157200,0.06
1980,93,31,4,Philippeville,93000,66355,0.06
591,36,31,16,Roulers,36000,153315,0.1
963,46,31,108,Saint-Nicolas,46000,252523,0.43
1149,55,31,14,Soignies,55000,104533,0.13
777,42,31,25,Termonde,42000,201213,0.12
1195,56,31,9,Thuin,56000,91678,0.1
638,37,31,9,Tielt,37000,92905,0.1
1621,73,31,12,Tongres,73000,203963,0.06
1242,57,31,17,Tournai,57000,223417,0.08
119,13,31,73,Turnhout,13000,461867,0.16
1432,63,31,86,Verviers,63000,287772,0.3
1845,85,31,17,Virton,85000,53751,0.32
1479,64,31,11,Waremme,64000,81389,0.14
450,33,31,8,Ypres,33000,106279,0.08
731,41,32,27,Alost,41000,291229,0.09
26,11,32,1104,Anvers,11000,1051301,1.05
1668,81,32,14,Arlon,81000,62623,0.22
1010,51,32,13,Ath,51000,127915,0.1
917,45,32,27,Audenarde,45000,124342,0.22
1714,82,32,2,Bastogne,82000,48413,0.04
358,31,32,31,Bruges,31000,282209,0.11
168,21,32,624,Bruxelles-Capitale,21000,1208542,0.52
1057,52,32,112,Charleroi,52000,396639,0.28
498,34,32,36,Courtrai,34000,290706,0.12
1892,91,32,22,Dinant,91000,111008,0.2
405,32,32,8,Dixmude,32000,51525,0.16
822,43,32,14,Eeklo,43000,85235,0.16
684,38,32,3,Furnes,38000,61657,0.05
870,44,32,132,Gand,44000,560522,0.24
216,23,32,122,Hal-Vilvorde,23000,637441,0.19
1528,71,32,104,Hasselt,71000,418496,0.25
1338,61,32,18,Huy,61000,113409,0.16
1290,58,32,25,La Louvière,58000,141060,0.18
1386,62,32,300,Liège,62000,624422,0.48
264,24,32,36,Louvain,24000,508734,0.07
1575,72,32,27,Maaseik,72000,251589,0.11
73,12,32,92,Malines,12000,344818,0.27
1760,83,32,15,Marche-en-Famenne,83000,56476,0.27
1104,53,32,32,Mons,53000,258999,0.12
1939,92,32,100,Namur,92000,316962,0.32
1804,84,32,5,Neufchâteau,84000,63375,0.08
311,25,32,72,Nivelles,25000,403599,0.18
545,35,32,30,Ostende,35000,157200,0.19
1981,93,32,4,Philippeville,93000,66355,0.06
592,36,32,50,Roulers,36000,153315,0.33
964,46,32,82,Saint-Nicolas,46000,252523,0.32
1150,55,32,16,Soignies,55000,104533,0.15
778,42,32,17,Termonde,42000,201213,0.08
1196,56,32,10,Thuin,56000,91678,0.11
639,37,32,7,Tielt,37000,92905,0.08
1622,73,32,11,Tongres,73000,203963,0.05
1243,57,32,16,Tournai,57000,223417,0.07
120,13,32,85,Turnhout,13000,461867,0.18
1433,63,32,82,Verviers,63000,287772,0.28
1846,85,32,8,Virton,85000,53751,0.15
1480,64,32,3,Waremme,64000,81389,0.04
451,33,32,10,Ypres,33000,106279,0.09
732,41,33,46,Alost,41000,291229,0.16
27,11,33,725,Anvers,11000,1051301,0.69
1669,81,33,5,Arlon,81000,62623,0.08
1011,51,33,5,Ath,51000,127915,0.04
918,45,33,14,Audenarde,45000,124342,0.11
1715,82,33,2,Bastogne,82000,48413,0.04
359,31,33,32,Bruges,31000,282209,0.11
169,21,33,756,Bruxelles-Capitale,21000,1208542,0.63
1058,52,33,96,Charleroi,52000,396639,0.24
499,34,33,19,Courtrai,34000,290706,0.07
1893,91,33,16,Dinant,91000,111008,0.14
406,32,33,4,Dixmude,32000,51525,0.08
823,43,33,3,Eeklo,43000,85235,0.04
685,38,33,5,Furnes,38000,61657,0.08
871,44,33,113,Gand,44000,560522,0.2
217,23,33,106,Hal-Vilvorde,23000,637441,0.17
1529,71,33,77,Hasselt,71000,418496,0.18
1339,61,33,23,Huy,61000,113409,0.2
1291,58,33,20,La Louvière,58000,141060,0.14
1387,62,33,236,Liège,62000,624422,0.38
265,24,33,56,Louvain,24000,508734,0.11
1576,72,33,19,Maaseik,72000,251589,0.08
74,12,33,111,Malines,12000,344818,0.32
1761,83,33,23,Marche-en-Famenne,83000,56476,0.41
1105,53,33,34,Mons,53000,258999,0.13
1940,92,33,91,Namur,92000,316962,0.29
1805,84,33,7,Neufchâteau,84000,63375,0.11
312,25,33,73,Nivelles,25000,403599,0.18
546,35,33,11,Ostende,35000,157200,0.07
1982,93,33,6,Philippeville,93000,66355,0.09
593,36,33,19,Roulers,36000,153315,0.12
965,46,33,61,Saint-Nicolas,46000,252523,0.24
1151,55,33,13,Soignies,55000,104533,0.12
779,42,33,20,Termonde,42000,201213,0.1
1197,56,33,4,Thuin,56000,91678,0.04
640,37,33,13,Tielt,37000,92905,0.14
1623,73,33,19,Tongres,73000,203963,0.09
1244,57,33,34,Tournai,57000,223417,0.15
121,13,33,50,Turnhout,13000,461867,0.11
1434,63,33,72,Verviers,63000,287772,0.25
1847,85,33,5,Virton,85000,53751,0.09
1481,64,33,14,Waremme,64000,81389,0.17
452,33,33,7,Ypres,33000,106279,0.07
733,41,34,27,Alost,41000,291229,0.09
28,11,34,487,Anvers,11000,1051301,0.46
1670,81,34,11,Arlon,81000,62623,0.18
1012,51,34,13,Ath,51000,127915,0.1
919,45,34,11,Audenarde,45000,124342,0.09
1716,82,34,9,Bastogne,82000,48413,0.19
360,31,34,12,Bruges,31000,282209,0.04
170,21,34,858,Bruxelles-Capitale,21000,1208542,0.71
1059,52,34,100,Charleroi,52000,396639,0.25
500,34,34,30,Courtrai,34000,290706,0.1
1894,91,34,8,Dinant,91000,111008,0.07
407,32,34,1,Dixmude,32000,51525,0.02
824,43,34,11,Eeklo,43000,85235,0.13
686,38,34,4,Furnes,38000,61657,0.06
872,44,34,121,Gand,44000,560522,0.22
218,23,34,135,Hal-Vilvorde,23000,637441,0.21
1530,71,34,75,Hasselt,71000,418496,0.18
1340,61,34,13,Huy,61000,113409,0.11
1292,58,34,16,La Louvière,58000,141060,0.11
1388,62,34,116,Liège,62000,624422,0.19
266,24,34,54,Louvain,24000,508734,0.11
1577,72,34,19,Maaseik,72000,251589,0.08
75,12,34,101,Malines,12000,344818,0.29
1762,83,34,9,Marche-en-Famenne,83000,56476,0.16
1106,53,34,52,Mons,53000,258999,0.2
1941,92,34,70,Namur,92000,316962,0.22
1806,84,34,3,Neufchâteau,84000,63375,0.05
313,25,34,69,Nivelles,25000,403599,0.17
547,35,34,11,Ostende,35000,157200,0.07
1983,93,34,31,Philippeville,93000,66355,0.47
594,36,34,16,Roulers,36000,153315,0.1
966,46,34,44,Saint-Nicolas,46000,252523,0.17
1152,55,34,13,Soignies,55000,104533,0.12
780,42,34,10,Termonde,42000,201213,0.05
1198,56,34,9,Thuin,56000,91678,0.1
641,37,34,9,Tielt,37000,92905,0.1
1624,73,34,41,Tongres,73000,203963,0.2
1245,57,34,59,Tournai,57000,223417,0.26
122,13,34,55,Turnhout,13000,461867,0.12
1435,63,34,39,Verviers,63000,287772,0.14
1848,85,34,4,Virton,85000,53751,0.07
1482,64,34,7,Waremme,64000,81389,0.09
453,33,34,8,Ypres,33000,106279,0.08
734,41,35,39,Alost,41000,291229,0.13
29,11,35,427,Anvers,11000,1051301,0.41
1671,81,35,7,Arlon,81000,62623,0.11
1013,51,35,9,Ath,51000,127915,0.07
920,45,35,7,Audenarde,45000,124342,0.06
1717,82,35,5,Bastogne,82000,48413,0.1
361,31,35,15,Bruges,31000,282209,0.05
171,21,35,733,Bruxelles-Capitale,21000,1208542,0.61
1060,52,35,86,Charleroi,52000,396639,0.22
501,34,35,21,Courtrai,34000,290706,0.07
1895,91,35,9,Dinant,91000,111008,0.08
825,43,35,3,Eeklo,43000,85235,0.04
687,38,35,6,Furnes,38000,61657,0.1
873,44,35,100,Gand,44000,560522,0.18
219,23,35,151,Hal-Vilvorde,23000,637441,0.24
1531,71,35,59,Hasselt,71000,418496,0.14
1341,61,35,13,Huy,61000,113409,0.11
1293,58,35,10,La Louvière,58000,141060,0.07
1389,62,35,126,Liège,62000,624422,0.2
267,24,35,47,Louvain,24000,508734,0.09
1578,72,35,34,Maaseik,72000,251589,0.14
76,12,35,66,Malines,12000,344818,0.19
1763,83,35,17,Marche-en-Famenne,83000,56476,0.3
1107,53,35,45,Mons,53000,258999,0.17
1942,92,35,71,Namur,92000,316962,0.22
1807,84,35,3,Neufchâteau,84000,63375,0.05
314,25,35,71,Nivelles,25000,403599,0.18
548,35,35,20,Ostende,35000,157200,0.13
1984,93,35,4,Philippeville,93000,66355,0.06
595,36,35,15,Roulers,36000,153315,0.1
967,46,35,43,Saint-Nicolas,46000,252523,0.17
1153,55,35,14,Soignies,55000,104533,0.13
781,42,35,18,Termonde,42000,201213,0.09
1199,56,35,9,Thuin,56000,91678,0.1
642,37,35,12,Tielt,37000,92905,0.13
1625,73,35,34,Tongres,73000,203963,0.17
1246,57,35,15,Tournai,57000,223417,0.07
123,13,35,38,Turnhout,13000,461867,0.08
1436,63,35,57,Verviers,63000,287772,0.2
1849,85,35,6,Virton,85000,53751,0.11
1483,64,35,20,Waremme,64000,81389,0.25
454,33,35,6,Ypres,33000,106279,0.06
735,41,36,42,Alost,41000,291229,0.14
30,11,36,514,Anvers,11000,1051301,0.49
1672,81,36,9,Arlon,81000,62623,0.14
1014,51,36,30,Ath,51000,127915,0.23
921,45,36,7,Audenarde,45000,124342,0.06
1718,82,36,5,Bastogne,82000,48413,0.1
362,31,36,23,Bruges,31000,282209,0.08
172,21,36,880,Bruxelles-Capitale,21000,1208542,0.73
1061,52,36,93,Charleroi,52000,396639,0.23
502,34,36,37,Courtrai,34000,290706,0.13
1896,91,36,16,Dinant,91000,111008,0.14
408,32,36,4,Dixmude,32000,51525,0.08
826,43,36,11,Eeklo,43000,85235,0.13
688,38,36,1,Furnes,38000,61657,0.02
874,44,36,126,Gand,44000,560522,0.22
220,23,36,134,Hal-Vilvorde,23000,637441,0.21
1532,71,36,100,Hasselt,71000,418496,0.24
1342,61,36,16,Huy,61000,113409,0.14
1294,58,36,13,La Louvière,58000,141060,0.09
1390,62,36,163,Liège,62000,624422,0.26
268,24,36,53,Louvain,24000,508734,0.1
1579,72,36,44,Maaseik,72000,251589,0.17
77,12,36,54,Malines,12000,344818,0.16
1764,83,36,11,Marche-en-Famenne,83000,56476,0.19
1108,53,36,34,Mons,53000,258999,0.13
1943,92,36,49,Namur,92000,316962,0.15
1808,84,36,7,Neufchâteau,84000,63375,0.11
315,25,36,109,Nivelles,25000,403599,0.27
549,35,36,12,Ostende,35000,157200,0.08
1985,93,36,4,Philippeville,93000,66355,0.06
596,36,36,15,Roulers,36000,153315,0.1
968,46,36,39,Saint-Nicolas,46000,252523,0.15
1154,55,36,32,Soignies,55000,104533,0.31
782,42,36,36,Termonde,42000,201213,0.18
1200,56,36,13,Thuin,56000,91678,0.14
643,37,36,10,Tielt,37000,92905,0.11
1626,73,36,17,Tongres,73000,203963,0.08
1247,57,36,28,Tournai,57000,223417,0.13
124,13,36,59,Turnhout,13000,461867,0.13
1437,63,36,42,Verviers,63000,287772,0.15
1850,85,36,7,Virton,85000,53751,0.13
1484,64,36,13,Waremme,64000,81389,0.16
455,33,36,14,Ypres,33000,106279,0.13
736,41,37,83,Alost,41000,291229,0.28
