Date,Time gap,Count,Average speed
2020-02-03,49,9,19
2020-02-03,50,10,18
2020-02-03,51,12,19
2020-02-03,52,11,18
2020-02-03,53,10,19
2020-02-03,54,13,19
2020-02-03,55,11,15
2020-02-03,56,7,20
2020-02-03,57,14,17
2020-02-03,58,5,17
2020-02-03,59,10,18
2020-02-03,60,11,17
2020-02-03,61,13,18
2020-02-03,62,11,18
2020-02-03,63,24,17
2020-02-03,64,30,18
2020-02-03,65,33,19
2020-02-03,66,23,19
2020-02-03,67,38,19
2020-02-03,68,29,18
2020-02-03,69,23,18
2020-02-03,70,22,18
2020-02-03,71,27,19
2020-02-03,72,20,19
2020-02-03,73,10,17
2020-02-03,74,9,20
2020-02-03,75,3,13
2020-02-03,76,6,18
2020-02-03,77,8,21
2020-02-03,78,3,18
2020-02-03,79,8,14
2020-02-03,80,5,18
2020-02-03,81,11,16
2020-02-03,82,8,16
2020-02-03,83,5,23
2020-02-03,84,2,14
2020-02-03,85,2,17
2020-02-03,86,4,20
2020-02-03,87,4,17
2020-02-03,88,5,18
2020-02-03,89,3,15
2020-02-03,90,1,16
2020-02-03,91,4,19
2020-02-03,92,1,22
2020-02-03,94,2,15
2020-02-04,2,2,17
2020-02-04,3,1,17
2020-02-04,5,1,22
2020-02-04,6,1,13
2020-02-04,10,1,16
2020-02-04,14,1,17
2020-02-04,16,2,16
2020-02-04,19,3,19
2020-02-04,20,2,17
2020-02-04,21,1,24
2020-02-04,22,1,21
2020-02-04,23,2,18
2020-02-04,24,5,18
2020-02-04,25,7,18
2020-02-04,26,7,19
2020-02-04,27,4,20
2020-02-04,28,9,18
2020-02-04,29,18,21
2020-02-04,30,31,19
2020-02-04,31,24,19
2020-02-04,32,15,19
2020-02-04,33,13,19
2020-02-04,34,8,20
2020-02-04,35,11,17
2020-02-04,36,9,17
2020-02-04,37,9,19
2020-02-04,38,11,20
2020-02-04,39,4,17
2020-02-04,40,7,18
2020-02-04,41,6,17
2020-02-04,42,4,20
2020-02-04,43,5,16
2020-02-04,44,8,20
2020-02-04,45,4,21
2020-02-04,46,11,18
2020-02-04,47,7,16
2020-02-04,48,6,16
2020-02-04,49,13,19
2020-02-04,50,9,19
2020-02-04,51,8,14
2020-02-04,52,5,21
2020-02-04,53,10,20
2020-02-04,54,9,19
2020-02-04,55,10,20
2020-02-04,56,6,19
2020-02-04,57,11,18
2020-02-04,58,12,18
2020-02-04,59,13,18
2020-02-04,60,8,16
2020-02-04,61,13,18
2020-02-04,62,20,19
2020-02-04,63,16,18
2020-02-04,64,22,18
2020-02-04,65,25,19
2020-02-04,66,26,20
2020-02-04,67,30,20
2020-02-04,68,27,18
2020-02-04,69,21,18
2020-02-04,70,25,19
2020-02-04,71,16,18
2020-02-04,72,19,18
2020-02-04,73,10,18
2020-02-04,74,13,21
2020-02-04,75,14,19
2020-02-04,76,8,18
2020-02-04,77,7,19
2020-02-04,78,7,17
2020-02-04,79,5,18
2020-02-04,80,7,14
2020-02-04,81,4,20
2020-02-04,82,7,17
2020-02-04,83,4,18
2020-02-04,84,6,18
2020-02-04,85,2,22
2020-02-04,86,6,20
2020-02-04,87,1,19
2020-02-04,89,4,18
2020-02-04,90,5,15
2020-02-04,91,3,17
2020-02-04,92,4,21
2020-02-04,93,2,13
2020-02-04,94,1,15
2020-02-04,95,2,16
2020-02-05,1,2,17
2020-02-05,2,3,18
2020-02-05,3,2,18
2020-02-05,5,1,21
2020-02-05,6,1,14
2020-02-05,7,1,16
2020-02-05,8,1,31
2020-02-05,13,1,19
2020-02-05,14,1,17
2020-02-05,16,1,18
2020-02-05,17,2,15
2020-02-05,18,1,21
2020-02-05,19,3,18
2020-02-05,20,1,12
2020-02-05,21,1,11
2020-02-05,22,5,21
2020-02-05,23,1,22
2020-02-05,24,3,21
2020-02-05,25,7,17
2020-02-05,26,12,19
2020-02-05,27,11,19
2020-02-05,28,13,17
2020-02-05,29,20,20
2020-02-05,30,18,20
2020-02-05,31,19,20
2020-02-05,32,24,21
2020-02-05,33,12,18
2020-02-05,34,14,20
2020-02-05,35,11,20
2020-02-05,36,9,18
2020-02-05,37,9,18
2020-02-05,38,8,21
2020-02-05,39,8,19
2020-02-05,40,9,18
2020-02-05,41,4,19
2020-02-05,42,10,17
2020-02-05,43,7,14
2020-02-05,44,7,20
2020-02-05,45,8,17
2020-02-05,46,11,19
2020-02-05,47,11,19
2020-02-05,48,17,19
2020-02-05,49,12,18
2020-02-05,50,11,21
2020-02-05,51,16,18
2020-02-05,52,9,21
2020-02-05,53,9,18
