Date,Time gap,Count,Average speed
2020-02-03,48,16,21
2020-02-03,49,12,20
2020-02-03,50,11,24
2020-02-03,51,10,18
2020-02-03,52,13,19
2020-02-03,53,14,19
2020-02-03,54,13,18
2020-02-03,55,12,23
2020-02-03,56,10,19
2020-02-03,57,16,20
2020-02-03,58,17,21
2020-02-03,59,19,20
2020-02-03,60,19,21
2020-02-03,61,22,22
2020-02-03,62,23,21
2020-02-03,63,38,17
2020-02-03,64,30,21
2020-02-03,65,26,20
2020-02-03,66,35,22
2020-02-03,67,44,20
2020-02-03,68,56,20
2020-02-03,69,38,20
2020-02-03,70,38,20
2020-02-03,71,38,21
2020-02-03,72,37,20
2020-02-03,73,24,21
2020-02-03,74,32,22
2020-02-03,75,19,20
2020-02-03,76,19,21
2020-02-03,77,26,21
2020-02-03,78,15,19
2020-02-03,79,8,20
2020-02-03,80,15,22
2020-02-03,81,16,20
2020-02-03,82,14,21
2020-02-03,83,10,17
2020-02-03,84,7,24
2020-02-03,85,13,18
2020-02-03,86,5,19
2020-02-03,87,5,16
2020-02-03,88,7,23
2020-02-03,89,3,16
2020-02-03,90,2,16
2020-02-03,91,8,20
2020-02-03,93,1,22
2020-02-03,94,3,24
2020-02-04,1,2,14
2020-02-04,2,5,19
2020-02-04,3,1,13
2020-02-04,4,2,15
2020-02-04,6,1,14
2020-02-04,7,3,17
2020-02-04,8,1,24
2020-02-04,9,2,14
2020-02-04,10,1,22
2020-02-04,11,1,16
2020-02-04,12,1,17
2020-02-04,14,1,29
2020-02-04,18,1,16
2020-02-04,19,1,20
2020-02-04,20,2,28
2020-02-04,22,4,28
2020-02-04,23,6,22
2020-02-04,24,11,22
2020-02-04,25,12,19
2020-02-04,26,18,20
2020-02-04,27,26,23
2020-02-04,28,41,20
2020-02-04,29,41,18
2020-02-04,30,61,21
2020-02-04,31,50,21
2020-02-04,32,51,21
2020-02-04,33,35,19
2020-02-04,34,23,21
2020-02-04,35,16,20
2020-02-04,36,12,20
2020-02-04,37,7,22
2020-02-04,38,8,19
2020-02-04,39,11,22
2020-02-04,40,17,19
2020-02-04,41,7,22
2020-02-04,42,8,18
2020-02-04,43,11,21
2020-02-04,44,16,18
2020-02-04,45,7,20
2020-02-04,46,15,19
2020-02-04,47,16,21
2020-02-04,48,10,20
2020-02-04,49,17,21
2020-02-04,50,13,21
2020-02-04,51,18,21
2020-02-04,52,9,22
2020-02-04,53,15,18
2020-02-04,54,7,19
2020-02-04,55,12,22
2020-02-04,56,9,20
2020-02-04,57,9,21
2020-02-04,58,15,20
2020-02-04,59,26,18
2020-02-04,60,8,20
2020-02-04,61,24,18
2020-02-04,62,22,20
