Date,Time gap,Count,Average speed
2020-02-06,39,2,19
2020-02-06,42,1,22
2020-02-06,45,5,22
2020-02-06,46,4,19
2020-02-06,47,3,32
2020-02-06,49,2,27
2020-02-06,51,2,20
2020-02-06,52,4,23
2020-02-06,53,3,21
2020-02-06,54,3,20
2020-02-06,55,3,19
2020-02-06,56,2,27
2020-02-06,57,4,21
2020-02-06,58,2,27
2020-02-06,59,4,29
2020-02-06,60,5,23
2020-02-06,61,5,18
2020-02-06,62,1,13
2020-02-06,63,3,16
2020-02-06,64,3,19
2020-02-06,65,9,26
2020-02-06,66,8,23
2020-02-06,67,1,28
2020-02-06,68,1,41
2020-02-06,69,6,22
2020-02-06,70,7,24
2020-02-06,71,5,26
2020-02-06,72,1,25
2020-02-06,73,2,21
2020-02-06,74,5,20
2020-02-06,75,1,19
2020-02-06,76,1,17
2020-02-06,77,3,22
2020-02-06,78,2,22
2020-02-06,80,3,18
2020-02-06,81,1,21
2020-02-06,84,2,18
2020-02-06,86,2,16
2020-02-06,87,5,14
2020-02-06,89,1,22
2020-02-06,92,1,20
2020-02-07,2,2,18
2020-02-07,17,1,23
2020-02-07,20,1,11
2020-02-07,23,2,23
2020-02-07,26,1,30
2020-02-07,28,1,17
2020-02-07,29,1,8
2020-02-07,30,3,27
2020-02-07,31,2,24
2020-02-07,32,1,26
2020-02-07,33,1,17
2020-02-07,35,1,13
2020-02-07,36,1,21
2020-02-07,37,1,17
2020-02-07,38,1,18
2020-02-07,39,2,20
2020-02-07,40,1,14
2020-02-07,41,1,16
2020-02-07,42,3,19
2020-02-07,43,3,23
2020-02-07,44,3,23
2020-02-07,45,3,21
2020-02-07,46,4,20
2020-02-07,47,4,21
2020-02-07,48,3,21
2020-02-07,49,2,23
2020-02-07,50,1,12
2020-02-07,51,2,16
2020-02-07,52,4,19
2020-02-07,53,3,18
2020-02-07,54,6,27
2020-02-07,55,3,18
2020-02-07,56,1,22
2020-02-07,57,6,21
2020-02-07,58,3,20
2020-02-07,59,2,19
2020-02-07,60,3,20
2020-02-07,61,3,17
2020-02-07,62,6,20
2020-02-07,63,8,30
2020-02-07,64,3,18
2020-02-07,65,4,19
2020-02-07,66,6,22
2020-02-07,67,5,25
2020-02-07,68,3,27
2020-02-07,69,4,19
2020-02-07,70,5,24
2020-02-07,71,1,27
2020-02-07,72,3,21
2020-02-07,73,2,18
2020-02-07,74,2,21
2020-02-07,75,1,18
2020-02-07,78,4,20
2020-02-07,79,1,20
2020-02-07,83,1,24
2020-02-07,85,1,15
2020-02-07,86,1,23
2020-02-07,90,1,25
2020-02-08,10,1,15
2020-02-08,22,2,19
2020-02-08,23,1,30
2020-02-08,24,1,13
2020-02-08,32,1,25
2020-02-08,33,2,21
2020-02-08,34,1,21
2020-02-08,37,1,9
2020-02-08,38,5,19
2020-02-08,39,3,23
2020-02-08,40,1,9
2020-02-08,41,3,18
2020-02-08,42,6,17
2020-02-08,43,2,19
2020-02-08,44,5,21
2020-02-08,45,5,15
2020-02-08,47,4,20
2020-02-08,48,4,14
2020-02-08,51,7,21
2020-02-08,52,4,18
2020-02-08,53,3,21
2020-02-08,54,3,24
2020-02-08,55,4,22
2020-02-08,56,3,24
2020-02-08,57,1,24
2020-02-08,60,3,19
2020-02-08,61,1,18
2020-02-08,62,2,24
2020-02-08,63,3,22
2020-02-08,64,2,19
2020-02-08,65,2,29
2020-02-08,66,1,17
2020-02-08,68,1,14
2020-02-08,69,1,16
2020-02-08,70,2,17
2020-02-08,71,1,18
2020-02-08,72,1,22
2020-02-08,73,3,24
2020-02-08,75,1,13
2020-02-08,76,1,22
2020-02-08,77,1,26
2020-02-08,80,1,24
2020-02-09,33,1,24
2020-02-09,35,1,11
2020-02-09,39,1,24
2020-02-09,46,3,19
2020-02-09,48,2,22
2020-02-09,50,1,22
2020-02-09,51,2,14
2020-02-09,53,1,16
2020-02-09,55,1,35
2020-02-09,59,1,15
2020-02-09,61,1,19
2020-02-09,67,2,13
2020-02-09,68,1,4
2020-02-09,69,1,9
2020-02-10,17,1,16
2020-02-10,23,1,17
2020-02-10,25,2,17
2020-02-10,26,2,20
2020-02-10,28,1,15
2020-02-10,30,5,16
2020-02-10,31,2,21
2020-02-10,32,2,21
2020-02-10,33,4,19
2020-02-10,35,3,14
2020-02-10,37,1,17
2020-02-10,38,1,25
2020-02-10,39,2,27
2020-02-10,40,1,16
2020-02-10,42,1,25
2020-02-10,43,2,16
2020-02-10,44,1,27
2020-02-10,47,3,23
2020-02-10,48,3,16
2020-02-10,49,3,21
2020-02-10,50,2,19
2020-02-10,51,1,19
2020-02-10,52,3,16
2020-02-10,54,2,17
2020-02-10,55,1,16
2020-02-10,56,1,13
2020-02-10,57,1,26
2020-02-10,58,1,27
2020-02-10,59,4,14
2020-02-10,61,3,16
2020-02-10,65,1,16
2020-02-10,68,2,25
2020-02-10,69,5,25
2020-02-10,70,2,16
2020-02-10,72,1,23
2020-02-10,73,4,14
2020-02-10,74,3,18
2020-02-10,75,2,20
2020-02-10,77,3,18
2020-02-10,86,1,24
2020-02-10,88,1,25
2020-02-10,89,1,15
2020-02-10,90,1,18
2020-02-11,18,1,15
2020-02-11,21,1,18
2020-02-11,23,2,22
2020-02-11,24,1,19
2020-02-11,25,1,18
2020-02-11,27,3,20
2020-02-11,28,2,22
2020-02-11,29,2,15
2020-02-11,30,1,24
2020-02-11,31,4,21
2020-02-11,32,3,22
2020-02-11,33,2,32
2020-02-11,34,1,18
2020-02-11,35,3,17
2020-02-11,37,3,17
2020-02-11,39,4,16
2020-02-11,40,1,13
2020-02-11,41,2,22
2020-02-11,43,3,20
2020-02-11,44,1,16
2020-02-11,45,2,15
2020-02-11,46,2,25
2020-02-11,47,2,15
2020-02-11,48,2,22
2020-02-11,50,2,20
2020-02-11,51,1,21
2020-02-11,52,1,14
2020-02-11,53,2,19
2020-02-11,54,2,21
2020-02-11,56,1,28
2020-02-11,57,2,17
2020-02-11,58,2,22
