Date,Time gap,Count,Average speed
2020-02-03,60,38,20
2020-02-03,61,53,19
2020-02-03,62,74,18
2020-02-03,63,63,18
2020-02-03,64,90,18
2020-02-03,65,83,18
2020-02-03,66,94,18
2020-02-03,67,83,18
2020-02-03,68,88,17
2020-02-03,69,74,19
2020-02-03,70,55,19
2020-02-03,71,43,16
2020-02-03,72,41,17
2020-02-03,73,31,17
2020-02-03,74,38,18
2020-02-03,75,19,17
2020-02-03,76,20,19
2020-02-03,77,13,18
2020-02-03,78,13,15
2020-02-03,79,11,18
2020-02-03,80,10,21
2020-02-03,81,12,18
2020-02-03,82,19,17
2020-02-03,83,16,17
2020-02-03,84,11,18
2020-02-03,85,4,20
2020-02-03,86,7,18
2020-02-03,87,9,18
2020-02-03,88,12,19
2020-02-03,89,1,15
2020-02-03,90,4,16
2020-02-03,91,6,19
2020-02-03,92,4,15
2020-02-03,93,3,16
2020-02-03,94,3,16
2020-02-03,95,3,16
2020-02-04,2,1,20
2020-02-04,4,4,15
2020-02-04,5,3,18
2020-02-04,6,2,16
2020-02-04,7,1,21
2020-02-04,9,2,17
2020-02-04,10,1,21
2020-02-04,12,1,16
2020-02-04,13,2,15
2020-02-04,14,1,12
2020-02-04,15,2,12
2020-02-04,16,8,18
2020-02-04,17,3,16
2020-02-04,18,7,18
2020-02-04,19,4,17
2020-02-04,20,3,19
2020-02-04,21,4,17
2020-02-04,22,6,21
2020-02-04,23,14,24
2020-02-04,24,15,23
2020-02-04,25,24,21
2020-02-04,26,26,21
2020-02-04,27,35,21
2020-02-04,28,71,19
2020-02-04,29,89,19
2020-02-04,30,94,18
2020-02-04,31,113,18
2020-02-04,32,92,19
2020-02-04,33,73,20
2020-02-04,34,40,19
2020-02-04,35,47,19
2020-02-04,36,39,18
2020-02-04,37,18,18
2020-02-04,38,20,18
2020-02-04,39,16,18
2020-02-04,40,15,18
2020-02-04,41,10,18
2020-02-04,42,15,18
2020-02-04,43,22,19
2020-02-04,44,20,18
2020-02-04,45,22,19
2020-02-04,46,28,18
2020-02-04,47,32,20
2020-02-04,48,29,19
2020-02-04,49,25,16
2020-02-04,50,28,17
2020-02-04,51,19,18
2020-02-04,52,21,18
2020-02-04,53,20,18
2020-02-04,54,22,18
2020-02-04,55,25,19
2020-02-04,56,23,17
2020-02-04,57,32,17
2020-02-04,58,33,18
2020-02-04,59,40,18
2020-02-04,60,41,18
2020-02-04,61,51,17
2020-02-04,62,55,19
2020-02-04,63,52,18
2020-02-04,64,63,19
2020-02-04,65,62,20
2020-02-04,66,85,19
2020-02-04,67,66,17
2020-02-04,68,69,19
2020-02-04,69,71,17
2020-02-04,70,53,18
2020-02-04,71,56,17
2020-02-04,72,37,19
2020-02-04,73,34,17
2020-02-04,74,32,19
2020-02-04,75,25,18
2020-02-04,76,21,18
2020-02-04,77,21,16
2020-02-04,78,24,17
2020-02-04,79,13,17
2020-02-04,80,8,16
2020-02-04,81,12,16
2020-02-04,82,22,17
2020-02-04,83,10,17
2020-02-04,84,11,17
2020-02-04,85,7,19
2020-02-04,86,14,16
2020-02-04,87,13,19
2020-02-04,88,11,16
2020-02-04,89,10,17
2020-02-04,90,11,19
2020-02-04,91,7,19
2020-02-04,92,7,18
2020-02-04,93,6,19
2020-02-04,94,1,19
2020-02-04,95,4,16
2020-02-04,96,2,19
2020-02-05,1,8,17
2020-02-05,2,4,17
2020-02-05,3,4,20
2020-02-05,5,3,17
2020-02-05,6,2,18
2020-02-05,7,3,15
2020-02-05,8,1,4
2020-02-05,9,2,21
2020-02-05,10,1,19
2020-02-05,14,2,19
2020-02-05,15,5,14
2020-02-05,16,8,19
2020-02-05,17,2,17
2020-02-05,18,4,18
2020-02-05,19,5,18
2020-02-05,20,1,20
2020-02-05,21,7,17
2020-02-05,22,12,23
2020-02-05,23,16,22
2020-02-05,24,29,22
2020-02-05,25,26,22
2020-02-05,26,36,21
2020-02-05,27,44,21
2020-02-05,28,54,19
2020-02-05,29,100,20
2020-02-05,30,113,19
2020-02-05,31,127,19
2020-02-05,32,116,19
2020-02-05,33,62,19
2020-02-05,34,53,19
2020-02-05,35,39,19
2020-02-05,36,37,19
2020-02-05,37,26,19
2020-02-05,38,20,18
