Time,key,timezone,lat,lon,LiveTraffic,JamsDelay,JamsLength,JamsCount,UpdateTime
2020-05-07 02:16:30.000,RUS/Circle/kazan,Europe/Moscow,55.8036,49.08829,0,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,POL/Circle/warsaw,Europe/Warsaw,52.2322,21.04038,3,13.5,0.5,1,1588817790000
2020-05-07 02:16:30.000,GBR/Circle/edinburgh,Europe/London,55.96208000000001,-3.19427,0,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,CHE/Circle/bern,Europe/Zurich,46.94508,7.4512800000000015,8,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,HKG/Circle/hong-kong,Asia/Hong_Kong,22.32245,114.16512,26,224.1,41.4,72,1588817790000
2020-05-07 02:16:30.000,POL/Circle/bydgoszcz,Europe/Warsaw,53.136469999999996,18.02649,1,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,NGA/Circle/lagos,Africa/Lagos,6.52,3.3480800000000004,32,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,NLD/Circle/utrecht,Europe/Amsterdam,52.07209,5.09748,0,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,GBR/Circle/sheffield,Europe/London,53.381069999999994,-1.4294200000000001,3,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,KEN/Circle/nairobi,Africa/Nairobi,-1.27843,36.80557,10,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,ZAF/Circle/pretoria,Africa/Johannesburg,-25.76407,28.212159999999997,0,4.1,1.5,2,1588817790000
2020-05-07 02:16:30.000,RUS/Circle/omsk,Asia/Omsk,54.957119999999996,73.36533,28,28.7,3.3,8,1588817790000
2020-05-07 02:16:30.000,ZAF/Circle/east-rand-south,Africa/Johannesburg,-26.258359999999996,28.32408,5,2.4,3.4,3,1588817790000
2020-05-07 02:16:30.000,BEL/Circle/ghent,Europe/Brussels,51.03664000000001,3.7140699999999995,7,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,USA/Circle/austin,America/Chicago,30.3549,-97.73402,2,8.9,1.0,4,1588817790000
2020-05-07 02:16:30.000,NLD/Circle/amersfoort,Europe/Amsterdam,52.16972,5.40184,0,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,ESP/Circle/zaragoza,Europe/Madrid,41.641040000000004,-0.90828,4,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,FRA/Circle/avignon,Europe/Paris,43.93128,4.83845,0,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,USA/Circle/detroit,America/Detroit,42.4678,-83.24039,0,2.6,0.2,1,1588817790000
2020-05-07 02:16:30.000,DEU/Circle/karlsruhe,Europe/Berlin,49.01144,8.40248,9,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,DEU/Circle/ruhr-region-east,Europe/Berlin,51.514540000000004,7.30881,6,2.5,2.1,2,1588817790000
2020-05-07 02:16:30.000,USA/Circle/cleveland,America/New_York,41.50969,-81.79183,0,11.4,0.7,2,1588817790000
2020-05-07 02:16:30.000,FRA/Circle/orleans,Europe/Paris,47.901379999999996,1.92295,0,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,ROU/Circle/bucharest,Europe/Bucharest,44.436479999999996,26.10214,0,4.7,1.2,1,1588817790000
2020-05-07 02:16:30.000,NLD/Circle/zwolle,Europe/Amsterdam,52.51079,6.08437,0,0.0,0.0,0,1588817790000
2020-05-07 02:16:30.000,TUR/Circle/konya,Europe/Istanbul,37.87702,32.51059,0,0.0,0.0,0,1588817790000
